Unnamed: 0,nct_id,downcase_mesh_term,official_title,brief_title,all_conditions,study_first_submitted_date,primary_completion_date,completion_date,enrollment,observational_model,intervention_model,time_perspective,study_type,overall_status,study_phases,funded_bys,sponsors_name,investigators,intervention_types,location,minimum_age_num,maximum_age_num,category_age,category,sub_category,URL
606,NCT00888069,hyperparathyroidism,"A Randomized, Open-Label, Single-Dose Pilot Study of Oral and i.v. CTAP101 Evaluating PK and Safety in Stage 3 and 4 CKD Subjects With Vitamin D Insufficiency and SHPT",Pharmacokinetics and Safety Pilot Study of Single-Dose Oral and Intravenous CTAP101 in Stage 3 and 4 Chronic Kidney Disease Subjects,Chronic Kidney Disease|Chronic Renal Failure|Chronic Renal Insufficiency|Secondary Hyperparathyroidism,2009-04-23,2009-11-30,2009-12-31,28.0,,Parallel Assignment,,Interventional,Completed,Phase 1,"OPKO Health, Inc.","OPKO IP Holdings II, Inc.",Pivotal Research Centers|Research by Design|Western New England Renal & Transplant Associates|Twin Cities Clinical Research|DCI|MetroHealth Medical Center|Northeast Clinical Research|Southeast Renal Research Institute|Vanderbilt University Medical Center|Southwest Houston Research Ltd|Purity Dialysis Centers / Nephrology Associates|Gunderson Clinic Ltd.,Drug|Drug,United States,18.0,80.0,[18-65]|[65 and more],Parathyroid diseases,Hyperparathyroidism,https://clinicaltrials.gov/ct2/show/NCT00888069
610,NCT00891813,hyperparathyroidism,Effectiveness and Safety of a 6-Month Treatment With IV Zemplar in Patients on Hemodialysis and With Secondary Hyperparathyroidism Using iPTH/100 as Initial Dose,Effectiveness and Safety of IV Zemplar in Patients on Hemodialysis and With Secondary Hyperparathyroidism Using iPTH/100 as Initial Dose,"Hemodialysis|Hypercalcemia|Parathyroid Hormone|Renal Insufficiency, Chronic|Secondary Hyperparathyroidism",2009-04-29,2010-09-30,2010-09-30,100.0,,Single Group Assignment,,Interventional,Completed,Phase 4,Abbott,Abbott,Site Reference ID/Investigator# 21401|Site Reference ID/Investigator# 23857|Site Reference ID/Investigator# 10941,Drug,Peru,18.0,120.0,[18-65]|[65 and more],Parathyroid diseases,Hyperparathyroidism,https://clinicaltrials.gov/ct2/show/NCT00891813
613,NCT00896454,parathyroid neoplasms,"A Single-arm, Multicenter, Proof-of-concept Study of Denosumab in the Treatment of Hypercalcemia of Malignancy in Subjects With Elevated Serum Calcium Despite Recent Treatment With IV Bisphosphonates",Study of Denosumab in the Treatment of Hypercalcemia of Malignancy in Subjects With Elevated Serum Calcium,Breast Cancer|Colon Cancer|Endocrine Cancer|Head and Neck Cancer|Hodgkin's Lymphoma|Hypercalcemia of Malignancy|Kidney Cancer|Lung Cancer|Lymphoma|Metastatic Cancer|Multiple Myeloma|Non-Hodgkin's Lymphoma|Non-Small Cell Lung Cancer|Parathyroid Neoplasms|Renal Cancer|Thyroid Cancer,2009-05-07,2012-09-13,2013-08-21,33.0,,Single Group Assignment,,Interventional,Completed,Phase 2,Amgen,Amgen,Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site,Drug,Canada|France|Italy|Poland|United States,18.0,120.0,[18-65]|[65 and more],Parathyroid diseases,Parathyroid cancer,https://clinicaltrials.gov/ct2/show/NCT00896454
614,NCT00902122,thyroid neoplasms,"Open-Label, Multi-Center, Randomized, Active-Controlled, Phase 4 Study of rAd-p53 Gene Mono-Therapy, With Concurrent Radioactive Iodine , or Combination With Surgery in Subjects With Advanced Malignant Thyroid Tumors",rAd-p53 Gene Therapy for Advanced Malignant Thyroid Tumors,Advanced Malignant Thyroid Tumors,2009-05-12,2012-08-31,2012-08-31,600.0,,Parallel Assignment,,Interventional,Unknown status,Phase 4,"Shenzhen SiBiono GeneTech Co.,Ltd","Shenzhen SiBiono GeneTech Co.,Ltd","West China Hospital, Sichuan University",Drug|Procedure|Drug|Radiation,China,18.0,85.0,[18-65]|[65 and more],Thyroid neoplasms,Thyroid cancer,https://clinicaltrials.gov/ct2/show/NCT00902122
615,NCT00905866,hyperparathyroidism,Evaluation of Quality of Life in Patients Undergoing Parathyroidectomy,Quality of Life in Patients Undergoing Parathyroidectomy,Hyperparathyroidism|Parathyroidectomy,2009-05-18,2011-07-31,2011-07-31,60.0,Case-Only,,Prospective,Observational,Completed,,Mackay Memorial Hospital,Mackay Memorial Hospital,Mackay Memorial Hospital,Other,Taiwan,18.0,120.0,[18-65]|[65 and more],Parathyroid diseases,Hyperparathyroidism,https://clinicaltrials.gov/ct2/show/NCT00905866
617,NCT00916955,hypoparathyroidism,Genetic Modifiers for 22q11.2 Syndrome,Genetic Modifiers for 22q11.2 Syndrome,22q11.2 Deletion Syndrome,2008-03-24,2015-02-28,2015-02-28,,Cohort,,Prospective,Observational,Completed,,State University of New York - Upstate Medical University,Albert Einstein College of Medicine|State University of New York - Upstate Medical University,VCFS International Center,Other,United States,0.0,120.0,[0-17]|[18-65]|[65 and more],Parathyroid diseases,Hypoparathyroidism,https://clinicaltrials.gov/ct2/show/NCT00916955
620,NCT00917189,hypoparathyroidism,Computer-Based Cognitive Remediation in Adolescents With VCFS,Computerized Cognitive Skills Training for Adolescents With Velocardiofacial Syndrome,Velocardiofacial Syndrome,2009-06-08,2015-04-30,2015-04-30,37.0,,Single Group Assignment,,Interventional,Completed,Not Applicable,State University of New York - Upstate Medical University,National Institute of Mental Health (NIMH)|State University of New York - Upstate Medical University,SUNY Upstate Medical University,Behavioral,United States,12.0,16.0,[0-17],Parathyroid diseases,Hypoparathyroidism,https://clinicaltrials.gov/ct2/show/NCT00917189
621,NCT00917241,graves disease,Prevention Relapse of Graves' Disease by Treatment With Intrathyroid Injection of Dexamethasone,Prevention Relapse of Graves' Disease by Intrathyroid Injection of Dexamethasone,Graves' Disease,2009-06-09,2008-12-31,2009-03-31,218.0,,Parallel Assignment,,Interventional,Completed,Phase 4,Nanjing Medical University,Xiao-Ming Mao,,Drug|Drug,,18.0,65.0,[18-65]|[65 and more],Hyperthyroidism,Graves' disease,https://clinicaltrials.gov/ct2/show/NCT00917241
622,NCT00917241,goiter,Prevention Relapse of Graves' Disease by Treatment With Intrathyroid Injection of Dexamethasone,Prevention Relapse of Graves' Disease by Intrathyroid Injection of Dexamethasone,Graves' Disease,2009-06-09,2008-12-31,2009-03-31,218.0,,Parallel Assignment,,Interventional,Completed,Phase 4,Nanjing Medical University,Xiao-Ming Mao,,Drug|Drug,,18.0,65.0,[18-65]|[65 and more],Goiter,Goiter,https://clinicaltrials.gov/ct2/show/NCT00917241
623,NCT00917241,hyperthyroidism,Prevention Relapse of Graves' Disease by Treatment With Intrathyroid Injection of Dexamethasone,Prevention Relapse of Graves' Disease by Intrathyroid Injection of Dexamethasone,Graves' Disease,2009-06-09,2008-12-31,2009-03-31,218.0,,Parallel Assignment,,Interventional,Completed,Phase 4,Nanjing Medical University,Xiao-Ming Mao,,Drug|Drug,,18.0,65.0,[18-65]|[65 and more],Hyperthyroidism,Hyperthyroidism,https://clinicaltrials.gov/ct2/show/NCT00917241
624,NCT00921050,hypothyroidism,"Randomized Double Blind Levothyroxine vs Placebo, Mind (NEUROPSI) Improvement in Elderly With Persistent TSH 4-10 mUI/L",Subclinical Hypothyroidism and Mind in the Elderly,Subclinical Hypothyroidism,2009-06-15,2012-03-31,2012-03-31,70.0,,Parallel Assignment,,Interventional,Completed,Phase 2/Phase 3,Universidad Autonoma de Nuevo Leon,Universidad Autonoma de Nuevo Leon,"Endocrinology, Outpatient Hospital Clinic|Community Health Center (Fomerrey 19)",Drug|Drug,Mexico,60.0,95.0,[18-65]|[65 and more],Hypothyroidism,Hypothyroidism,https://clinicaltrials.gov/ct2/show/NCT00921050
625,NCT00923247,thyroid neoplasms,"A Targeted Ph I/II Trial of ZD6474 (Vandetanib; CAPRELSA) Plus the Proteasome Inhibitor, Bortezomib (Velcade ), in Adults With Solid Tumors With a Focus on Hereditary or Sporadic, Locally Advanced or Metastatic Medullary Thyroid Ca (MTC)","A Targeted Phase I/II Trial of ZD6474 (Vandetanib; ZACTIMA) Plus the Proteasome Inhibitor, Bortezomib (Velcade ), in Adults With Solid Tumors With a Focus on Hereditary or Sporadic, Locally Advanced or Metastatic Medullary Thyroid Cancer (MTC)",Medullary Thyroid Carcinoma,2009-06-17,2016-04-01,2016-12-09,22.0,,Parallel Assignment,,Interventional,Terminated,Phase 1/Phase 2,National Institutes of Health Clinical Center (CC),National Cancer Institute (NCI),"National Institutes of Health Clinical Center, 9000 Rockville Pike",Drug|Drug,United States,18.0,80.0,[18-65]|[65 and more],Thyroid neoplasms,Thyroid cancer,https://clinicaltrials.gov/ct2/show/NCT00923247
626,NCT00926978,thyroid neoplasms,Comparison of I-124 and I-131 Radiopharmacokinetics in Patients Who Have Well-differentiated Thyroid Cancer and Are Prepared With Recombinant Human TSH Injection (rhTSH),Comparison of Iodine-124 (I-124) and Iodine-131 (I-131) Radiopharmacokinetics in Patients Prepared With Recombinant Human TSH Injection (rhTSH),Thyroid Cancer,2009-06-17,2018-10-31,2018-10-31,21.0,,Single Group Assignment,,Interventional,Terminated,Not Applicable,Medstar Health Research Institute,Medstar Health Research Institute,Washington Hospital Center,Radiation,United States,18.0,120.0,[18-65]|[65 and more],Thyroid neoplasms,Thyroid cancer,https://clinicaltrials.gov/ct2/show/NCT00926978
629,NCT00928408,hyperparathyroidism,PRIMARA: A Prospective Descriptive Observational Study to Review Mimpara (Cinacalcet) Use in Patients With Primary Hyperparathyroidism in Clinical Practice,PRIMARA: A Prospective Descriptive Observational Study to Review Mimpara (Cinacalcet) Use in Patients With Primary Hyperparathyroidism in Clinical Practice,"Hyperparathyroidism, Primary",2009-06-25,2011-12-31,2012-02-29,305.0,Other,,Prospective,Observational,Completed,,Amgen,Amgen,,Drug,,18.0,120.0,[18-65]|[65 and more],Parathyroid diseases,Hyperparathyroidism,https://clinicaltrials.gov/ct2/show/NCT00928408
630,NCT00929318,thyroid neoplasms,Clinical Investigations on Cytokin-Gradients in Hypo/Euthyroid Patients. Evaluation of Expression of Different Pro-and Anti-Inflammatory Cyto-/Chemokines in Skin Wounds After Surgery of Benign Goitres (Struma Multinodosa) or Malignant Diseases of Thyroid Gland (Papillary Thyroid Carcinoma) in Correlation to the Status of Wound Healing of the Neck Wound,Influence of Thyroid Hormones on the Woundhealing Process,Thyroid Carcinoma|Thyroid Neoplasms,2009-06-26,2009-12-31,2010-04-30,26.0,,,,Interventional,Unknown status,Not Applicable,Hannover Medical School,"Genzyme, a Sanofi Company|Hannover Medical School","Medizinische Hoochschule Hannover, Allgemein-, Viszeral-und Transplantationscirurgie OE 6220",Procedure|Procedure,Germany,18.0,120.0,[18-65]|[65 and more],Thyroid neoplasms,Thyroid cancer,https://clinicaltrials.gov/ct2/show/NCT00929318
633,NCT00936650,hyperparathyroidism,"A Double-Blind, Randomized, Placebo-Controlled, Multicenter Dose-Titration Study to Assess the Efficacy and Safety of Twice-Daily Dose Regimens of an Oral Calcimimetic Agent AMG 073 (Cinacalcet) in Primary Hyperparathyroidism (PHPT)",A Study to Assess the Efficacy and Safety of Twice-Daily Dose Regimens of an Oral Calcimimetic Agent AMG 073 (Cinacalcet) in Primary Hyperparathyroidism (PHPT),"Hyperparathyroidism, Primary",2009-06-04,2001-03-31,2001-06-30,78.0,,Parallel Assignment,,Interventional,Completed,Phase 2,Amgen,Amgen,,Drug|Drug,,18.0,120.0,[18-65]|[65 and more],Parathyroid diseases,Hyperparathyroidism,https://clinicaltrials.gov/ct2/show/NCT00936650
634,NCT00936858,thyroid neoplasms,A Phase II Trial Using RAD001 for Patients With Radioiodine Refractory Thyroid Cancer,RAD001 for Patients With Radioiodine Refractory Thyroid Cancer,Thyroid Cancer,2009-07-09,2020-02-27,2020-02-27,50.0,,Single Group Assignment,,Interventional,Completed,Phase 2,Dana-Farber Cancer Institute,Dana-Farber Cancer Institute|Massachusetts General Hospital|M.D. Anderson Cancer Center|MOUNT SINAI HOSPITAL|Novartis,Massachusetts General Hospital|Dana-Farber Cancer Institute|Mt. Sinai Medical Center|MD Anderson Cancer Center,Drug,United States,18.0,120.0,[18-65]|[65 and more],Thyroid neoplasms,Thyroid cancer,https://clinicaltrials.gov/ct2/show/NCT00936858
635,NCT00936988,hyperparathyroidism,"A Multicenter, Open-label Extension Study to Assess the Long-term Safety and Efficacy of an Oral Calcimimetic Agent AMG 073 (Cinacalcet) in Primary Hyperparathyroidism","A Multicenter, Open-label Extension Study to Assess the Long-term Safety and Efficacy of an Oral Calcimimetic Agent AMG 073 (Cinacalcet) in Primary Hyperparathyroidism","Hyperparathyroidism, Primary",2009-06-04,2005-06-30,2005-12-31,45.0,,Single Group Assignment,,Interventional,Completed,Phase 2,Amgen,Amgen,,Drug,,18.0,120.0,[18-65]|[65 and more],Parathyroid diseases,Hyperparathyroidism,https://clinicaltrials.gov/ct2/show/NCT00936988
638,NCT00941551,goiter,Five-year Follow up of a Randomized Clinical Trial of Unilateral Thyroid Lobectomy With or Without Levothyroxine Treatment Postoperatively,Thyroid Lobectomy With or Without Levothyroxine Treatment Postoperatively,Recurrent Goiter,2009-07-16,2003-12-31,2008-12-31,150.0,Case-Control,,Prospective,Observational,Completed,,Jagiellonian University,Jagiellonian University,"Jagiellonian University, College of Medicine, Department of Endocrine Surgery, 3rd Chair of General Surgery",Drug|Drug,Poland,18.0,65.0,[18-65]|[65 and more],Goiter,Goiter,https://clinicaltrials.gov/ct2/show/NCT00941551
639,NCT00946296,hyperthyroidism,Impact of SSKI Pre-Treatment on Blood Loss in Thyroidectomy for Graves Disease,Impact of SSKI Pre-Treatment on Blood Loss in Thyroidectomy for Graves Disease,Graves Disease|Hyperthyroidism,2009-07-22,2013-04-30,2013-04-30,36.0,,Parallel Assignment,,Interventional,Completed,Phase 4,"University of Massachusetts, Worcester","University of Massachusetts, Worcester",UMASS Memorial Health Care,Drug,United States,18.0,120.0,[18-65]|[65 and more],Hyperthyroidism,Hyperthyroidism,https://clinicaltrials.gov/ct2/show/NCT00946296
640,NCT00946296,goiter,Impact of SSKI Pre-Treatment on Blood Loss in Thyroidectomy for Graves Disease,Impact of SSKI Pre-Treatment on Blood Loss in Thyroidectomy for Graves Disease,Graves Disease|Hyperthyroidism,2009-07-22,2013-04-30,2013-04-30,36.0,,Parallel Assignment,,Interventional,Completed,Phase 4,"University of Massachusetts, Worcester","University of Massachusetts, Worcester",UMASS Memorial Health Care,Drug,United States,18.0,120.0,[18-65]|[65 and more],Goiter,Goiter,https://clinicaltrials.gov/ct2/show/NCT00946296
641,NCT00946296,graves disease,Impact of SSKI Pre-Treatment on Blood Loss in Thyroidectomy for Graves Disease,Impact of SSKI Pre-Treatment on Blood Loss in Thyroidectomy for Graves Disease,Graves Disease|Hyperthyroidism,2009-07-22,2013-04-30,2013-04-30,36.0,,Parallel Assignment,,Interventional,Completed,Phase 4,"University of Massachusetts, Worcester","University of Massachusetts, Worcester",UMASS Memorial Health Care,Drug,United States,18.0,120.0,[18-65]|[65 and more],Hyperthyroidism,Graves' disease,https://clinicaltrials.gov/ct2/show/NCT00946296
642,NCT00946894,goiter,Five-year Follow up of a Randomized Clinical Trial of Total Thyroidectomy Versus Dunhill Operation Versus Bilateral Subtotal Thyroidectomy for Multinodular Non-toxic Goiter.,Outcomes of Different Thyroid Resections for Multinodular Non-toxic Goiter,Goiter,2009-07-23,2003-12-31,2008-12-31,600.0,,Parallel Assignment,,Interventional,Completed,Not Applicable,Jagiellonian University,Jagiellonian University,"Jagiellonian University, College of Medicine, Department of Endocrine Surgery, 3rd Chair of General Surgery",Procedure|Procedure|Procedure,Poland,18.0,65.0,[18-65]|[65 and more],Goiter,Goiter,https://clinicaltrials.gov/ct2/show/NCT00946894
643,NCT00948337,thyroid neoplasms,"A Randomized Controlled Trial on the Effect of Intervention With Health Educational Material on Knowledge, Attitude, and Behavior in Cancer Survivors",A Study With Health Educational Material on Health Promotion in Cancer Survivors,Breast Cancer|Colon Cancer|Stomach Cancer|Thyroid Cancer,2009-07-28,2009-11-30,2010-12-31,326.0,,Parallel Assignment,,Interventional,Unknown status,Phase 2,"National Cancer Center, Korea","National Cancer Center, Korea",National Cancer Center|Samsung Medical Center,Behavioral,"Korea, Republic of",18.0,80.0,[18-65]|[65 and more],Thyroid neoplasms,Thyroid cancer,https://clinicaltrials.gov/ct2/show/NCT00948337
644,NCT00954837,thyroid neoplasms,Utility of a Second Ultrasound-guided Fine Needle Aspiration for the Detection of Thyroid Cancer in the Management of Single Thyroid Nodules or Multinodular Goitre.,Assessment of Repeat Fine Needle Aspiration (FNA) to Detect Thyroid Cancer,Thyroid Cancer,2009-07-30,2011-12-31,2012-12-31,0.0,,Single Group Assignment,,Interventional,Withdrawn,Not Applicable,Assistance Publique - Hôpitaux de Paris,Assistance Publique - Hôpitaux de Paris,,Procedure,,18.0,120.0,[18-65]|[65 and more],Thyroid neoplasms,Thyroid cancer,https://clinicaltrials.gov/ct2/show/NCT00954837
645,NCT00958113,goiter,Autoimmune Thyroid Disease Genetic Study,Autoimmune Thyroid Disease Genetic Study,Graves' Disease|Hashimoto's Disease,2009-08-11,2013-02-28,2015-05-31,199.0,Case-Control,,Cross-Sectional,Observational,Completed,,"University of Colorado, Denver","University of Colorado, Denver",University of Colorado Denver,,United States,7.0,120.0,[0-17]|[18-65]|[65 and more],Goiter,Goiter,https://clinicaltrials.gov/ct2/show/NCT00958113
647,NCT00958113,graves disease,Autoimmune Thyroid Disease Genetic Study,Autoimmune Thyroid Disease Genetic Study,Graves' Disease|Hashimoto's Disease,2009-08-11,2013-02-28,2015-05-31,199.0,Case-Control,,Cross-Sectional,Observational,Completed,,"University of Colorado, Denver","University of Colorado, Denver",University of Colorado Denver,,United States,7.0,120.0,[0-17]|[18-65]|[65 and more],Hyperthyroidism,Graves' disease,https://clinicaltrials.gov/ct2/show/NCT00958113
649,NCT00958113,"thyroiditis, autoimmune",Autoimmune Thyroid Disease Genetic Study,Autoimmune Thyroid Disease Genetic Study,Graves' Disease|Hashimoto's Disease,2009-08-11,2013-02-28,2015-05-31,199.0,Case-Control,,Cross-Sectional,Observational,Completed,,"University of Colorado, Denver","University of Colorado, Denver",University of Colorado Denver,,United States,7.0,120.0,[0-17]|[18-65]|[65 and more],Thyroiditis,Hashimoto,https://clinicaltrials.gov/ct2/show/NCT00958113
650,NCT00958113,hyperthyroidism,Autoimmune Thyroid Disease Genetic Study,Autoimmune Thyroid Disease Genetic Study,Graves' Disease|Hashimoto's Disease,2009-08-11,2013-02-28,2015-05-31,199.0,Case-Control,,Cross-Sectional,Observational,Completed,,"University of Colorado, Denver","University of Colorado, Denver",University of Colorado Denver,,United States,7.0,120.0,[0-17]|[18-65]|[65 and more],Hyperthyroidism,Hyperthyroidism,https://clinicaltrials.gov/ct2/show/NCT00958113
652,NCT00958451,hyperparathyroidism,Response of Secondary Hyperparathyroidism to Paricalcitol Versus Ergocalciferol in Patients With Stage 3 and 4 Chronic Kidney Disease With Vitamin D Deficiency: a Randomized Controlled Trial,Vitamin D Deficiency in Chronic Kidney Disease (CKD) Patients,Chronic Kidney Disease|Secondary Hyperparathyroidism,2009-08-11,2011-01-31,2011-01-31,80.0,,Parallel Assignment,,Interventional,Completed,Phase 4,Salem Veterans Affairs Medical Center,Abbott|Salem Veterans Affairs Medical Center,VA Medical Center,Drug|Drug,United States,18.0,120.0,[18-65]|[65 and more],Parathyroid diseases,Hyperparathyroidism,https://clinicaltrials.gov/ct2/show/NCT00958451
656,NCT00961701,hyperparathyroidism,Atherogenic Lipoprotein Phenotype and LDL Size and Subclasses in Patients With Primary Hyperparathyroidism,Lipids Profile in Primary Hyperparathyroidism,Primary Hyperparathyroidism,2009-08-18,2010-10-31,2016-10-31,100.0,Case-Only,,Cross-Sectional,Observational,Terminated,,"HaEmek Medical Center, Israel","HaEmek Medical Center, Israel|University of Palermo|University of Zurich","Endocrine Institute , Haemek Medical Center",,Israel,18.0,85.0,[18-65]|[65 and more],Parathyroid diseases,Hyperparathyroidism,https://clinicaltrials.gov/ct2/show/NCT00961701
657,NCT00962221,hypothyroidism,Atherogenic Lipoprotein Phenotype and LDL Size and Subclasses in Patients With Subclinical Hypothyroidism,Lipids Profile in Subclinical Hypothyroidism,Subclinical Hypothyroidism,2009-08-18,2011-10-31,2012-10-31,100.0,Case-Only,,Cross-Sectional,Observational,Terminated,,"HaEmek Medical Center, Israel","HaEmek Medical Center, Israel|University of Palermo|University of Zurich","Endocrine Institute, Haemek Medical Center",Procedure,Israel,18.0,85.0,[18-65]|[65 and more],Hypothyroidism,Hypothyroidism,https://clinicaltrials.gov/ct2/show/NCT00962221
658,NCT00970359,thyroid neoplasms,Reacquisition of RAI Uptake of RAI-Refractory Metastatic Thyroid Cancers by Pretreatment With the Selective MEK Inhibitor AZD6244: A Pilot Study,Reacquisition of Radioactive Iodine (RAI) Uptake of RAI-Refractory Metastatic Thyroid Cancers by Pretreatment With the Selective MEK Inhibitor AZD6244,Thyroid Cancer,2009-09-01,2013-04-30,2013-04-30,24.0,,Single Group Assignment,,Interventional,Completed,Not Applicable,Memorial Sloan Kettering Cancer Center,"AstraZeneca|Genzyme, a Sanofi Company|Memorial Sloan Kettering Cancer Center",Memorial Sloan-Kettering Cancer Center,Biological,United States,18.0,120.0,[18-65]|[65 and more],Thyroid neoplasms,Thyroid cancer,https://clinicaltrials.gov/ct2/show/NCT00970359
660,NCT00973336,hyperparathyroidism,Primary Hyperparathyroidism: Does a Systematic Treatment Improve the Calcium and Bone Metabolism After Successful Surgery in Patients Without Osteoporosis?,Primary Hyperparathyroidism: Does a Systematic Treatment Improve the Calcium and Bone Metabolism After Surgery?,Bone Metabolism|Primary Hyperparathyroidism,2009-09-08,2017-09-30,2017-09-30,80.0,,Parallel Assignment,,Interventional,Unknown status,Phase 2,Medical University of Vienna,Medical University of Vienna,Medical University of Vienna,Drug,Austria,18.0,120.0,[18-65]|[65 and more],Parathyroid diseases,Hyperparathyroidism,https://clinicaltrials.gov/ct2/show/NCT00973336
662,NCT00975000,hyperparathyroidism,"A Randomized, Double-blind, Placebo-controlled Study to Evaluate the Efficacy and Safety of Using Cinacalcet to Correct Hypercalcemia in Renal Transplant Recipients With Autonomous Hyperparathyroidism",Treatment of Autonomous Hyperparathyroidism in Post Renal Transplant Recipients,Chronic Allograft Nephropathy|Chronic Kidney Disease|Chronic Renal Failure|Disordered Mineral Metabolism|End Stage Renal Disease|Hyperparathyroidism|Hypophosphatemia|Kidney Disease|Kidney Transplantation|Post Renal Transplantation,2009-09-10,2012-09-13,2013-04-16,114.0,,Parallel Assignment,,Interventional,Completed,Phase 3,Amgen,Amgen,Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site,Drug|Drug,Australia|Austria|Belgium|Canada|France|Germany|Italy|Poland|Spain|Switzerland|United States,18.0,120.0,[18-65]|[65 and more],Parathyroid diseases,Hyperparathyroidism,https://clinicaltrials.gov/ct2/show/NCT00975000
665,NCT00975221,hyperparathyroidism,A Randomized Double-blind Placebo-controlled Study to Evaluate the Efficacy and Safety of Cinacalcet for the Treatment of Hypercalcemia in Subjects With Primary Hyperparathyroidism Unable to Undergo Parathyroidectomy,Efficacy and Safety Study of Cinacalcet for the Treatment of Hypercalcemia in Patients With Primary Hyperparathyroidism Unable to Undergo Parathyroidectomy,"Hypercalcemia|Hyperparathyroidism, Primary",2009-09-10,2012-07-12,2012-12-21,67.0,,Parallel Assignment,,Interventional,Completed,Phase 3,Amgen,Amgen,Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site|Research Site,Drug|Drug,Australia|Canada|Hungary|Poland|Portugal|Russian Federation|United States,18.0,120.0,[18-65]|[65 and more],Parathyroid diseases,Hyperparathyroidism,https://clinicaltrials.gov/ct2/show/NCT00975221
