index,nct_id,intervention_types
1060,NCT01479088,Drug
1063,NCT01484379,Procedure
1065,NCT01486667,Drug
1077,NCT01506947,Drug
1085,NCT01530919,Procedure
1087,NCT01534169,Drug
1102,NCT01558115,Drug
1102,NCT01558115,Other
1103,NCT01560299,Drug
1108,NCT01571843,Other
1112,NCT01574287,Drug
1114,NCT01574859,Other
1117,NCT01576146,Drug
1118,NCT01579344,Drug
1119,NCT01579539,Drug
1128,NCT01598727,Device
1129,NCT01599273,Drug
1133,NCT01609946,Device
1133,NCT01609946,Procedure
1135,NCT01611896,Dietary Supplement
1135,NCT01611896,Other
1137,NCT01616108,Drug
1140,NCT01617694,Drug
1144,NCT01633853,Drug
1146,NCT01638533,Other
1146,NCT01638533,Drug
1156,NCT01649206,Procedure
1158,NCT01651000,Drug
1158,NCT01651000,Other
1162,NCT01653379,Drug
1164,NCT01655719,Drug
1170,NCT01660126,Drug
1172,NCT01661179,Drug
1173,NCT01665651,Drug
1177,NCT01675089,Drug
1187,NCT01704079,Drug
1187,NCT01704079,Other
1189,NCT01704586,Radiation
1197,NCT01725113,Drug
1201,NCT01727973,Drug
1208,NCT01738243,Drug
1213,NCT01739972,Drug
1221,NCT01750593,Procedure
1224,NCT01756534,Device
1227,NCT01757834,Device
1230,NCT01760421,Drug
1244,NCT01778400,Procedure
1245,NCT01779817,Behavioral
1248,NCT01781923,Behavioral
1250,NCT01783002,Radiation
1254,NCT01785849,Drug
1257,NCT01785875,Drug
1259,NCT01788046,Drug
1262,NCT01788982,Drug
1266,NCT01794676,Genetic
1268,NCT01798966,Device
1273,NCT01805856,Drug
1274,NCT01809444,Drug
1280,NCT01811212,Drug
1280,NCT01811212,Other
1287,NCT01821781,Drug
1288,NCT01830504,Drug
1290,NCT01832753,Drug
1292,NCT01837433,Drug
1294,NCT01837745,Drug
1294,NCT01837745,Other
1295,NCT01838031,Other
1302,NCT01853579,Drug
1303,NCT01856920,Biological
1306,NCT01868750,Dietary Supplement
1309,NCT01868997,Drug
1315,NCT01880203,Procedure
1326,NCT01889134,Drug
1326,NCT01889134,Procedure
1327,NCT01893450,Drug
1332,NCT01896232,Drug
1346,NCT01922843,Drug
1348,NCT01927406,Drug
1353,NCT01927887,Drug
1353,NCT01927887,Device
1354,NCT01932970,Drug
1362,NCT01939977,Drug
1364,NCT01945762,Drug
1366,NCT01950260,Drug
1366,NCT01950260,Other
1373,NCT01969019,Drug
1379,NCT01985204,Dietary Supplement
1383,NCT01996072,Drug
1385,NCT01999790,Procedure
1400,NCT02024906,Dietary Supplement
1401,NCT02041260,Drug
1403,NCT02054572,Drug
1405,NCT02055989,Radiation
1407,NCT02056730,Drug
1409,NCT02059655,Drug
1415,NCT02070211,Dietary Supplement
1415,NCT02070211,Other
1419,NCT02089542,Other
1422,NCT02090907,Drug
1424,NCT02102204,Drug
1428,NCT02107794,Other
1430,NCT02109250,Drug
1431,NCT02112370,Drug
1431,NCT02112370,Other
1432,NCT02112643,Drug
1432,NCT02112643,Dietary Supplement
1436,NCT02114619,Drug
1442,NCT02126683,Drug
1444,NCT02133404,Drug
1448,NCT02138214,Procedure
1448,NCT02138214,Other
1451,NCT02138838,Drug
1451,NCT02138838,Dietary Supplement
1453,NCT02140476,Device
1453,NCT02140476,Procedure
1456,NCT02143271,Drug
1458,NCT02143726,Drug
1463,NCT02150772,Procedure
1469,NCT02152995,Procedure
1469,NCT02152995,Other
1469,NCT02152995,Radiation
1469,NCT02152995,Drug
1472,NCT02155049,Drug
1477,NCT02169687,Device
1482,NCT02186405,Drug
1490,NCT02194920,Procedure
1494,NCT02203682,Drug
1499,NCT02205801,Procedure
1499,NCT02205801,Drug
1513,NCT02216656,Drug
1519,NCT02227264,Drug
1519,NCT02227264,Procedure
1525,NCT02246504,Device
1527,NCT02258347,Device
1531,NCT02273570,Drug
1535,NCT02274623,Drug
1539,NCT02282813,Drug
1541,NCT02289144,Drug
1558,NCT02316743,Drug
1565,NCT02319538,Procedure
1570,NCT02332135,Procedure
1570,NCT02332135,Drug
1573,NCT02338934,Drug
1575,NCT02339142,Radiation
1575,NCT02339142,Drug
1580,NCT02341417,Drug
1587,NCT02373995,Biological
1595,NCT02376088,Drug
1598,NCT02378298,Drug
1609,NCT02384668,Dietary Supplement
1614,NCT02393183,Drug
1614,NCT02393183,Dietary Supplement
1614,NCT02393183,Other
1618,NCT02393690,Radiation
1618,NCT02393690,Other
1618,NCT02393690,Drug
1625,NCT02398721,Other
1627,NCT02399475,Drug
1630,NCT02408887,Procedure
1633,NCT02410928,Device
1638,NCT02417389,Drug
1643,NCT02422368,Drug
1647,NCT02430584,Other
1650,NCT02430857,Other
1651,NCT02432274,Drug
1653,NCT02432599,Radiation
1657,NCT02440581,Drug
1660,NCT02452073,Other
1667,NCT02463409,Drug
1670,NCT02464072,Procedure
1676,NCT02491502,Device
1686,NCT02500342,Drug
1691,NCT02516774,Drug
1694,NCT02523209,Device
1698,NCT02525796,Drug
1701,NCT02535975,Drug
1707,NCT02536287,Procedure
1709,NCT02539498,Device
1712,NCT02549391,Drug
1715,NCT02549404,Drug
1719,NCT02549417,Drug
1740,NCT02609685,Other
1742,NCT02620085,Procedure
1757,NCT02652884,Drug
1762,NCT02658552,Device
1764,NCT02665325,Drug
1765,NCT02681328,Other
1767,NCT02685514,Device
1773,NCT02693808,Procedure
1783,NCT02708368,Other
1786,NCT02710799,Other
1793,NCT02713256,Drug
1798,NCT02714946,Device
1799,NCT02721992,Other
1804,NCT02724176,Drug
1807,NCT02725879,Other
1811,NCT02727738,Dietary Supplement
1811,NCT02727738,Drug
1822,NCT02766660,Device
1839,NCT02784223,Device
1842,NCT02787486,Other
1843,NCT02798965,Biological
1849,NCT02824016,Biological
1849,NCT02824016,Radiation
1850,NCT02824718,Drug
1853,NCT02830789,Dietary Supplement
1853,NCT02830789,Procedure
1856,NCT02831179,Drug
1856,NCT02831179,Other
1859,NCT02833857,Drug
1863,NCT02839655,Device
1865,NCT02843542,Device
1867,NCT02845336,Drug
1871,NCT02854345,Device
1875,NCT02859896,Drug
1892,NCT02895061,Drug
1894,NCT02895906,Drug
1897,NCT02904330,Drug
1903,NCT02915172,Drug
1908,NCT02946918,Drug
1917,NCT02966093,Drug
1919,NCT02973802,Biological
1921,NCT02973997,Other
1921,NCT02973997,Drug
1921,NCT02973997,Biological
1930,NCT02989428,Procedure
1932,NCT02993302,Drug
1937,NCT03002623,Drug
1940,NCT03004209,Drug
1949,NCT03011736,Other
1949,NCT03011736,Procedure
1952,NCT03012620,Drug
1953,NCT03013257,Device
1957,NCT03023748,Drug
1962,NCT03027557,Drug
1962,NCT03027557,Other
1970,NCT03032198,Device
1976,NCT03039439,Procedure
1976,NCT03039439,Other
1982,NCT03046524,Other
1988,NCT03051126,Other
1989,NCT03052075,Other
1995,NCT03057925,Device
1999,NCT03063190,Drug
2004,NCT03066076,Drug
2004,NCT03066076,Procedure
2008,NCT03072160,Drug
2011,NCT03082742,Drug
2020,NCT03093909,Drug
2021,NCT03094416,Drug
2023,NCT03096613,Drug
2024,NCT03098225,Radiation
2024,NCT03098225,Drug
2029,NCT03102099,Procedure
2031,NCT03102177,Drug
2033,NCT03103607,Diagnostic Test
2039,NCT03105648,Other
2041,NCT03106337,Device
2042,NCT03106935,Drug
2043,NCT03107078,Drug
2047,NCT03108222,Other
2050,NCT03109847,Drug
2050,NCT03109847,Other
2051,NCT03110835,Radiation
2054,NCT03110848,Drug
2060,NCT03114267,Other
2061,NCT03115515,Drug
2062,NCT03120221,Diagnostic Test
2064,NCT03122496,Drug
2064,NCT03122496,Radiation
2065,NCT03122847,Drug
2071,NCT03123406,Drug
2073,NCT03128255,Other
2076,NCT03131206,Drug
2078,NCT03131726,Drug
2081,NCT03134976,Drug
2082,NCT03137316,Diagnostic Test
2090,NCT03158961,Procedure
2093,NCT03160482,Diagnostic Test
2095,NCT03162627,Drug
2096,NCT03167385,Drug
2101,NCT03174925,Device
2108,NCT03182699,Diagnostic Test
2110,NCT03183752,Drug
2116,NCT03195296,Other
2121,NCT03199677,Drug
2126,NCT03211117,Drug
2126,NCT03211117,Radiation
2126,NCT03211117,Other
2126,NCT03211117,Biological
2126,NCT03211117,Procedure
2130,NCT03226171,Drug
2131,NCT03239769,Procedure
2132,NCT03244956,Drug
2132,NCT03244956,Radiation
2136,NCT03249012,Other
2139,NCT03257930,Drug
2140,NCT03268785,Diagnostic Test
2145,NCT03274258,Biological
2146,NCT03278964,Procedure
2150,NCT03280264,Drug
2155,NCT03283098,Drug
2157,NCT03284060,Behavioral
2160,NCT03285854,Diagnostic Test
2168,NCT03295955,Drug
2169,NCT03298867,Biological
2169,NCT03298867,Other
2173,NCT03299244,Drug
2176,NCT03300284,Behavioral
2181,NCT03303053,Drug
2182,NCT03307694,Diagnostic Test
2186,NCT03309631,Diagnostic Test
2192,NCT03324334,Diagnostic Test
2197,NCT03324893,Diagnostic Test
2200,NCT03327636,Device
2202,NCT03331172,Device
2207,NCT03363347,Drug
2211,NCT03375359,Diagnostic Test
2218,NCT03387943,Drug
2222,NCT03395925,Device
2228,NCT03420963,Biological
2228,NCT03420963,Drug
2229,NCT03425747,Drug
2235,NCT03435952,Drug
2235,NCT03435952,Biological
2243,NCT03447093,Drug
2249,NCT03461211,Biological
2256,NCT03464149,Diagnostic Test
2262,NCT03469310,Drug
2271,NCT03484416,Drug
2275,NCT03498183,Drug
2277,NCT03498417,Diagnostic Test
2292,NCT03515863,Genetic
2292,NCT03515863,Device
2292,NCT03515863,Other
2297,NCT03516747,Diagnostic Test
2301,NCT03517267,Diagnostic Test
2302,NCT03517579,Device
2309,NCT03530462,Drug
2311,NCT03535090,Drug
2314,NCT03535974,Dietary Supplement
2319,NCT03543891,Other
2325,NCT03566537,Procedure
2327,NCT03569787,Diagnostic Test
2330,NCT03574051,Drug
2332,NCT03588884,Drug
2335,NCT03590080,Drug
2340,NCT03602261,Drug
2345,NCT03605472,Other
2346,NCT03606824,Drug
2349,NCT03614988,Other
2355,NCT03626246,Other
2359,NCT03626948,Drug
2366,NCT03633708,Drug
2378,NCT03643081,Device
2379,NCT03646383,Procedure
2385,NCT03660800,Drug
2389,NCT03667157,Drug
2392,NCT03669432,Radiation
2392,NCT03669432,Procedure
2396,NCT03676647,Other
2399,NCT03699098,Diagnostic Test
2401,NCT03700762,Diagnostic Test
2402,NCT03708627,Drug
2406,NCT03712683,Drug
2407,NCT03713671,Diagnostic Test
2412,NCT03716128,Diagnostic Test
2414,NCT03718403,Drug
2417,NCT03724188,Procedure
2422,NCT03732157,Procedure
2424,NCT03732495,Drug
2428,NCT03753919,Drug
2436,NCT03764007,Drug
2436,NCT03764007,Procedure
2440,NCT03772496,Diagnostic Test
2442,NCT03773120,Device
2443,NCT03774771,Drug
2447,NCT03776058,Drug
2455,NCT03801980,Drug
2456,NCT03808779,Procedure
2457,NCT03813173,Procedure
2459,NCT03813706,Procedure
2463,NCT03822507,Drug
2468,NCT03830242,Diagnostic Test
2475,NCT03835728,Drug
2476,NCT03836300,Behavioral
2480,NCT03845647,Procedure
2481,NCT03866382,Drug
2481,NCT03866382,Biological
2485,NCT03872284,Other
2487,NCT03878953,Drug
2488,NCT03880578,Drug
2491,NCT03887611,Device
2493,NCT03889431,Dietary Supplement
2493,NCT03889431,Other
2497,NCT03891043,Dietary Supplement
2497,NCT03891043,Other
2502,NCT03898622,Drug
2507,NCT03910049,Drug
2511,NCT03922321,Drug
2515,NCT03924804,Drug
2521,NCT03935984,Drug
2527,NCT03938545,Drug
2527,NCT03938545,Other
2538,NCT03948191,Drug
2548,NCT03960437,Drug
2550,NCT03960554,Drug
2550,NCT03960554,Other
2557,NCT03969108,Drug
2560,NCT03969329,Drug
2568,NCT03980132,Drug
2572,NCT03986593,Device
2580,NCT04009863,Device
2580,NCT04009863,Radiation
2582,NCT04012476,Drug
2584,NCT04013100,Diagnostic Test
2589,NCT04013139,Diagnostic Test
2591,NCT04019379,Other
2593,NCT04025034,Procedure
2600,NCT04031638,Other
2603,NCT04040946,Diagnostic Test
2606,NCT04046354,Device
2611,NCT04053114,Other
2619,NCT04064827,Drug
2626,NCT04080505,Drug
2631,NCT04085419,Drug
2633,NCT04085913,Drug
2634,NCT04096612,Procedure
2643,NCT04106843,Drug
2648,NCT04126954,Other
2652,NCT04129281,Procedure
2663,NCT04141540,Genetic
2666,NCT04146259,Drug
2670,NCT04171622,Drug
2670,NCT04171622,Biological
2673,NCT04175522,Drug
2674,NCT04178928,Drug
2675,NCT04180007,Drug
2676,NCT04193332,Device
2683,NCT04216732,Other
2685,NCT04233398,Device
2691,NCT04239521,Other
2699,NCT04248114,Diagnostic Test
2705,NCT04267965,Procedure
2707,NCT04268407,Drug
2713,NCT04281875,Device
2714,NCT04284774,Drug
2716,NCT04288115,Drug
2716,NCT04288115,Other
2717,NCT04288531,Dietary Supplement
2719,NCT04298684,Drug
2724,NCT04299425,Device
2726,NCT04304794,Procedure
2726,NCT04304794,Drug
2729,NCT04305561,Procedure
2734,NCT04311606,Drug
2739,NCT04312646,Device
2746,NCT04329455,Procedure
2749,NCT04333342,Device
2756,NCT04339127,Other
2759,NCT04339205,Other
2761,NCT04344886,Procedure
2768,NCT04354896,Drug
2770,NCT04359979,Drug
2776,NCT04373226,Behavioral
2777,NCT04376203,Procedure
2778,NCT04383795,Drug
2782,NCT04391439,Drug
2786,NCT04396158,Radiation
2789,NCT04396912,Procedure
2794,NCT04410601,Procedure
2798,NCT04411290,Procedure
2802,NCT04412694,Drug
2802,NCT04412694,Diagnostic Test
2802,NCT04412694,Procedure
2802,NCT04412694,Other
2806,NCT04424485,Procedure
2806,NCT04424485,Diagnostic Test
2810,NCT04433936,Diagnostic Test
2817,NCT04458233,Procedure
2822,NCT04463316,Diagnostic Test
2824,NCT04463719,Behavioral
2825,NCT04467021,Other
2826,NCT04472026,Behavioral
2831,NCT04477798,Diagnostic Test
2836,NCT04482907,Dietary Supplement
2841,NCT04484116,Diagnostic Test
2844,NCT04488406,Other
2848,NCT04488640,Procedure
2854,NCT04509011,Device
2855,NCT04514484,Drug
2855,NCT04514484,Biological
2859,NCT04522622,Drug
2859,NCT04522622,Diagnostic Test
2859,NCT04522622,Procedure
2859,NCT04522622,Other
2862,NCT04523974,Procedure
2869,NCT04548284,Drug
2878,NCT04560127,Drug
2883,NCT04564924,Radiation
2888,NCT04569604,Diagnostic Test
2891,NCT04570033,Diagnostic Test
2895,NCT04574947,Drug
2895,NCT04574947,Procedure
2898,NCT04577664,Procedure
2903,NCT04580199,Procedure
2904,NCT04583735,Biological
2904,NCT04583735,Drug
2913,NCT04598815,Drug
2920,NCT04601298,Other
2924,NCT04608253,Diagnostic Test
2935,NCT04614389,Other
2935,NCT04614389,Device
2940,NCT04632524,Drug
2941,NCT04637360,Drug
2945,NCT04639388,Behavioral
2946,NCT04639960,Drug
2950,NCT04647006,Procedure
2953,NCT04647500,Drug
2955,NCT04662190,Device
2955,NCT04662190,Procedure
2959,NCT04663451,Radiation
2963,NCT04666103,Procedure
2966,NCT04671719,Biological
2973,NCT04680650,Drug
2978,NCT04682340,Diagnostic Test
2981,NCT04683575,Drug
2982,NCT04686006,Drug
2986,NCT04690842,Diagnostic Test
2994,NCT04704414,Device
3001,NCT04708626,Other
3007,NCT04730726,Device
3012,NCT04731740,Drug
3012,NCT04731740,Biological
3015,NCT04737330,Drug
3021,NCT04740502,Procedure
3032,NCT04750460,Drug
3039,NCT04759053,Procedure
3046,NCT04763122,Other
3047,NCT04767763,Diagnostic Test
3048,NCT04776993,Drug
3048,NCT04776993,Procedure
3057,NCT04782856,Drug
3059,NCT04785443,Drug
3059,NCT04785443,Procedure
3065,NCT04789993,Other
3069,NCT04798092,Procedure
3081,NCT04823728,Genetic
3084,NCT04842994,Device
3085,NCT04844164,Drug
3088,NCT04846010,Combination Product
3093,NCT04856488,Drug
3104,NCT04876534,Drug
3107,NCT04877613,Drug
3111,NCT04879173,Device
3113,NCT04879355,Device
3115,NCT04883294,Diagnostic Test
3119,NCT04895631,Drug
3119,NCT04895631,Procedure
3124,NCT04905641,Procedure
3128,NCT04919694,Procedure
3136,NCT04922892,Procedure
3137,NCT04927416,Drug
3138,NCT04927468,Procedure
3144,NCT04932135,Diagnostic Test
3146,NCT04936854,Drug
3153,NCT04942769,Drug
3159,NCT04948671,Other
3164,NCT04953195,Drug
3175,NCT04976816,Procedure
3178,NCT04988802,Dietary Supplement
3178,NCT04988802,Other
3179,NCT04994080,Drug
3184,NCT05002998,Drug
3191,NCT05007093,Drug
3193,NCT05012033,Other
3197,NCT05015127,Drug
3205,NCT05019118,Other
3209,NCT05022641,Device
3218,NCT05043233,Drug
3224,NCT05049603,Drug
3224,NCT05049603,Other
3231,NCT05059470,Drug
3232,NCT05068687,Diagnostic Test
3244,NCT05096195,Drug
3244,NCT05096195,Other
3244,NCT05096195,Diagnostic Test
3246,NCT05098600,Other
3253,NCT05108298,Other
3254,NCT05110040,Drug
3258,NCT05112211,Drug
3265,NCT05117853,Drug
3265,NCT05117853,Procedure
3268,NCT05118542,Drug
3270,NCT05119296,Drug
3273,NCT05126147,Drug
3276,NCT05126706,Behavioral
3278,NCT05130476,Procedure
3283,NCT05142904,Device
3283,NCT05142904,Drug
3287,NCT05149898,Drug
3295,NCT05176639,Drug
3301,NCT05177939,Drug
3304,NCT05180214,Drug
3308,NCT05186883,Biological
3308,NCT05186883,Other
3309,NCT05189314,Procedure
3311,NCT05189808,Procedure
3313,NCT05189821,Procedure
3319,NCT05199103,Drug
3323,NCT05214274,Other
3325,NCT05216718,Procedure
3328,NCT05221008,Drug
3333,NCT05225883,Genetic
3337,NCT05229341,Procedure
3337,NCT05229341,Other
3338,NCT05239221,Drug
3342,NCT05241626,Diagnostic Test
3349,NCT05242055,Other
3361,NCT05264857,Behavioral
3367,NCT05276063,Drug
3371,NCT05276856,Drug
3373,NCT05280379,Other
3376,NCT05280600,Other
3377,NCT05286801,Biological
3378,NCT05290493,Drug
3378,NCT05290493,Other
3381,NCT05299437,Drug
3384,NCT05299632,Diagnostic Test
3386,NCT05316922,Drug
3392,NCT05329935,Biological
3396,NCT02378233,Dietary Supplement
3397,NCT02742597,Behavioral
3398,NCT02789800,Behavioral
3401,NCT03149354,Other
3405,NCT03922087,Other
3406,NCT03932487,Other
3407,NCT04019509,Diagnostic Test
3407,NCT04019509,Other
3408,NCT04208503,Diagnostic Test
3410,NCT04323007,Diagnostic Test
3416,NCT04571736,Other
3417,NCT04585126,Drug
3419,NCT04658524,Diagnostic Test
3420,NCT04684953,Procedure
3420,NCT04684953,Drug
3421,NCT04708704,Dietary Supplement
3424,NCT04845867,Device
3425,NCT04936698,Drug
3427,NCT04991493,Drug
3427,NCT04991493,Other
3428,NCT05016518,Drug
3430,NCT05103774,Diagnostic Test
3431,NCT05126108,Procedure
3431,NCT05126108,Other
3432,NCT05151120,Biological
3433,NCT05251194,Device
3434,NCT05323539,Other
3444,NCT00001304,Drug
3446,NCT00001730,Drug
3451,NCT00004361,Drug
3453,NCT00004843,Procedure
3453,NCT00004843,Other
3455,NCT00006329,Procedure
3457,NCT00037518,Drug
3468,NCT00080574,Procedure
3470,NCT00094055,Drug
3475,NCT00098345,Drug
3479,NCT00111735,Drug
3480,NCT00115739,Drug
3481,NCT00115895,Drug
3485,NCT00121628,Drug
3487,NCT00123760,Procedure
3488,NCT00124527,Drug
3489,NCT00126568,Drug
3496,NCT00144079,Procedure
3499,NCT00151723,Procedure
3500,NCT00169806,Other
3502,NCT00176748,Drug
3503,NCT00181168,Drug
3504,NCT00196729,Drug
3506,NCT00206375,Drug
3508,NCT00215605,Drug
3509,NCT00223158,Drug
3510,NCT00230802,Drug
3511,NCT00251316,Drug
3514,NCT00271427,Drug
3515,NCT00275171,Drug
3515,NCT00275171,Other
3516,NCT00277589,Drug
3517,NCT00279721,Procedure
3522,NCT00295763,Drug
3524,NCT00336102,Other
3524,NCT00336102,Procedure
3533,NCT00354523,Drug
3535,NCT00358956,Drug
3536,NCT00359385,Drug
3537,NCT00373711,Drug
3539,NCT00377312,Drug
3541,NCT00379899,Drug
3545,NCT00389441,Drug
3546,NCT00395538,Drug
3548,NCT00395902,Drug
3554,NCT00403390,Drug
3556,NCT00405405,Drug
3556,NCT00405405,Radiation
3557,NCT00410761,Drug
3559,NCT00417612,Drug
3559,NCT00417612,Other
3564,NCT00435851,Drug
3566,NCT00439478,Drug
3568,NCT00451880,Drug
3569,NCT00452049,Procedure
3570,NCT00454077,Procedure
3571,NCT00454220,Other
3571,NCT00454220,Drug
3573,NCT00459459,Procedure
3575,NCT00467506,Drug
3579,NCT00473265,Drug
3581,NCT00488644,Drug
3583,NCT00497484,Drug
3585,NCT00501215,Procedure
3585,NCT00501215,Behavioral
3587,NCT00507429,Drug
