index,nct_id,investigators
48,NCT01611896,"Department of Medicine, Gentofte Hospital"
48,NCT01611896,"Department of Internal Medicine O 106, Endocrine Unit, Herlev Hospital"
48,NCT01611896,"Department of Cardiology and Endocrinology, Endocrine Unit, Hillerød Hospital"
48,NCT01611896,"Department of Endocrinology, Section 541, Hvidovre Hospital"
48,NCT01611896,"Department of Endocrinology and Metabolism, Odense University Hospital"
49,NCT01638533,City of Hope Comprehensive Cancer Center
49,NCT01638533,University of California Davis Comprehensive Cancer Center
49,NCT01638533,Emory University Hospital/Winship Cancer Institute
49,NCT01638533,University of Chicago Comprehensive Cancer Center
49,NCT01638533,Johns Hopkins University/Sidney Kimmel Cancer Center
49,NCT01638533,National Cancer Institute Developmental Therapeutics Clinic
49,NCT01638533,Wayne State University/Karmanos Cancer Institute
49,NCT01638533,Mayo Clinic in Rochester
49,NCT01638533,Case Western Reserve University
49,NCT01638533,Penn State Milton S Hershey Medical Center
49,NCT01638533,Thomas Jefferson University Hospital
49,NCT01638533,University Health Network-Princess Margaret Hospital
51,NCT01704586,"Clinic of Nuclear Medicine, University Clinic Essen"
51,NCT01704586,University Clinic Würzburg
59,NCT01821781,Washington University
59,NCT01821781,Methodist Heathcare
60,NCT01837745,Institut Gustave Roussy
71,NCT02041260,Abramson Cancer Center of the University of Pennsylvania
72,NCT02061111,Gynaecologic-Obstetrics Department Naestved Hospital
74,NCT02143726,Mayo Clinic in Florida
74,NCT02143726,Northwestern University
74,NCT02143726,Siouxland Regional Cancer Center
74,NCT02143726,University of Michigan Comprehensive Cancer Center
74,NCT02143726,Mayo Clinic
74,NCT02143726,Nebraska Methodist Hospital
74,NCT02143726,Memorial Sloan Kettering Basking Ridge
74,NCT02143726,Memorial Sloan Kettering Monmouth
74,NCT02143726,Memorial Sloan Kettering Bergen
74,NCT02143726,Memorial Sloan Kettering Commack
74,NCT02143726,Memorial Sloan Kettering Westchester
74,NCT02143726,Memorial Sloan Kettering Cancer Center
74,NCT02143726,Memorial Sloan Kettering Sleepy Hollow
74,NCT02143726,Memorial Sloan Kettering Nassau
74,NCT02143726,Southeastern Medical Oncology Center-Clinton
74,NCT02143726,Southeastern Medical Oncology Center-Goldsboro
74,NCT02143726,Wayne Memorial Hospital
74,NCT02143726,Southeastern Medical Oncology Center-Jacksonville
74,NCT02143726,Ohio State University Comprehensive Cancer Center
74,NCT02143726,Fox Chase Cancer Center
74,NCT02143726,Mercy Health System
78,NCT02147782,Anhui Province Hospital of TCM
78,NCT02147782,Jiangsu Province Hospital of TCM
78,NCT02147782,Longhua hospital affiliated to Shanghai University of TCM
78,NCT02147782,Huadong Hospital Affiliated to Fudan University
82,NCT02152995,Memorial Sloan Kettering Cancer Center
89,NCT02203682,Zhongshan Ophthalmic Center
93,NCT02210741,National Taiwan University Hospital
97,NCT02378298,"Center for Endocrinology and Metabolism, Sahlgrenska University Hospital"
97,NCT02378298,"MedTech West, Institute of Neuro Science and Physiology, Department for Clinical Neuro Science and Rehabilitation, Sahlgrenska Academy, University of Gothenburg"
97,NCT02378298,"Department of Ophthalmology, Sahlgrenska University Hospital/Mölndal"
97,NCT02378298,"Department of Rheumatology, Sahlgrenska University Hospital/Mölndal"
97,NCT02378298,"Department of Radiology, Karolinska University Hospital"
102,NCT02393690,UC San Diego Moores Cancer Center
102,NCT02393690,Hoag Memorial Hospital
102,NCT02393690,University of Colorado Hospital
102,NCT02393690,MedStar Georgetown University Hospital
102,NCT02393690,Dana-Farber Cancer Institute
102,NCT02393690,Mayo Clinic in Rochester
102,NCT02393690,Memorial Sloan Kettering Cancer Center
102,NCT02393690,Duke University Medical Center
102,NCT02393690,Ohio State University Comprehensive Cancer Center
102,NCT02393690,Vanderbilt University/Ingram Cancer Center
102,NCT02393690,M D Anderson Cancer Center
105,NCT02430584,Regional Obstetrical Consultants
106,NCT02432274,Texas Children's Hospital
106,NCT02432274,CHU Strasbourg - Hopital Hautepierre
106,NCT02432274,Centre Oscar Lambret Lille
106,NCT02432274,Centre Leon Berard
106,NCT02432274,CHU Nantes - Hopital Mere-Enfant
106,NCT02432274,Institut Curie - Centre de Lutte Contre le Cancer (CLCC) de Paris
106,NCT02432274,Institut Gustave Roussy
106,NCT02432274,CHU de Toulouse - Hopital des Enfants
106,NCT02432274,Universitaetsklinikum Muenster
106,NCT02432274,Kinderklinik des Olga hospitals
106,NCT02432274,Istituto Ortopedico Rizzoli
106,NCT02432274,Fondazione IRCCS Istituto Nazionale dei Tumori
106,NCT02432274,Ospedale Pediatrico Bambino Gesu
106,NCT02432274,Hospital Universitari Vall d'Hebron
106,NCT02432274,Hospital Infantil Universitario Nino Jesus
106,NCT02432274,Hospital Universitario y Politecnico La Fe Hospital La Fe Valencia
106,NCT02432274,Birmingham Children's Hospital
106,NCT02432274,University College London Hospital
106,NCT02432274,Royal Victoria Infirmary
109,NCT02440581,University of Kentucky
115,NCT02609685,Cedars-Sinai Medical Center
118,NCT02681328,Jonsson Comprehensive Cancer Center at UCLA
125,NCT02839655,Gustave Roussy
128,NCT02859896,Investigational Site Number :8400022
128,NCT02859896,Investigational Site Number :8400023
128,NCT02859896,Investigational Site Number :8400033
128,NCT02859896,Investigational Site Number :8400005
128,NCT02859896,Investigational Site Number :8400029
128,NCT02859896,Investigational Site Number :8400006
128,NCT02859896,Investigational Site Number :8400008
128,NCT02859896,Investigational Site Number :8400020
128,NCT02859896,Investigational Site Number :8400036
128,NCT02859896,Investigational Site Number :8400014
128,NCT02859896,Investigational Site Number :8400015
128,NCT02859896,Investigational Site Number :8400010
128,NCT02859896,Investigational Site Number :8400016
128,NCT02859896,Investigational Site Number :8400017
128,NCT02859896,Investigational Site Number :8400007
128,NCT02859896,Investigational Site Number :8400021
128,NCT02859896,Investigational Site Number :8400034
128,NCT02859896,Investigational Site Number :8400025
128,NCT02859896,Investigational Site Number :8400004
128,NCT02859896,Investigational Site Number :8400035
128,NCT02859896,Investigational Site Number :8400028
128,NCT02859896,Investigational Site Number :8400027
128,NCT02859896,Investigational Site Number :8400024
128,NCT02859896,Investigational Site Number :8400013
128,NCT02859896,Investigational Site Number :8400019
128,NCT02859896,Investigational Site Number :8400026
128,NCT02859896,Investigational Site Number :8400009
128,NCT02859896,Investigational Site Number :8400001
128,NCT02859896,Investigational Site Number :1520004
128,NCT02859896,Investigational Site Number :1520003
137,NCT02973997,Lundquist Institute for Biomedical Innovation at Harbor-UCLA Medical Center
137,NCT02973997,University of Colorado Hospital
137,NCT02973997,Massachusetts General Hospital Cancer Center
137,NCT02973997,University of Michigan Comprehensive Cancer Center
137,NCT02973997,Memorial Sloan Kettering Cancer Center
137,NCT02973997,Ohio State University Comprehensive Cancer Center
137,NCT02973997,M D Anderson Cancer Center
138,NCT03012620,Gustave Roussy Cancer Campus
140,NCT03013257,Queen Mary Hospital
147,NCT03051126,University of Texas MD Anderson Cancer Center
154,NCT03093909,The University of Texas MD Anderson Cancer Center
160,NCT03105648,National Taiwan University Hospital
161,NCT03109847,Sidney Kimmel Cancer Center at Thomas Jefferson University
163,NCT03122496,Memoral Sloan Kettering Basking Ridge
163,NCT03122496,Memoral Sloan Kettering Monmouth
163,NCT03122496,Memorial Sloan Kettering Bergen
163,NCT03122496,Memorial Sloan Kettering Commack
163,NCT03122496,Memoral Sloan Kettering Westchester
163,NCT03122496,Memorial Sloan Kettering Cancer Center
163,NCT03122496,Memorial Sloan Kettering @ Rockville
163,NCT03122496,Memorial Sloan Kettering Nassau
165,NCT03122847,Aarhus University Hospital
165,NCT03122847,Odense University Hospital
169,NCT03131726,"Dpt. of Endocrinology, SUS Malmö"
174,NCT03162627,University of Texas MD Anderson Cancer Center
180,NCT03244956,Gustave Roussy
183,NCT03249012,CHU de Quebec
185,NCT03271892,University Health Network
186,NCT03274258,M D Anderson Cancer Center
190,NCT03285854,Great Ormond Street Hospital for Children NHS Foundation Trust
192,NCT03300284,Hartford Healthcare (Data Collection)
192,NCT03300284,Memoral Sloan Kettering Monmouth (Consent and Follow up)
192,NCT03300284,MAIMONIDES MEDICAL CENTER (Data collection only)
192,NCT03300284,NYU Langone Health
192,NCT03300284,Memorial Sloan Kettering Cancer Center
192,NCT03300284,Lehigh Valley Health Network
194,NCT03309384,CHU Nancy
202,NCT03375359,"University Hospital Tuebingen, Department of Women's Health"
205,NCT03382158,Children's Minnesota
207,NCT03395925,Johann-Wolfgang Goethe University
208,NCT03420963,M D Anderson Cancer Center
210,NCT03435952,University of Texas MD Anderson Cancer Center
212,NCT03440697,IU School of Medicine
221,NCT03498183,Centre Hospitalier et Universitaire (chu)
221,NCT03498183,CHU
221,NCT03498183,Hospices Civils
221,NCT03498183,Assistance publique des Hôpitaux de Paris
223,NCT03515863,"Zhognshan Ophthalmic Center, Sun Yat-sen University"
223,NCT03515863,the First People's Hospital of Zhaoqing
229,NCT03517579,Johns Hopkins Hospital
236,NCT03574051,First affiliated hospital of Harbin medical university
239,NCT03602261,AKDHC Medical Research Services
239,NCT03602261,"WCCT Global, Inc."
239,NCT03602261,Hacienda Dialysis Center
239,NCT03602261,California Institute of Renal Research CKD/Dialysis & Transplant Division
239,NCT03602261,Long Beach Quest Dialysis Center
239,NCT03602261,Ontario Dialysis Center
239,NCT03602261,"North America Research Institute, Inc."
239,NCT03602261,"Laurel Canyon Dialysis, LLC"
239,NCT03602261,University of Colorado Denver Anschutz Medical Campus
239,NCT03602261,"Research by Design, LLC"
239,NCT03602261,Northshore University Health
239,NCT03602261,Renal and Transplant Associates of New England
239,NCT03602261,Southwest MS Nephrology
239,NCT03602261,Southwest Houston Research LTD
239,NCT03602261,Kidney & Hypertension Specialists
250,NCT03643081,CHU de Nantes
251,NCT03646383,"CHU Toulouse, Hôpital Larrey"
259,NCT03676647,City of Hope Medical Center
262,NCT03708627,University of Washington
271,NCT03724188,Faculty of medicine - Mansoura university
272,NCT03732495,CHU Angers
272,NCT03732495,CHRU Besançon
272,NCT03732495,CHU Bordeaux - Hôpital Saint-André
272,NCT03732495,Institut Bergonie
272,NCT03732495,Hospices Civils de Lyon - Groupement Hospitalier Est
272,NCT03732495,Centre Geogres François Leclerc
272,NCT03732495,Centre Léon Bérard
272,NCT03732495,Centre Antoine Lacassagne
272,NCT03732495,APHP Saint Louis
272,NCT03732495,APHP La Pitié Salpétrière
272,NCT03732495,Institut Jean Godinot
272,NCT03732495,Institut du Cancer Strasbourg (ICANS)
272,NCT03732495,Institut Universitaire du Cancer de Toulouse - Oncopole
272,NCT03732495,Institut Gustave Roussy
274,NCT03753919,Instituto Catalán de Oncología de Hospitalet
274,NCT03753919,Hospital Provincial de Castellón
274,NCT03753919,Hospital Clínic Barcelona
274,NCT03753919,Hospital Universitari Vall d'Hebron
274,NCT03753919,MD Anderson Cancer Center
274,NCT03753919,Hospital Clínico San Carlos
274,NCT03753919,Hospital Universitario 12 de Octubre
274,NCT03753919,Hospital Universitario HM Sanchinarro
274,NCT03753919,Hospital Universitario La Paz
274,NCT03753919,Hospital Universitario Ramón y Cajal
274,NCT03753919,Hospital General Universitario Morales Meseguer
274,NCT03753919,Hospital Universitario Virgen de la Victoria
274,NCT03753919,Clínica Universidad de Navarra
274,NCT03753919,Instituto Valenciano de Oncología
274,NCT03753919,Complejo Hospitalario Universitario de Vigo (CHUVI)
279,NCT03808779,"General Surgery Department, Tianjin Medical University General Hospital"
279,NCT03808779,"Department of Ultrasound, Second Affiliated Hospital, School of Medicine, Zhejiang University"
279,NCT03808779,"Interventional Oncology Centre, State Institution ""Grigoriev Intstitute for Medical Radiology NAMS of Ukraine"""
290,NCT03830242,"Fifth Affiliated Hospital, Sun Yat-Sen University"
295,NCT03866382,University of Alabama at Birmingham Cancer Center
295,NCT03866382,Anchorage Associates in Radiation Medicine
295,NCT03866382,Anchorage Radiation Therapy Center
295,NCT03866382,Alaska Breast Care and Surgery LLC
295,NCT03866382,Alaska Oncology and Hematology LLC
295,NCT03866382,Alaska Women's Cancer Care
295,NCT03866382,Anchorage Oncology Centre
295,NCT03866382,Katmai Oncology Group
295,NCT03866382,Providence Alaska Medical Center
295,NCT03866382,Kingman Regional Medical Center
295,NCT03866382,Cancer Center at Saint Joseph's
295,NCT03866382,Mayo Clinic Hospital in Arizona
295,NCT03866382,Mayo Clinic in Arizona
295,NCT03866382,University of Arizona Cancer Center-Orange Grove Campus
295,NCT03866382,Banner University Medical Center - Tucson
295,NCT03866382,University of Arizona Cancer Center-North Campus
295,NCT03866382,Mercy Hospital Fort Smith
295,NCT03866382,CHI Saint Vincent Cancer Center Hot Springs
295,NCT03866382,Mission Hope Medical Oncology - Arroyo Grande
295,NCT03866382,PCR Oncology
295,NCT03866382,Providence Saint Joseph Medical Center/Disney Family Cancer Center
295,NCT03866382,Community Cancer Institute
295,NCT03866382,University Oncology Associates
295,NCT03866382,Epic Care-Dublin
295,NCT03866382,Bay Area Breast Surgeons Inc
295,NCT03866382,Epic Care Partners in Cancer Care
295,NCT03866382,Marin Cancer Care Inc
295,NCT03866382,Los Angeles County-USC Medical Center
295,NCT03866382,USC / Norris Comprehensive Cancer Center
295,NCT03866382,UCLA / Jonsson Comprehensive Cancer Center
295,NCT03866382,Contra Costa Regional Medical Center
295,NCT03866382,USC Norris Oncology/Hematology-Newport Beach
295,NCT03866382,Alta Bates Summit Medical Center - Summit Campus
295,NCT03866382,Bay Area Tumor Institute
295,NCT03866382,Pacific Central Coast Health Center-San Luis Obispo
295,NCT03866382,Mission Hope Medical Oncology - Santa Maria
295,NCT03866382,Epic Care Cyberknife Center
295,NCT03866382,Penrose-Saint Francis Healthcare
295,NCT03866382,Rocky Mountain Cancer Centers-Penrose
295,NCT03866382,Porter Adventist Hospital
295,NCT03866382,Mercy Medical Center
295,NCT03866382,Southwest Oncology PC
295,NCT03866382,Saint Anthony Hospital
295,NCT03866382,Littleton Adventist Hospital
295,NCT03866382,Longmont United Hospital
295,NCT03866382,Rocky Mountain Cancer Centers-Longmont
295,NCT03866382,Parker Adventist Hospital
295,NCT03866382,Saint Mary Corwin Medical Center
295,NCT03866382,MedStar Georgetown University Hospital
295,NCT03866382,Mount Sinai Comprehensive Cancer Center at Aventura
295,NCT03866382,Holy Cross Hospital
295,NCT03866382,Mayo Clinic in Florida
295,NCT03866382,Mount Sinai Medical Center
295,NCT03866382,Orlando Health Cancer Institute
295,NCT03866382,Emory University Hospital Midtown
295,NCT03866382,Emory University Hospital/Winship Cancer Institute
295,NCT03866382,Emory Saint Joseph's Hospital
295,NCT03866382,Emory Johns Creek Hospital
295,NCT03866382,Saint Alphonsus Cancer Care Center-Boise
295,NCT03866382,Saint Luke's Cancer Institute - Boise
295,NCT03866382,Saint Alphonsus Cancer Care Center-Caldwell
295,NCT03866382,Kootenai Health - Coeur d'Alene
295,NCT03866382,Walter Knox Memorial Hospital
295,NCT03866382,Saint Luke's Cancer Institute - Fruitland
295,NCT03866382,Idaho Urologic Institute-Meridian
295,NCT03866382,Saint Luke's Cancer Institute - Meridian
295,NCT03866382,Saint Alphonsus Medical Center-Nampa
295,NCT03866382,Saint Luke's Cancer Institute - Nampa
295,NCT03866382,Kootenai Clinic Cancer Services - Post Falls
295,NCT03866382,Kootenai Cancer Clinic
295,NCT03866382,Saint Luke's Cancer Institute - Twin Falls
295,NCT03866382,Saint Anthony's Health
295,NCT03866382,Rush - Copley Medical Center
295,NCT03866382,Illinois CancerCare-Bloomington
295,NCT03866382,Loyola Center for Health at Burr Ridge
295,NCT03866382,Illinois CancerCare-Canton
295,NCT03866382,Memorial Hospital of Carbondale
295,NCT03866382,SIH Cancer Institute
295,NCT03866382,Illinois CancerCare-Carthage
295,NCT03866382,Northwestern University
295,NCT03866382,Rush University Medical Center
295,NCT03866382,University of Illinois
295,NCT03866382,University of Chicago Comprehensive Cancer Center
295,NCT03866382,Carle on Vermilion
295,NCT03866382,Cancer Care Specialists of Illinois - Decatur
295,NCT03866382,Decatur Memorial Hospital
295,NCT03866382,Illinois CancerCare-Dixon
295,NCT03866382,Carle Physician Group-Effingham
295,NCT03866382,Crossroads Cancer Center
295,NCT03866382,Illinois CancerCare-Eureka
295,NCT03866382,Illinois CancerCare-Galesburg
295,NCT03866382,Western Illinois Cancer Treatment Center
295,NCT03866382,Loyola Medicine Homer Glen
295,NCT03866382,Illinois CancerCare-Kewanee Clinic
295,NCT03866382,Northwestern Medicine Lake Forest Hospital
295,NCT03866382,Illinois CancerCare-Macomb
295,NCT03866382,Carle Physician Group-Mattoon/Charleston
295,NCT03866382,Loyola University Medical Center
295,NCT03866382,Marjorie Weinberg Cancer Center at Loyola-Gottlieb
295,NCT03866382,Good Samaritan Regional Health Center
295,NCT03866382,UC Comprehensive Cancer Center at Silver Cross
295,NCT03866382,Cancer Care Center of O'Fallon
295,NCT03866382,University of Chicago Medicine-Orland Park
295,NCT03866382,Illinois CancerCare-Ottawa Clinic
295,NCT03866382,Illinois CancerCare-Pekin
295,NCT03866382,Illinois CancerCare-Peoria
295,NCT03866382,Methodist Medical Center of Illinois
295,NCT03866382,Illinois CancerCare-Peru
295,NCT03866382,Valley Radiation Oncology
295,NCT03866382,Illinois CancerCare-Princeton
295,NCT03866382,Southern Illinois University School of Medicine
295,NCT03866382,Springfield Clinic
295,NCT03866382,Memorial Medical Center
295,NCT03866382,Southwest Illinois Health Services LLP
295,NCT03866382,Carle Cancer Center
295,NCT03866382,The Carle Foundation Hospital
295,NCT03866382,Illinois CancerCare - Washington
295,NCT03866382,Rush-Copley Healthcare Center
295,NCT03866382,Reid Health
295,NCT03866382,Mary Greeley Medical Center
295,NCT03866382,McFarland Clinic PC - Ames
295,NCT03866382,McFarland Clinic PC-Boone
295,NCT03866382,Medical Oncology and Hematology Associates-West Des Moines
295,NCT03866382,Mercy Cancer Center-West Lakes
295,NCT03866382,Alegent Health Mercy Hospital
295,NCT03866382,Greater Regional Medical Center
295,NCT03866382,Medical Oncology and Hematology Associates-Laurel
295,NCT03866382,Mercy Medical Center - Des Moines
295,NCT03866382,McFarland Clinic PC-Trinity Cancer Center
295,NCT03866382,McFarland Clinic PC-Jefferson
295,NCT03866382,McFarland Clinic PC-Marshalltown
295,NCT03866382,Mercy Medical Center-West Lakes
295,NCT03866382,Cancer Center of Kansas - Chanute
295,NCT03866382,Cancer Center of Kansas - Dodge City
295,NCT03866382,Cancer Center of Kansas - El Dorado
295,NCT03866382,University of Kansas Clinical Research Center
295,NCT03866382,Central Care Cancer Center - Garden City
295,NCT03866382,Central Care Cancer Center - Great Bend
295,NCT03866382,HaysMed University of Kansas Health System
295,NCT03866382,Cancer Center of Kansas-Independence
295,NCT03866382,Cancer Center of Kansas-Kingman
295,NCT03866382,Lawrence Memorial Hospital
295,NCT03866382,Cancer Center of Kansas-Liberal
295,NCT03866382,Cancer Center of Kansas-Manhattan
295,NCT03866382,Cancer Center of Kansas - McPherson
295,NCT03866382,Cancer Center of Kansas - Newton
295,NCT03866382,Olathe Health Cancer Center
295,NCT03866382,Cancer Center of Kansas - Parsons
295,NCT03866382,Ascension Via Christi - Pittsburg
295,NCT03866382,Cancer Center of Kansas - Pratt
295,NCT03866382,Cancer Center of Kansas - Salina
295,NCT03866382,Salina Regional Health Center
295,NCT03866382,University of Kansas Health System Saint Francis Campus
295,NCT03866382,Cancer Center of Kansas - Wellington
295,NCT03866382,University of Kansas Hospital-Westwood Cancer Center
295,NCT03866382,Cancer Center of Kansas-Wichita Medical Arts Tower
295,NCT03866382,Ascension Via Christi Hospitals Wichita
295,NCT03866382,Cancer Center of Kansas - Wichita
295,NCT03866382,Cancer Center of Kansas - Winfield
295,NCT03866382,Flaget Memorial Hospital
295,NCT03866382,Commonwealth Cancer Center-Corbin
295,NCT03866382,Saint Joseph Radiation Oncology Resource Center
295,NCT03866382,Saint Joseph Hospital East
295,NCT03866382,University of Kentucky/Markey Cancer Center
295,NCT03866382,Saint Joseph London
295,NCT03866382,Jewish Hospital
295,NCT03866382,Saints Mary and Elizabeth Hospital
295,NCT03866382,UofL Health Medical Center Northeast
295,NCT03866382,Jewish Hospital Medical Center South
295,NCT03866382,Hematology/Oncology Clinic PLLC
295,NCT03866382,Ochsner High Grove
295,NCT03866382,Ochsner Medical Center Kenner
295,NCT03866382,East Jefferson General Hospital
295,NCT03866382,LSU Healthcare Network / Metairie Multi-Specialty Clinic
295,NCT03866382,Louisiana State University Health Science Center
295,NCT03866382,Tulane University Health Sciences Center
295,NCT03866382,Ochsner Medical Center Jefferson
295,NCT03866382,Greater Baltimore Medical Center
295,NCT03866382,National Institutes of Health Clinical Center
295,NCT03866382,Lahey Hospital and Medical Center
295,NCT03866382,Lahey Medical Center-Peabody
295,NCT03866382,Winchester Hospital
295,NCT03866382,Saint Joseph Mercy Hospital
295,NCT03866382,IHA Hematology Oncology Consultants-Brighton
295,NCT03866382,Saint Joseph Mercy Brighton
295,NCT03866382,Henry Ford Cancer Institute-Downriver
295,NCT03866382,IHA Hematology Oncology Consultants-Canton
295,NCT03866382,Saint Joseph Mercy Canton
295,NCT03866382,Caro Cancer Center
295,NCT03866382,IHA Hematology Oncology Consultants-Chelsea
295,NCT03866382,Saint Joseph Mercy Chelsea
295,NCT03866382,Hematology Oncology Consultants-Clarkston
295,NCT03866382,Newland Medical Associates-Clarkston
295,NCT03866382,Henry Ford Macomb Hospital-Clinton Township
295,NCT03866382,Henry Ford Medical Center-Fairlane
295,NCT03866382,Henry Ford Hospital
295,NCT03866382,Ascension Saint John Hospital
295,NCT03866382,Great Lakes Cancer Management Specialists-Doctors Park
295,NCT03866382,Genesee Cancer and Blood Disease Treatment Center
295,NCT03866382,Genesee Hematology Oncology PC
295,NCT03866382,Genesys Hurley Cancer Institute
295,NCT03866382,Hurley Medical Center
295,NCT03866382,Academic Hematology Oncology Specialists
295,NCT03866382,Great Lakes Cancer Management Specialists-Van Elslander Cancer Center
295,NCT03866382,Michigan Breast Specialists-Grosse Pointe Woods
295,NCT03866382,Allegiance Health
295,NCT03866382,Sparrow Hospital
295,NCT03866382,Hope Cancer Clinic
295,NCT03866382,Saint Mary Mercy Hospital
295,NCT03866382,Great Lakes Cancer Management Specialists-Macomb Medical Campus
295,NCT03866382,Michigan Breast Specialists-Macomb Township
295,NCT03866382,Saint Mary's Oncology/Hematology Associates of Marlette
295,NCT03866382,Henry Ford Medical Center-Columbus
295,NCT03866382,21st Century Oncology-Pontiac
295,NCT03866382,Hope Cancer Center
295,NCT03866382,Newland Medical Associates-Pontiac
295,NCT03866382,Saint Joseph Mercy Oakland
295,NCT03866382,Huron Medical Center PC
295,NCT03866382,Lake Huron Medical Center
295,NCT03866382,Great Lakes Cancer Management Specialists-Rochester Hills
295,NCT03866382,Ascension Saint Mary's Hospital
295,NCT03866382,Oncology Hematology Associates of Saginaw Valley PC
295,NCT03866382,Henry Ford Macomb Health Center - Shelby Township
295,NCT03866382,Bhadresh Nayak MD PC-Sterling Heights
295,NCT03866382,Ascension Saint Joseph Hospital
295,NCT03866382,Advanced Breast Care Center PLLC
295,NCT03866382,Great Lakes Cancer Management Specialists-Macomb Professional Building
295,NCT03866382,Macomb Hematology Oncology PC
295,NCT03866382,Michigan Breast Specialists-Warren
295,NCT03866382,Saint John Macomb-Oakland Hospital
295,NCT03866382,Henry Ford West Bloomfield Hospital
295,NCT03866382,Saint Mary's Oncology/Hematology Associates of West Branch
295,NCT03866382,Huron Gastroenterology PC
295,NCT03866382,IHA Hematology Oncology Consultants-Ann Arbor
295,NCT03866382,Riverwood Healthcare Center
295,NCT03866382,Essentia Health Saint Joseph's Medical Center
295,NCT03866382,Fairview Ridges Hospital
295,NCT03866382,Minnesota Oncology - Burnsville
295,NCT03866382,Cambridge Medical Center
295,NCT03866382,Mercy Hospital
295,NCT03866382,Essentia Health - Deer River Clinic
295,NCT03866382,Essentia Health Saint Mary's - Detroit Lakes Clinic
295,NCT03866382,Essentia Health Cancer Center
295,NCT03866382,Essentia Health Saint Mary's Medical Center
295,NCT03866382,Miller-Dwan Hospital
295,NCT03866382,Fairview Southdale Hospital
295,NCT03866382,Lake Region Healthcare Corporation-Cancer Care
295,NCT03866382,Essentia Health - Fosston
295,NCT03866382,Unity Hospital
295,NCT03866382,Essentia Health Hibbing Clinic
295,NCT03866382,Fairview Clinics and Surgery Center Maple Grove
295,NCT03866382,Minnesota Oncology Hematology PA-Maplewood
295,NCT03866382,Saint John's Hospital - Healtheast
295,NCT03866382,Abbott-Northwestern Hospital
295,NCT03866382,Hennepin County Medical Center
295,NCT03866382,Health Partners Inc
295,NCT03866382,Monticello Cancer Center
295,NCT03866382,New Ulm Medical Center
295,NCT03866382,Essentia Health - Park Rapids
295,NCT03866382,Fairview Northland Medical Center
295,NCT03866382,North Memorial Medical Health Center
295,NCT03866382,Mayo Clinic in Rochester
295,NCT03866382,Park Nicollet Clinic - Saint Louis Park
295,NCT03866382,Regions Hospital
295,NCT03866382,United Hospital
