,id,nct_id,agency_class,lead_or_collaborator,name,new_class
69,7993699,NCT04248166,OTHER,lead,Seoul St. Mary's Hospital,Health care Institution
70,7716464,NCT03835728,INDUSTRY,collaborator,"Genentech, Inc.",Industry
71,7849128,NCT01265381,NIH,lead,National Cancer Institute (NCI),Government Agency
72,7716463,NCT03835728,OTHER,lead,University of Texas Southwestern Medical Center,Health care Institution
73,7993700,NCT04248166,OTHER,collaborator,Pohang University of Science and Technology,University
74,7994626,NCT04236232,OTHER,lead,Assiut University,University
75,7994276,NCT04240821,OTHER,lead,Ashley Shoemaker,Other
76,7994356,NCT04239521,INDUSTRY,lead,Momentum Data,Other
77,7994357,NCT04239521,INDUSTRY,collaborator,Pfizer,Other
78,7994358,NCT04239521,OTHER,collaborator,University of Surrey,University
79,7994359,NCT04239521,OTHER,collaborator,University of Oxford,University
80,7996093,NCT04216732,OTHER,lead,M.D. Anderson Cancer Center,Health care Institution
81,8085380,NCT03510143,OTHER,lead,Seoul National University Hospital,Health care Institution
82,8085381,NCT03510143,INDUSTRY,collaborator,Green Cross Corporation,Other
83,7996094,NCT04216732,NIH,collaborator,National Cancer Institute (NCI),Government Agency
84,7999046,NCT04180007,OTHER,lead,"Nanjing First Hospital, Nanjing Medical University",Health care Institution
85,7996768,NCT04209179,INDUSTRY,lead,Chugai Pharmaceutical,Health care Institution
86,7997634,NCT04197960,OTHER,lead,Chinese PLA General Hospital,Health care Institution
87,8097585,NCT03395925,INDUSTRY,lead,Olympus Surgical Technologies Europe,Other
88,7996820,NCT04208503,OTHER,lead,"Princess Anna Mazowiecka Hospital, Warsaw, Poland",Health care Institution
89,8085845,NCT03506048,OTHER,lead,Emory University,University
90,8085846,NCT03506048,INDUSTRY,collaborator,Eisai Inc.,Industry
91,7999656,NCT04171622,OTHER,lead,M.D. Anderson Cancer Center,Health care Institution
92,7999115,NCT04178928,OTHER,lead,Ain Shams University,University
93,7999357,NCT04175522,INDUSTRY,lead,Green Cross Corporation,Other
94,7999657,NCT04171622,NIH,collaborator,National Cancer Institute (NCI),Government Agency
95,8086363,NCT03500666,OTHER,lead,Fujian Medical University,University
96,8000583,NCT04160637,OTHER,lead,"University Hospital ""Sestre Milosrdnice""",Health care Institution
97,8001819,NCT04146259,OTHER,lead,University of Athens,University
98,8002624,NCT04137185,INDUSTRY,lead,"Suzhou Zelgen Biopharmaceuticals Co.,Ltd",Industry
99,8002486,NCT04139096,OTHER_GOV,lead,"Institut National de la Santé Et de la Recherche Médicale, France",Other
100,8086582,NCT03498417,OTHER,lead,University of Pisa,University
101,8086597,NCT03498183,OTHER,lead,Nantes University Hospital,Health care Institution
102,8002222,NCT04141540,OTHER,lead,Hôpital le Vinatier,Other
103,8007633,NCT04076514,OTHER,lead,Assiut University,University
104,8003271,NCT04129281,OTHER,lead,"National Cancer Institute, Naples",Government Agency
105,8086737,NCT03496363,OTHER,lead,Assiut University,University
106,8003463,NCT04126941,OTHER,lead,Hospices Civils de Lyon,Health care Institution
107,8005242,NCT04106596,OTHER,lead,Hospices Civils de Lyon,Health care Institution
108,8005245,NCT04106843,OTHER,lead,M.D. Anderson Cancer Center,Health care Institution
109,8005246,NCT04106843,NIH,collaborator,National Cancer Institute (NCI),Government Agency
110,8006841,NCT04085913,OTHER,lead,University of Missouri-Columbia,University
111,8007681,NCT04075851,OTHER_GOV,lead,Shandong Provincial Hospital,Health care Institution
112,8003480,NCT04126954,OTHER,lead,Hospices Civils de Lyon,Health care Institution
113,8003678,NCT04124705,INDUSTRY,lead,Allergan,Other
114,8005826,NCT04098991,OTHER,lead,University of Illinois at Chicago,University
115,8005827,NCT04098991,NIH,collaborator,National Institute of Neurological Disorders and Stroke (NINDS),Government Agency
116,8006005,NCT04096612,OTHER,lead,Sun Yat-sen University,University
117,8006893,NCT04085419,OTHER,lead,University Medical Centre Ljubljana,University
118,8087746,NCT03484416,OTHER,lead,Ewha Womans University Mokdong Hospital,Health care Institution
119,8007940,NCT04072731,OTHER,lead,People's Hospital of Zhengzhou University,Health care Institution
120,8097820,NCT03393728,OTHER_GOV,lead,Yaounde Central Hospital,Health care Institution
121,8009591,NCT04053114,OTHER,lead,Institut Bergonié,Other
122,8009073,NCT04059380,OTHER,lead,University of Roma La Sapienza,University
123,8009563,NCT04053647,OTHER,lead,Nantes University Hospital,Health care Institution
124,8009564,NCT04053647,OTHER_GOV,collaborator,"University Hospital, Angers",Health care Institution
125,8009565,NCT04053647,OTHER,collaborator,Centre Hospitalier le Mans,Health care Institution
126,8009566,NCT04053647,OTHER,collaborator,"University Hospital, Limoges",Health care Institution
127,8009567,NCT04053647,OTHER,collaborator,"Central Hospital, Nancy, France",Health care Institution
128,8009568,NCT04053647,OTHER,collaborator,Pitié-Salpêtrière Hospital,Health care Institution
129,8009765,NCT04051099,OTHER,lead,Mahidol University,University
130,8088213,NCT03479801,OTHER,lead,"Second Affiliated Hospital, School of Medicine, Zhejiang University",Health care Institution
131,8010136,NCT04046354,OTHER,lead,Chinese PLA General Hospital,Health care Institution
132,8011680,NCT04028479,INDUSTRY,lead,Taproot Health,Other
133,8011414,NCT04031638,OTHER,lead,Centre Georges Francois Leclerc,Other
134,8097939,NCT03392402,OTHER,lead,Maria Sklodowska-Curie National Research Institute of Oncology,Other
135,7583357,NCT04895631,OTHER,lead,Thomas Hope,Other
136,8011982,NCT04025034,OTHER,lead,Hospital Universitario 12 de Octubre,Health care Institution
137,8011983,NCT04025034,OTHER,collaborator,Hospital del Río Hortega,Health care Institution
138,8011984,NCT04025034,OTHER,collaborator,The Queen Elizabeth Hospital,Health care Institution
139,8012513,NCT04019509,OTHER,lead,Universitair Ziekenhuis Brussel,Health care Institution
140,8013360,NCT04009863,OTHER,lead,The University of Hong Kong,University
141,8013076,NCT04012476,OTHER,lead,Hospital Son Espases,Health care Institution
142,8013077,NCT04012476,UNKNOWN,collaborator,Universitat de les Illes Balears,Other
143,8089081,NCT03470259,OTHER,lead,University Medical Center Groningen,Health care Institution
144,8089082,NCT03470259,OTHER,collaborator,Erasmus Medical Center,Health care Institution
145,8089143,NCT03469544,OTHER,lead,Assiut University,University
146,8089580,NCT03465176,OTHER,lead,Franklin Health Research,Other
147,8089162,NCT03469310,OTHER,lead,Minerva A Romero Arenas,Other
148,8089189,NCT03469011,OTHER,lead,AHS Cancer Control Alberta,Other
149,8089190,NCT03469011,OTHER,collaborator,Alberta Cancer Foundation,Other
150,8015144,NCT03988517,INDUSTRY,lead,Hamad Medical Corporation,Other
151,8089685,NCT03464149,OTHER,lead,Medical University of Vienna,University
152,8015877,NCT03980132,OTHER,lead,Jesús María Villar del Moral,Other
153,8016073,NCT03977207,OTHER,lead,"University of California, Irvine",University
154,8016074,NCT03977207,NIH,collaborator,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),Government Agency
155,8018383,NCT03948191,OTHER,lead,Dalian University,University
156,8016751,NCT03969108,OTHER,lead,"University Health Network, Toronto",University
157,8016398,NCT03973450,OTHER,lead,Neuromed IRCCS,Other
158,8016780,NCT03968510,OTHER,lead,Uşak University,University
159,8017425,NCT03960437,OTHER,lead,"Thomas Nickolas, MD MS",Other
160,8018827,NCT03942380,OTHER,lead,Christian von Buchwald,Other
161,8018828,NCT03942380,OTHER,collaborator,"Copenhagen University Hospital, Denmark",Health care Institution
162,8018829,NCT03942380,UNKNOWN,collaborator,"Department of Otorhinolaryngology, Head and Neck Surgery and Audiology",Other
163,8019185,NCT03938545,INDUSTRY,lead,Immunovant Sciences GmbH,Other
164,8019248,NCT03937349,OTHER,lead,"Saint Petersburg State University, Russia",University
165,8020639,NCT03922087,OTHER,lead,Sun Yat-sen University,University
166,8019406,NCT03935984,OTHER,lead,ProMedica Health System,Other
167,8019407,NCT03935984,OTHER,collaborator,University of Toledo Health Science Campus,University
168,8019694,NCT03932487,OTHER,lead,Xiaomei Zhang,Other
169,8020210,NCT03926585,OTHER,lead,Birte Nygaard,Other
170,8090639,NCT03454477,OTHER,lead,Fujian Medical University,University
171,8090640,NCT03454464,OTHER,lead,Fujian Medical University,University
172,8020640,NCT03922087,UNKNOWN,collaborator,Huizhou No.1 Maternal and Child Care Service Cencer,Other
173,7718449,NCT03630120,OTHER,lead,H. Lee Moffitt Cancer Center and Research Institute,Health care Institution
174,7718429,NCT03720210,OTHER,lead,Mayo Clinic,Health care Institution
175,7583566,NCT04892303,OTHER,lead,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,Health care Institution
176,7583567,NCT04892303,NIH,collaborator,National Cancer Institute (NCI),Government Agency
177,8021564,NCT03910049,OTHER,lead,Aristotle University Of Thessaloniki,University
178,8021958,NCT03905369,OTHER,lead,Radboud University Medical Center,Health care Institution
179,8021959,NCT03905369,OTHER,collaborator,Dutch Cancer Society,Other
180,8022611,NCT03896958,INDUSTRY,lead,SpeciCare,Other
181,8022612,NCT03896958,OTHER,collaborator,Georgia Institute of Technology,Other
182,8022613,NCT03896958,UNKNOWN,collaborator,Predictive Oncology,Other
183,8022614,NCT03896958,OTHER,collaborator,University of Washington,University
184,8022615,NCT03896958,UNKNOWN,collaborator,Netnoids,Other
185,8022616,NCT03896958,UNKNOWN,collaborator,Northeast Georgia Hospital System,Health care Institution
186,8024754,NCT03871387,OTHER,lead,Yonsei University,University
187,8023196,NCT03889769,OTHER,lead,University of Cagliari,University
188,8023217,NCT03889431,OTHER,lead,Oklahoma State University,University
189,8098372,NCT03387943,INDUSTRY,lead,"CSPC ZhongQi Pharmaceutical Technology Co., Ltd.",Industry
190,8022503,NCT03898622,OTHER,lead,Hospital Civil de Guadalajara,Health care Institution
191,8023120,NCT03891043,OTHER,lead,Instituto de Oftalmología Fundación Conde de Valenciana,Other
192,8023365,NCT03887611,OTHER,lead,Xin-Wu Cui,Other
193,8023366,NCT03887611,OTHER,collaborator,"Xinhua Hospital, Shanghai Jiao Tong University School of Medicine",Health care Institution
194,8023367,NCT03887611,UNKNOWN,collaborator,Wuhan Hospital of Traditional Chinese and Western Medicine,Health care Institution
195,8023368,NCT03887611,UNKNOWN,collaborator,Macheng People's Hospital,Health care Institution
196,8023369,NCT03887611,OTHER,collaborator,"Huangshi Central Hospital, China",Health care Institution
197,8023370,NCT03887611,OTHER,collaborator,Affiliated Hospital of Jiangsu University,Health care Institution
198,8023371,NCT03887611,UNKNOWN,collaborator,The First People's Hospital of Yichang,Health care Institution
199,8023372,NCT03887611,UNKNOWN,collaborator,The Second People's Hospital of Yichang,Health care Institution
200,8023373,NCT03887611,OTHER,collaborator,Xiangyang Central Hospital,Health care Institution
201,8023374,NCT03887611,OTHER,collaborator,The Second Hospital of Anhui Medical University,Health care Institution
202,8023375,NCT03887611,UNKNOWN,collaborator,Anqing People's Hospital,Health care Institution
203,8023376,NCT03887611,UNKNOWN,collaborator,Huainan People's Hospital,Health care Institution
204,8023377,NCT03887611,OTHER,collaborator,Taizhou Hospital,Health care Institution
205,8023378,NCT03887611,OTHER,collaborator,Wenzhou Central Hospital,Health care Institution
206,8023379,NCT03887611,UNKNOWN,collaborator,Xuzhou First People's Hospital,Health care Institution
207,8023380,NCT03887611,OTHER,collaborator,The Central Hospital of Lishui City,Health care Institution
208,8023381,NCT03887611,OTHER,collaborator,Huai'an First People's Hospital,Health care Institution
209,8023382,NCT03887611,UNKNOWN,collaborator,WISCO General Hospital,Health care Institution
210,8023383,NCT03887611,UNKNOWN,collaborator,Jiangxia District First People's Hospital,Health care Institution
211,8023384,NCT03887611,UNKNOWN,collaborator,Enshi State Central Hospital,Health care Institution
212,8023385,NCT03887611,UNKNOWN,collaborator,Lianyungang Third People's Hospital,Health care Institution
213,8023386,NCT03887611,UNKNOWN,collaborator,Xiangyang First People's Hospital,Health care Institution
214,8024197,NCT03878953,INDUSTRY,lead,Shire,Other
215,8026826,NCT03845647,OTHER,lead,"Fifth Affiliated Hospital, Sun Yat-Sen University",Health care Institution
216,8091579,NCT04858867,OTHER,lead,Leiden University Medical Center,Health care Institution
217,7661703,NCT01013597,OTHER,lead,"University of Wisconsin, Madison",University
218,7661704,NCT01013597,INDUSTRY,collaborator,Novartis Pharmaceuticals,Other
219,7584802,NCT04877665,OTHER,lead,"Aga Khan University Hospital, Pakistan",Health care Institution
220,7584297,NCT04883294,OTHER,lead,Maastricht University Medical Center,Health care Institution
221,7584720,NCT04879173,OTHER,lead,Dong Jun Lim,Other
222,7584756,NCT04878614,OTHER,lead,"University of California, Los Angeles",University
223,7584544,NCT04880798,OTHER,lead,Peking Union Medical College Hospital,Health care Institution
224,7584545,NCT04880798,OTHER,collaborator,Beijing Cancer Hospital,Health care Institution
225,7584807,NCT04877613,OTHER,lead,University of Pennsylvania,University
226,8029902,NCT03808779,OTHER,lead,"Second Affiliated Hospital, School of Medicine, Zhejiang University",Health care Institution
227,8028091,NCT03830242,OTHER,lead,"Fifth Affiliated Hospital, Sun Yat-Sen University",Health care Institution
228,8028669,NCT03823859,OTHER,lead,"University Hospital, Basel, Switzerland",Health care Institution
229,8028670,NCT03823859,OTHER,collaborator,ETH Zurich,Other
230,8029505,NCT03813706,OTHER,lead,Zhejiang University,University
231,8029566,NCT03813173,OTHER,lead,Zhejiang University,University
232,8028417,NCT03826680,OTHER,lead,Istanbul University,University
233,8034453,NCT03754621,OTHER_GOV,lead,Bartin State Hospital,Health care Institution
234,8030436,NCT03801980,INDUSTRY,lead,"Sanwa Kagaku Kenkyusho Co., Ltd.",Industry
235,8092663,NCT03447093,OTHER,lead,First Affiliated Hospital of Harbin Medical University,Health care Institution
236,8032629,NCT03776058,INDUSTRY,lead,Amgen,Other
237,8092925,NCT03444246,OTHER,lead,Xijing Hospital,Health care Institution
238,8033563,NCT03765333,OTHER,lead,Grupo Espanol de Tumores Neuroendocrinos,Other
239,8031055,NCT03794375,OTHER,lead,Hospital de Clinicas de Porto Alegre,Health care Institution
240,8032750,NCT03774771,INDUSTRY,lead,Amgen,Other
241,8032929,NCT03772496,OTHER,lead,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences",Health care Institution
242,8032930,NCT03772496,OTHER,collaborator,China-Japan Friendship Hospital,Health care Institution
243,8032931,NCT03772496,OTHER,collaborator,Chinese PLA General Hospital,Health care Institution
244,8032932,NCT03772496,OTHER,collaborator,Beijing Chao Yang Hospital,Health care Institution
245,7585248,NCT04311606,OTHER,lead,Massachusetts Eye and Ear Infirmary,Health care Institution
246,8035126,NCT03747029,OTHER,lead,Azienda Ospedaliero-Universitaria di Modena,Health care Institution
247,7585249,NCT04311606,INDUSTRY,collaborator,Regeneron Pharmaceuticals,Other
248,7585321,NCT04000880,OTHER,lead,University of Alabama at Birmingham,University
249,7585322,NCT04000880,OTHER,collaborator,University of Tennessee Health Science Center,University
250,7585323,NCT04000880,NIH,collaborator,National Cancer Institute (NCI),Government Agency
251,8036435,NCT03732157,OTHER,lead,Assistance Publique - Hôpitaux de Paris,Other
252,7849564,NCT01270425,OTHER,lead,Meir Medical Center,Health care Institution
253,7585594,NCT04876287,OTHER_GOV,lead,Institut de Radioprotection et de Surete Nucleaire,Other
254,7585597,NCT04876534,OTHER,lead,"Fondazione IRCCS Ca' Granda, Ospedale Maggiore Policlinico",Other
255,7585598,NCT04876534,OTHER,collaborator,Mauriziano Umberto I Hospital,Health care Institution
256,7585599,NCT04876534,OTHER,collaborator,Istituto Auxologico Italiano,Other
257,7585600,NCT04876534,OTHER,collaborator,"Azienda Ospedaliera ""Sant'Andrea""",Health care Institution
258,7585601,NCT04876534,OTHER,collaborator,"Azienda Ospedaliero, Universitaria Pisana",Health care Institution
259,7587421,NCT04853680,OTHER,lead,Inha University Hospital,Health care Institution
260,7662011,NCT01025453,OTHER,lead,Memorial Sloan Kettering Cancer Center,Health care Institution
261,7662012,NCT01025453,NETWORK,collaborator,National Comprehensive Cancer Network,Other
262,7662013,NCT01025453,INDUSTRY,collaborator,Pfizer,Other
263,7587154,NCT04857086,OTHER,lead,Huazhong University of Science and Technology,University
264,7587155,NCT04857086,OTHER,collaborator,"Wuhan Union Hospital, China",Health care Institution
265,7587156,NCT04857086,OTHER,collaborator,West China Hospital,Health care Institution
266,7587157,NCT04857086,OTHER,collaborator,The First Affiliated Hospital of Kunming Medical College,Health care Institution
267,7587158,NCT04857086,OTHER,collaborator,Sir Run Run Shaw Hospital,Health care Institution
268,7587159,NCT04857086,OTHER,collaborator,"China-Japan Union Hospital, Jilin University",Health care Institution
269,7587160,NCT04857086,OTHER,collaborator,Chinese PLA General Hospital,Health care Institution
270,7587161,NCT04857086,OTHER,collaborator,Tongji Hospital,Health care Institution
271,7587162,NCT04857086,OTHER,collaborator,First Hospital of China Medical University,Health care Institution
272,7587163,NCT04857086,OTHER,collaborator,Gansu Cancer Hospital,Health care Institution
273,7586273,NCT04868045,OTHER,lead,Memorial Sloan Kettering Cancer Center,Health care Institution
274,7586873,NCT04860622,OTHER,lead,Sehit Prof. Dr. Ilhan Varank Sancaktepe Training and Research Hospital,Health care Institution
275,7588178,NCT04844164,OTHER_GOV,lead,"Endocrinology Research Centre, Moscow",Other
276,8036728,NCT03728959,OTHER,lead,University of Copenhagen,University
277,8036729,NCT03728959,OTHER,collaborator,Hvidovre University Hospital,Health care Institution
278,7588068,NCT04846010,OTHER,lead,"All Natural Medicine Clinic, LLC",Other
279,7588080,NCT04845867,INDUSTRY,lead,ISAR-M GmbH,Other
280,7588081,NCT04845867,INDUSTRY,collaborator,CRI-The Clinical Research Institute GmbH,Other
281,7588179,NCT04844164,UNKNOWN,collaborator,Russian Science Foundation,Other
282,7588310,NCT04842942,OTHER,lead,"University Health Network, Toronto",University
283,7588333,NCT04842994,OTHER_GOV,lead,Tata Memorial Hospital,Health care Institution
284,7589150,NCT04831957,OTHER,lead,Universitair Ziekenhuis Brussel,Health care Institution
285,7673835,NCT01439867,INDUSTRY,lead,Amgen,Other
286,7719155,NCT01974284,OTHER,lead,Yale University,University
287,8037160,NCT03724188,OTHER,lead,Mansoura General Hospital,Health care Institution
288,7794692,NCT00647140,OTHER,lead,Assistance Publique - Hôpitaux de Paris,Other
289,8037722,NCT03718403,OTHER,lead,Massachusetts General Hospital,Health care Institution
290,7589992,NCT04821336,OTHER,lead,Institut Claudius Regaud,Other
291,7589993,NCT04821336,UNKNOWN,collaborator,Cancer Research Center of Toulouse,Other
292,7589793,NCT04823728,OTHER,lead,Hospices Civils de Lyon,Health care Institution
293,8038242,NCT03712683,OTHER,lead,Hawler Medical University,University
294,8037945,NCT03716128,OTHER,lead,Ditte Hansen,Other
295,8037946,NCT03716128,OTHER,collaborator,University of Copenhagen,University
296,8037947,NCT03716128,OTHER,collaborator,Universiteit Antwerpen,Other
297,8093590,NCT03437174,OTHER,lead,University of Wuerzburg,University
298,8093591,NCT03437174,OTHER,collaborator,Ludwig-Maximilians - University of Munich,University
299,8093592,NCT03437174,OTHER,collaborator,University Medical Center Rostock,Health care Institution
300,8093593,NCT03437174,UNKNOWN,collaborator,"Praxis Endokrinologie in Charlottenburg, Berlin",Other
301,8093594,NCT03437174,OTHER,collaborator,"Charite University, Berlin, Germany",University
302,8093595,NCT03437174,UNKNOWN,collaborator,"Endocrine Practice, Oldenburg, Germany",Other
303,7592456,NCT04789993,OTHER,lead,"Central Hospital, Nancy, France",Health care Institution
304,7590920,NCT04809454,OTHER_GOV,lead,"Services Institute of Medical Sciences, Pakistan",Other
305,7591158,NCT04806672,OTHER,lead,Minia University,University
306,7719819,NCT01127503,INDUSTRY,lead,"Bausch Health Americas, Inc.",Industry
307,7719914,NCT01012414,OTHER,lead,Thomas Jefferson University,University
308,7719915,NCT01012414,INDUSTRY,collaborator,Abbott,Other
309,7592092,NCT04794257,OTHER,lead,Marcin Barczynski,Other
310,8039361,NCT04693377,OTHER,lead,M.D. Anderson Cancer Center,Health care Institution
311,7719673,NCT01269749,OTHER,lead,University of Florida,University
312,7719674,NCT01269749,OTHER,collaborator,Baylor College of Medicine,Other
313,7591447,NCT04802876,OTHER,lead,SOLTI Breast Cancer Research Group,Other
314,7591448,NCT04802876,INDUSTRY,collaborator,Novartis,Other
315,8038992,NCT05175404,OTHER,lead,"University Hospital, Ghent",Health care Institution
316,7591784,NCT04798092,OTHER,lead,"Central Hospital, Nancy, France",Health care Institution
317,7591950,NCT04795947,OTHER,lead,Beijing Chao Yang Hospital,Health care Institution
318,8039155,NCT05102292,INDUSTRY,lead,Shanghai Henlius Biotech,Other
319,7720486,NCT00582712,OTHER,lead,"University of Wisconsin, Madison",University
320,7720382,NCT00646282,OTHER,lead,Emory University,University
321,7663221,NCT01073462,INDUSTRY,lead,"AbbVie (prior sponsor, Abbott)",Other
322,8039726,NCT05299632,OTHER,lead,Emory University,University
323,7592823,NCT04785443,OTHER,lead,"University Hospital, Brest",Health care Institution
324,7593365,NCT04778865,OTHER,lead,Universidad de Valparaiso,University
325,8040209,NCT04579757,INDUSTRY,lead,Hutchison Medipharma Limited,Other
326,8040210,NCT04579757,INDUSTRY,collaborator,BeiGene,Other
327,7849740,NCT01272414,OTHER,lead,University of Toronto,University
328,7849741,NCT01272414,INDUSTRY,collaborator,Allergan,Other
329,7663222,NCT01073462,OTHER,collaborator,Assign Data Management and Biostatistics GmbH,Other
330,8040465,NCT03484884,OTHER,lead,Memorial Sloan Kettering Cancer Center,Health care Institution
331,8093861,NCT03434067,OTHER,lead,"Bo Wang,MD",Other
332,7720836,NCT00206375,OTHER,lead,Baylor College of Medicine,Other
333,7720837,NCT00206375,INDUSTRY,collaborator,Eli Lilly and Company,Other
334,7720838,NCT00206375,INDUSTRY,collaborator,TAP Pharmaceutical Products Inc.,Industry
335,7594221,NCT04767763,OTHER,lead,Medical University of Gdansk,University
336,8040685,NCT02143726,OTHER,lead,Alliance for Clinical Trials in Oncology,Other
337,8040749,NCT00579709,INDUSTRY,lead,Enzyvant Therapeutics GmBH,Other
338,8040750,NCT00579709,NIH,collaborator,National Institutes of Health (NIH),Government Agency
339,8040751,NCT00579709,NIH,collaborator,National Institute of Allergy and Infectious Diseases (NIAID),Government Agency
340,8040752,NCT00579709,NIH,collaborator,Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),Government Agency
341,8040686,NCT02143726,NIH,collaborator,National Cancer Institute (NCI),Government Agency
