,PMID,Chemical
101,12843153,recombinant proteins)
101,12843153,thyrotropin)
102,12938097,iodides)
102,12938097,iodide peroxidase)
105,12192540,"sodium chloride, dietary)"
105,12192540,iodized salt)
105,12192540,iodine)
105,12192540,sodium iodide)
106,11943633,"sodium chloride, dietary)"
106,11943633,iodized salt)
106,11943633,iodine)
107,14660812,iodine)
110,11788632,autoantibodies)
110,11788632,thyrotropin)
110,11788632,iodide peroxidase)
112,12227127,"sodium chloride, dietary)"
112,12227127,iodized salt)
112,12227127,iodine)
114,12068130,autoantibodies)
114,12068130,epitopes)
114,12068130,"immunoglobulins, thyroid-stimulating)"
114,12068130,"receptors, thyrotropin)"
114,12068130,thyrotropin-binding inhibitory immunoglobulin)
116,12666822,insulin-like growth factor binding protein 3)
116,12666822,insulin-like growth factor i)
116,12666822,iodine)
116,12666822,selenium)
118,14636743,adrenergic beta-antagonists)
118,14636743,cardiotonic agents)
118,14636743,digitalis glycosides)
118,14636743,propanolamines)
118,14636743,esmolol)
121,12225636,histocompatibility antigens class i)
121,12225636,triiodothyronine)
122,12602545,iodine)
123,12088916,antibodies)
123,12088916,triiodothyronine)
123,12088916,thyrotropin)
123,12088916,thyroglobulin)
123,12088916,iodine)
123,12088916,iodide peroxidase)
123,12088916,thyroxine)
125,14727345,carrier proteins)
125,14727345,membrane transport proteins)
125,14727345,"slc26a4 protein, human)"
125,14727345,sulfate transporters)
126,12112546,carrier proteins)
126,12112546,membrane transport proteins)
126,12112546,"slc26a4 protein, human)"
126,12112546,sulfate transporters)
126,12112546,histidine)
126,12112546,arginine)
127,14666764,antithyroid agents)
127,14666764,"drugs, chinese herbal)"
127,14666764,powders)
127,14666764,methimazole)
127,14666764,thyroxine)
128,12232474,"receptors, thyrotropin)"
128,12232474,"gtp-binding protein alpha subunits, gs)"
129,12487766,antithyroid agents)
131,12446919,"biomarkers, tumor)"
131,12446919,keratins)
133,12973493,triiodothyronine)
133,12973493,technetium)
133,12973493,thyrotropin)
133,12973493,thyroxine)
135,12879780,parathyroid hormone)
135,12879780,radiopharmaceuticals)
135,12879780,technetium tc 99m sestamibi)
136,12195240,iodine)
137,14762489,colloids)
138,14673283,autoantibodies)
138,14673283,rheumatoid factor)
139,12088914,antithyroid agents)
139,12088914,iodine radioisotopes)
139,12088914,radiation-protective agents)
140,11936460,thyrotropin)
140,11936460,iodine)
142,14534011,radiopharmaceuticals)
142,14534011,sodium pertechnetate tc 99m)
143,12296417,iodine)
147,12140107,prolactin)
148,11975374,"sodium chloride, dietary)"
148,11975374,iodized salt)
148,11975374,iodine)
149,12872655,antioxidants)
151,11939756,"sodium chloride, dietary)"
151,11939756,iodized salt)
151,11939756,iodine)
152,14639798,biomarkers)
152,14639798,"sodium chloride, dietary)"
152,14639798,iodized salt)
152,14639798,iodine)
155,14654340,"sodium chloride, dietary)"
155,14654340,iodized salt)
155,14654340,iodine)
157,16444154,iodine)
158,15806798,thyroid hormones)
158,15806798,iodine)
160,12199330,thyroglobulin)
160,12199330,iodine)
160,12199330,selenium)
164,12434111,antithyroid agents)
164,12434111,iodine radioisotopes)
164,12434111,thyroxine)
165,14513882,iodine)
167,12884093,sodium pertechnetate tc 99m)
171,12762632,"receptors, thyrotropin)"
171,12762632,iodine)
172,12940694,environmental pollutants)
173,11858626,thyrotropin)
174,12808806,antithyroid agents)
174,12808806,iodine radioisotopes)
175,12192547,antithyroid agents)
175,12192547,iodine radioisotopes)
175,12192547,radiopharmaceuticals)
175,12192547,recombinant proteins)
175,12192547,carbimazole)
175,12192547,thyrotropin)
175,12192547,thyroxine)
176,11921647,"sodium chloride, dietary)"
176,11921647,iodine)
176,11921647,thyroxine)
177,14768805,anti-bacterial agents)
180,12553699,glycoproteins)
180,12553699,phytohemagglutinins)
180,12553699,plant lectins)
180,12553699,sambucus nigra lectins)
180,12553699,"leukoagglutinins, plants)"
180,12553699,ribosome inactivating proteins)
180,12553699,n-acetylneuraminic acid)
181,12602535,iodine)
187,12508924,thyroxine)
188,14521769,"sodium chloride, dietary)"
188,14521769,iodized salt)
188,14521769,iodine)
189,12397534,iodides)
189,12397534,thyroxine)
190,12723563,iodine radioisotopes)
190,12723563,radiopharmaceuticals)
191,12630081,antithyroid agents)
196,12698518,tamoxifen)
196,12698518,thyroxine)
196,12698518,methylprednisolone)
198,11916292,"angpt1 protein, human)"
198,11916292,angiopoietin-1)
198,11916292,"angpt1 protein, rat)"
198,11916292,membrane glycoproteins)
198,11916292,receptor protein-tyrosine kinases)
198,11916292,"receptor, tie-2)"
199,12822378,thyrotropin)
199,12822378,iodine)
206,11827763,"amino acids, essential)"
206,11827763,biomarkers)
206,11827763,dietary proteins)
206,11827763,prealbumin)
206,11827763,cystathionine beta-synthase)
209,12213667,autoantibodies)
209,12213667,adrenocorticotropic hormone)
209,12213667,thyrotropin)
209,12213667,iodide peroxidase)
209,12213667,hydrocortisone)
211,12195241,iodine)
212,14725052,iodine radioisotopes)
212,14725052,thyroid hormones)
214,12601300,anti-inflammatory agents)
214,12601300,immunosuppressive agents)
214,12601300,iodides)
214,12601300,cyclosporine)
214,12601300,thyrotropin)
214,12601300,azathioprine)
214,12601300,prednisone)
215,12832032,"sodium chloride, dietary)"
215,12832032,iodized salt)
215,12832032,iodine)
216,12746758,biomarkers)
216,12746758,endothelin-1)
217,12948296,iodine)
219,12186643,carrier proteins)
219,12186643,membrane transport proteins)
219,12186643,proteome)
219,12186643,"slc26a4 protein, human)"
219,12186643,sulfate transporters)
221,12193307,"antibodies, bacterial)"
221,12193307,autoantibodies)
221,12193307,thyroglobulin)
221,12193307,iodide peroxidase)
223,12713257,biomarkers)
223,12713257,thyroid hormones)
223,12713257,iodine)
224,11929086,antithyroid agents)
226,12684664,dna primers)
226,12684664,insulin)
226,12684664,leydig insulin-like protein)
226,12684664,protein isoforms)
226,12684664,proteins)
226,12684664,diethylstilbestrol)
228,12371079,thyroxine)
229,12847995,"sodium chloride, dietary)"
229,12847995,thyroid hormones)
229,12847995,iodized salt)
229,12847995,triiodothyronine)
229,12847995,thyrotropin)
229,12847995,iodine)
229,12847995,thyroxine)
230,12649781,"sodium chloride, dietary)"
230,12649781,iodized salt)
230,12649781,iodine)
232,12920352,thyroxine)
234,12687030,androstadienes)
234,12687030,glucocorticoids)
234,12687030,fluticasone)
237,12632929,iodine radioisotopes)
239,12028565,hla antigens)
242,12140870,"antibodies, monoclonal)"
242,12140870,"antigens, cd)"
242,12140870,colloids)
242,12140870,hla-dr antigens)
242,12140870,alkaline phosphatase)
245,11921503,antimanic agents)
245,11921503,triiodothyronine)
245,11921503,thyrotropin)
245,11921503,lithium)
245,11921503,thyroxine)
246,12789104,"sodium chloride, dietary)"
246,12789104,iodized salt)
246,12789104,iodine)
247,12966202,"immunoglobulins, thyroid-stimulating)"
247,12966202,iodine radioisotopes)
247,12966202,sodium iodide)
252,12566735,antibodies)
252,12566735,thyroid hormones)
253,12441155,malondialdehyde)
254,12914399,iodine)
254,12914399,thyroxine)
255,12887286,autoantibodies)
255,12887286,thyroid hormones)
255,12887286,iodine)
256,12901092,soil)
256,12901092,water)
256,12901092,iodine)
257,12112665,carrier proteins)
257,12112665,membrane transport proteins)
257,12112665,"slc26a4 protein, human)"
257,12112665,sulfate transporters)
257,12112665,dna)
258,12584656,"sodium chloride, dietary)"
258,12584656,iodized salt)
258,12584656,iodine)
259,14768174,e-selectin)
259,14768174,intercellular adhesion molecule-1)
262,12640473,"sodium chloride, dietary)"
262,12640473,iodized salt)
262,12640473,iodized oil)
262,12640473,iodine)
263,12490071,dna-binding proteins)
263,12490071,nuclear proteins)
263,12490071,pax8 transcription factor)
263,12490071,"pax8 protein, human)"
263,12490071,paired box transcription factors)
263,12490071,"receptors, thyrotropin)"
263,12490071,trans-activators)
264,14665710,"biomarkers, tumor)"
264,14665710,galectin 3)
264,14665710,"rna, messenger)"
264,14665710,thromboplastin)
264,14665710,ec 3.2.1.
264,14665710,glucuronidase)
265,14669608,potassium iodide)
265,14669608,thyrotropin)
266,14708909,thyroid hormones)
266,14708909,thyrotropin)
266,14708909,cholesterol)
266,14708909,creatinine)
268,12943562,"sodium chloride, dietary)"
268,12943562,iodized salt)
268,12943562,iodine)
269,12139131,iodine)
270,12793063,adrenal cortex hormones)
270,12793063,anti-inflammatory agents)
270,12793063,antithyroid agents)
270,12793063,iodine radioisotopes)
270,12793063,vasoconstrictor agents)
270,12793063,methylprednisolone hemisuccinate)
270,12793063,octreotide)
270,12793063,prednisone)
275,12580868,antithyroid agents)
275,12580868,interferon beta-1b)
275,12580868,interferon-beta)
275,12580868,thyroxine)
275,12580868,interferon beta-1a)
276,12624675,iodine radioisotopes)
277,14503896,iodine)
278,11982986,thyroxine)
280,12362592,"sodium chloride, dietary)"
280,12362592,iodized salt)
280,12362592,iodine)
282,12069220,iodine)
282,12069220,propranolol)
283,12945184,cesium isotopes)
283,12945184,radioactive pollutants)
283,12945184,iodine)
284,11916762,hemoglobins)
284,11916762,"sodium chloride, dietary)"
284,11916762,iodized salt)
284,11916762,thyrotropin)
284,11916762,iodine)
284,11916762,iron)
284,11916762,thyroxine)
285,15562741,thyrotropin)
285,15562741,iodine)
286,12943834,parathyroid hormone)
288,14710590,thyrotropin)
288,14710590,iodine)
290,12494301,"sodium chloride, dietary)"
290,12494301,iodized salt)
290,12494301,iodine)
291,12596476,glucocorticoids)
292,12540404,"iron, dietary)"
292,12540404,"sodium chloride, dietary)"
292,12540404,iodized salt)
292,12540404,iodine)
293,12675959,"sodium chloride, dietary)"
293,12675959,iodized salt)
293,12675959,iodine)
294,14587443,iodine)
295,12446916,iodine)
296,11850477,thallium radioisotopes)
296,11850477,thyrotropin)
296,11850477,thyroglobulin)
298,12729480,antibodies)
299,12574230,"antibodies, monoclonal)"
299,12574230,capsid proteins)
299,12574230,"vp1 protein, polyomavirus)"
300,12919152,"sodium chloride, dietary)"
300,12919152,thyrotropin)
300,12919152,iodine)
300,12919152,thyroxine)
301,12870222,iodine)
302,12845488,diuretics)
302,12845488,iodine radioisotopes)
302,12845488,furosemide)
302,12845488,iodine)
303,12581471,"sodium chloride, dietary)"
303,12581471,iodized salt)
303,12581471,iodine)
304,14690034,"sodium chloride, dietary)"
304,14690034,iodized salt)
304,14690034,triiodothyronine)
304,14690034,iodized oil)
304,14690034,thyrotropin)
304,14690034,iodine)
304,14690034,thyroxine)
305,14974907,autoantibodies)
305,14974907,"sodium chloride, dietary)"
305,14974907,thiocyanates)
305,14974907,iodine)
306,12733841,thyroglobulin)
306,12733841,iodine)
307,12236085,calcium)
308,12762633,iodine radioisotopes)
308,12762633,iodine)
309,12862416,iodine)
309,12862416,creatinine)
311,12444889,antibodies)
311,12444889,antithyroid agents)
311,12444889,drug combinations)
311,12444889,"receptors, thyrotropin)"
311,12444889,thyroxine)
312,14671219,iodine radioisotopes)
312,14671219,recombinant proteins)
312,14671219,thyrotropin)
313,14663910,fibronectins)
314,12658827,thyroid hormones)
314,12658827,thyrotropin)
315,12727994,"biomarkers, tumor)"
315,12727994,neoplasm proteins)
315,12727994,proliferating cell nuclear antigen)
315,12727994,"rna, messenger)"
315,12727994,"receptors, fibroblast growth factor)"
315,12727994,securin)
315,12727994,"pituitary tumor-transforming protein 1, human)"
315,12727994,fibroblast growth factor 2)
316,12699588,dna-binding proteins)
316,12699588,indicators and reagents)
316,12699588,isoenzymes)
316,12699588,nuclear proteins)
316,12699588,pax8 transcription factor)
316,12699588,"pax8 protein, human)"
316,12699588,paired box transcription factors)
316,12699588,"rna, messenger)"
316,12699588,trans-activators)
316,12699588,cyclic amp)
316,12699588,iodide peroxidase)
316,12699588,cyclic amp-dependent protein kinase type 1i)
316,12699588,cyclic amp-dependent protein kinases)
316,12699588,protein kinase c)
317,12915634,dna)
317,12915634,thyroglobulin)
318,14751036,dna transposable elements)
318,14751036,flavoproteins)
318,14751036,iodides)
318,14751036,perchlorates)
318,14751036,potassium compounds)
318,14751036,potassium perchlorate)
318,14751036,ec 1.11.1.
318,14751036,iodide peroxidase)
318,14751036,ec 1.6.3.
318,14751036,"duox2 protein, human)"
320,12906364,iodine)
323,12699595,antibodies)
323,12699595,"sodium chloride, dietary)"
323,12699595,thyrotropin)
323,12699595,thyroglobulin)
323,12699595,iodine)
323,12699595,iodide peroxidase)
323,12699595,thyroxine)
324,12917062,iodine radioisotopes)
324,12917062,recombinant proteins)
324,12917062,triiodothyronine)
324,12917062,thyrotropin)
324,12917062,thyroxine)
326,12033961,"antigens, differentiation)"
326,12033961,galectin 3)
326,12033961,biotin)
326,12033961,digoxigenin)
327,12791623,"sodium chloride, dietary)"
327,12791623,iodized salt)
327,12791623,thyroglobulin)
327,12791623,iodine)
328,12230425,iodine radioisotopes)
330,12457449,capsules)
330,12457449,drug combinations)
330,12457449,hemoglobins)
330,12457449,"sodium chloride, dietary)"
330,12457449,iodized salt)
330,12457449,iodine)
330,12457449,iron)
330,12457449,thyroxine)
331,14615862,iodine radioisotopes)
331,14615862,iodine)
332,12001982,thyrotropin)
332,12001982,iodine)
334,12035935,"sodium chloride, dietary)"
334,12035935,iodized salt)
334,12035935,iodine)
336,12585349,thyrotropin)
336,12585349,thyroxine)
337,14557483,biomarkers)
337,14557483,carrier proteins)
337,14557483,flavoproteins)
337,14557483,membrane transport proteins)
337,14557483,"receptors, thyrotropin)"
337,14557483,"slc26a4 protein, human)"
337,14557483,sulfate transporters)
337,14557483,symporters)
337,14557483,sodium-iodide symporter)
337,14557483,thyroglobulin)
337,14557483,iodine)
337,14557483,ec 1.11.1.
337,14557483,iodide peroxidase)
337,14557483,ec 1.6.3.
337,14557483,"duox1 protein, human)"
337,14557483,"duox2 protein, human)"
337,14557483,thyroxine)
338,11890636,sodium chloride)
338,11890636,iodine)
339,12225641,iodine)
340,14514342,"receptors, thyrotropin)"
340,14514342,thyrotropin)
340,14514342,iodine)
340,14514342,heterotrimeric gtp-binding proteins)
342,11833000,"immunoglobulins, thyroid-stimulating)"
342,11833000,iodine radioisotopes)
342,11833000,"receptors, thyrotropin)"
343,14564120,thyroxine)
344,12518249,hormones)
344,12518249,oils)
344,12518249,triiodothyronine)
344,12518249,thyrotropin)
344,12518249,thyroglobulin)
344,12518249,iodine)
344,12518249,thyroxine)
346,11807618,antithyroid agents)
346,11807618,iodine radioisotopes)
347,12972211,serum amyloid a protein)
348,12165658,"antigens, cd34)"
348,12165658,s100 proteins)
349,12585342,"antigens, cd19)"
349,12585342,cd3 complex)
349,12585342,triiodothyronine)
349,12585342,leukocyte common antigens)
349,12585342,thyroxine)
350,12146030,"antibodies, monoclonal)"
350,12146030,hyaluronan receptors)
350,12146030,cyclin d1)
351,12864797,iodides)
351,12864797,"rna, messenger)"
351,12864797,iodide peroxidase)
352,14640988,antithyroid agents)
352,14640988,iodine radioisotopes)
352,14640988,radiation-protective agents)
352,14640988,methimazole)
353,11916282,antithyroid agents)
353,11916282,iodine radioisotopes)
353,11916282,methimazole)
353,11916282,thyroxine)
354,12471001,antithyroid agents)
355,12516697,salts)
355,12516697,iodine)
356,12720531,autoantibodies)
357,12225640,iodine radioisotopes)
358,12097201,antithyroid agents)
358,12097201,iodine radioisotopes)
358,12097201,lithium)
359,11932316,carrier proteins)
359,11932316,iodides)
359,11932316,membrane transport proteins)
359,11932316,"slc26a4 protein, human)"
359,11932316,sulfate transporters)
361,12481010,galectins)
361,12481010,"lgals7 protein, human)"
361,12481010,"lgals7 protein, rat)"
361,12481010,keratins)
363,11936473,b7-1 antigen)
363,11936473,"rna, messenger)"
363,11936473,intercellular adhesion molecule-1)
363,11936473,alkaline phosphatase)
365,12975785,antithyroid agents)
365,12975785,propylthiouracil)
367,12225647,thyroxine)
368,12474915,autoantibodies)
369,12740015,biomarkers)
369,12740015,endothelial growth factors)
369,12740015,endothelin-1)
369,12740015,growth substances)
369,12740015,intercellular signaling peptides and proteins)
369,12740015,lymphokines)
369,12740015,proliferating cell nuclear antigen)
369,12740015,"receptors, purinergic p1)"
369,12740015,transforming growth factor beta)
369,12740015,vascular endothelial growth factor a)
369,12740015,vascular endothelial growth factors)
369,12740015,fibroblast growth factor 2)
369,12740015,"nos3 protein, human)"
369,12740015,nitric oxide synthase)
369,12740015,nitric oxide synthase type 1i)
369,12740015,nitric oxide synthase type 1ii)
369,12740015,"nos3 protein, mouse)"
370,12116555,drug combinations)
370,12116555,iodine)
370,12116555,thyroxine)
371,12720530,immunosuppressive agents)
373,12532684,"sodium chloride, dietary)"
373,12532684,iodized salt)
373,12532684,iodine)
375,12748250,estrogen receptor alpha)
375,12748250,estrogen receptor beta)
375,12748250,estrogens)
375,12748250,"rna, messenger)"
375,12748250,"receptors, estrogen)"
375,12748250,ec 1.1.
375,12748250,3(17)-hydroxysteroid dehydrogenase)
377,11982987,thyroxine)
378,12442308,chromatin)
378,12442308,"dna, neoplasm)"
379,12213665,enzyme inhibitors)
379,12213665,triiodothyronine)
379,12213665,potassium iodide)
379,12213665,nadp)
379,12213665,"triiodothyronine, reverse)"
379,12213665,hydrogen peroxide)
379,12213665,iodide peroxidase)
379,12213665,ec 1.6.3.
379,12213665,iopanoic acid)
379,12213665,thyroxine)
379,12213665,calcium)
380,11751062,iodine)
381,11889201,endothelial growth factors)
381,11889201,endothelins)
381,11889201,lymphokines)
381,11889201,proteins)
381,11889201,vascular endothelial growth factor a)
381,11889201,vascular endothelial growth factors)
381,11889201,iodine)
381,11889201,"nos3 protein, human)"
381,11889201,nitric oxide synthase)
381,11889201,nitric oxide synthase type 1ii)
383,12082694,antibodies)
383,12082694,thyrotropin)
383,12082694,iodide peroxidase)
384,11982740,thyrotropin)
384,11982740,thyroxine)
385,12005000,propylthiouracil)
388,12722837,cytokines)
388,12722837,hormones)
389,12762635,autoantibodies)
389,12762635,thyroid hormones)
389,12762635,thyrotropin)
389,12762635,thyroglobulin)
389,12762635,iodine)
389,12762635,iodide peroxidase)
390,12447634,amyloid)
392,12002938,iodine radioisotopes)
394,12580741,iodine)
397,12762640,autoantibodies)
397,12762640,thyrotropin)
397,12762640,thyroglobulin)
397,12762640,iodine)
401,12371388,"receptors, thyrotropin)"
402,11916616,iodides)
402,11916616,iodide peroxidase)
403,12364477,"antigens, differentiation)"
403,12364477,"biomarkers, tumor)"
403,12364477,galectin 3)
403,12364477,"rna, messenger)"
404,14655457,iodine radioisotopes)
405,12410951,autoantibodies)
405,12410951,"sodium chloride, dietary)"
405,12410951,iodized salt)
405,12410951,iodine)
407,14586508,nitrates)
407,14586508,symporters)
407,14586508,sodium-iodide symporter)
408,12739739,iodine radioisotopes)
408,12739739,iodine)
409,12148388,thyroid hormones)
411,15022401,"sodium chloride, dietary)"
411,15022401,iodine)
413,12693603,iodine)
414,14623750,cholera toxin)
416,12783706,"rna, messenger)"
416,12783706,ec 3.6.1.
417,12729476,thyroid hormones)
417,12729476,ethanol)
418,12100072,"contraceptives, oral, hormonal)"
418,12100072,thyrotropin)
418,12100072,iodine)
421,11838731,technetium tc 99m sestamibi)
423,12951976,antithyroid agents)
425,15072284,"sodium chloride, dietary)"
425,15072284,iodine)
426,14595788,"antigens, cd)"
426,14595788,"antigens, differentiation, myelomonocytic)"
426,14595788,biomarkers)
426,14595788,"cd68 antigen, human)"
428,12424934,"sodium chloride, dietary)"
428,12424934,thiocyanates)
428,12424934,iodine)
428,12424934,thiocyanate)
429,12411067,iodine)
432,12065237,"culture media, conditioned)"
432,12065237,peptide fragments)
432,12065237,colforsin)
432,12065237,8-bromo cyclic adenosine monophosphate)
432,12065237,angiostatins)
432,12065237,plasminogen)
432,12065237,cyclic amp)
432,12065237,ec 3.4.21.
432,12065237,tissue plasminogen activator)
432,12065237,urokinase-type plasminogen activator)
432,12065237,matrix metalloproteinase 2)
432,12065237,acetylcysteine)
433,12224455,sclerosing solutions)
433,12224455,ethanol)
434,12658310,iodine)
435,12214861,oxidants)
435,12214861,reducing agents)
435,12214861,surface-active agents)
435,12214861,urea)
435,12214861,thyroglobulin)
435,12214861,thermolysin)
435,12214861,protein disulfide-isomerases)
435,12214861,glutathione)
435,12214861,dithiothreitol)
436,12354133,"sodium chloride, dietary)"
436,12354133,iodized salt)
436,12354133,thyrotropin)
436,12354133,iodine)
436,12354133,thyroxine)
437,12382370,iodine radioisotopes)
438,12148391,"sodium chloride, dietary)"
438,12148391,iodine)
439,12490109,intercellular adhesion molecule-1)
440,12508836,immunoglobulins)
440,12508836,radiopharmaceuticals)
440,12508836,technetium tc 99m immunoglobulin)
440,12508836,technetium)
443,12914396,iodine)
448,12186199,iodine)
449,12715636,"sodium chloride, dietary)"
449,12715636,iodized salt)
449,12715636,iodine)
452,12626830,iodine)
454,14655137,calcitonin)
456,14649472,iodine)
457,12166366,"sodium chloride, dietary)"
457,12166366,iodized salt)
457,12166366,iodine)
458,12049693,antithyroid agents)
458,12049693,iodine radioisotopes)
458,12049693,methimazole)
459,12845832,glucocorticoids)
459,12845832,thyrotropin)
463,12667361,"sodium chloride, dietary)"
463,12667361,iodized salt)
463,12667361,iodine)
464,12390346,cytokines)
464,12390346,interleukin-6)
464,12390346,tumor necrosis factor-alpha)
467,12766787,iodine radioisotopes)
468,17722789,autoantibodies)
468,17722789,"receptors, thyrotropin)"
469,12669544,iodine)
471,12715652,thyroid hormones)
471,12715652,iodine)
474,17298157,"sodium chloride, dietary)"
474,17298157,iodized salt)
474,17298157,iodine)
477,12882135,iodine)
479,15027738,amyloid)
482,11944374,iodine)
485,15323237,iodine)
486,14735747,iodine)
487,12627600,thyroid hormones)
487,12627600,vitamins)
487,12627600,iodine)
490,15022905,autoantibodies)
490,15022905,anti-thyroglobulin)
490,15022905,thyroid microsomal antibodies)
495,12715346,anti-inflammatory agents)
495,12715346,isoenzymes)
495,12715346,thyrotropin)
495,12715346,alpha-amylases)
495,12715346,thyroxine)
496,12508922,iodine)
498,12011748,interferon-alpha)
502,12113636,immunosuppressive agents)
503,12415954,antithyroid agents)
503,12415954,methimazole)
503,12415954,thyroxine)
504,12043914,radiopharmaceuticals)
504,12043914,thallium radioisotopes)
504,12043914,thyroglobulin)
505,12049696,adrenergic beta-antagonists)
505,12049696,iodine radioisotopes)
505,12049696,vasodilator agents)
505,12049696,amiodarone)
506,11936466,human growth hormone)
506,11936466,insulin-like growth factor i)
506,11936466,thyrotropin)
507,12324715,methimazole)
507,12324715,thyroxine)
510,12739735,autoantibodies)
510,12739735,iodine radioisotopes)
510,12739735,triiodothyronine)
510,12739735,thyrotropin)
510,12739735,thyroxine)
511,12488353,autoantibodies)
511,12488353,"immunoglobulins, thyroid-stimulating)"
511,12488353,"receptors, thyrotropin)"
511,12488353,"vaccines, dna)"
511,12488353,thyrotropin-binding inhibitory immunoglobulin)
512,12244277,iodine)
513,12518252,antibodies)
