,PMID,Other_terms
1725,29275168,*mutation
1726,29275168,*thyroglobulin gene
1727,29275168,*truncated thyroglobulin protein
1728,28602544,*sternotomy
1729,28602544,*substernal goiter
1730,28602544,*thyroidectomy
1731,29548512,developed world
1732,29548512,developing world
1733,29548512,iodine deficiency
1734,29548512,low-resource setting
1735,29548512,thyroid cancer
1736,29548512,thyroid disease
1737,29548512,thyroid surgery
1738,29242007,*ecmo
1739,29242007,*extracorporeal membrane oxygenation
1740,29242007,*airway management
1741,29242007,*airway obstruction
1742,29242007,*mediastinal goiter
1743,29242007,*thyroid surgery
1744,30989520,*thyroid nodule
1745,30989520,*benign adenoma
1746,30989520,*multinodular goiter
1747,30989520,*thyroid cancer
1748,30037617,goiter
1749,30037617,hypothyroidism
1750,30037617,iodine deficiency
1751,30037617,native americans
1752,30037617,paleopathology
1755,31740871,thyroid papillary cancer haemogram
1756,29406821,graves' disease
1757,29406821,traditional chinese medicine
1758,29406821,goiter dispersion formula
1759,29406821,hyperthyroidism
1760,29406821,neurologic manifestations
1762,29215302,traditional chinese medicine
1763,29215302,goiter
1764,29215302,herbal regimen
1765,30055100,children
1766,30055100,iodine supply
1767,30055100,thyroid diseases
1768,30055100,thyromegaly
1769,29452573,metformin
1770,29452573,diffuse/nodular goiter
1771,29452573,insulin resistance
1772,29452573,obesity
1773,29452573,thyroid
1774,30820869,acute external compression of the trachea
1775,30820869,basedow’s goiter
1776,30820869,death
1777,30820869,intra-thyroid hemorrhage
1779,30084100,*euthyroid nodular goiter
1780,30084100,*insulin resistance
1781,30084100,*pulse wave velocity
1782,30084100,*strain index
1787,30506185,intrathoracic goitres
1788,30506185,retrosternal goitres
1789,30506185,substernal goitres
1790,30506185,thyroidectomy
1795,30220410,diagnosis
1796,30220410,diagnostic
1797,30220410,graves’ disease
1798,30220410,hyperthyroidism
1799,30220410,hyperthyroïdie
1800,30220410,maladie de basedow
1801,30843179,graves’ disease
1802,30843179,n-glycosylation
1803,30843179,tshr
1804,30843179,sialylation
1805,30843179,thyroid
1807,29360235,*avoiding sternotomy
1808,29360235,*intracapsular thyroidectomy
1809,29360235,*microdebrider
1810,29360235,*retrosternal goiter
1811,29360235,*thyroidectomy
1813,29348117,*graves' disease
1814,29348117,*carbimazole
1815,29348117,*radioiodine
1816,29348117,*thyroid
1817,29348117,*thyrotoxicosis cois
1823,30583800,completion thyroidectomy
1824,30583800,complications
1825,30583800,hemithyroidectomy
1826,30583800,hormone replacement
1827,30583800,isthmolobectomie
1828,30583800,supplémentation hormonale
1829,30583800,thyroïdectomie totale
1830,30583800,total thyroidectomy
1831,30583800,totalisation
1833,31813786,*antigen-specific immunotherapy
1834,31813786,*autoimmune thyroid disorders
1835,31813786,*corticosteroids
1836,31813786,*rituximab
1837,31813786,*teprotumumab
1838,31813786,*tocilizumab cois
1841,31281088,*asymmetrical nodular goitre
1842,31281088,*benign thyroid disease
1843,31281088,*hemithyroidectomy
1844,31281088,*thyroid surgery
1846,30634005,fetal therapy
1847,30634005,fetal thyroid
1848,30634005,thyroid disorders
1849,30158361,bone mineral density
1850,30158361,multinodular goiter
1851,30158361,thyroxine
1855,30044192,goitre
1856,30044192,theodor kocher
1857,30044192,thyroidectomy
1864,30701789,graves’ disease
1865,30701789,hyperthyroidism
1866,30701789,thyroid
1867,30701789,thyrotoxicosis
1868,30701789,toxic multinodular goiter
1869,31512191,graves’ disease
1870,31512191,graves’s orbithopathy
1871,31512191,lenin
1872,31512191,theodor kocher
1873,30417713,autoimmune thyroid disease
1874,30417713,graves’ disease
1875,30417713,hashitoxicosis
1876,30417713,fetal and neonatal hyperthyroidism
1877,30417713,methimazole treatment
1878,30417713,pediatric age
1879,30417713,radioiodine therapy
1880,30417713,thyroidectomy
1882,30456548,goiter
1883,30456548,graves’ disease
1884,30456548,iodine
1885,30456548,thyroid function tests
1886,30456548,thyroid gland
1887,31250924,*endocrinology
1888,31250924,*head and neck surgery
1889,31250924,*thyroid diseases
1890,31250924,*thyroid hormones
1898,31758881,*hashimoto’s thyroiditis
1899,31758881,*hypothyroidism
1900,31758881,*precocious puberty
1901,31758881,*stature cois
1902,31533103,acne
1903,31533103,minocycline
1904,31533103,tetracycline
1905,31533103,thyroiditis
1906,31235068,acfa
1907,31235068,atrial fibrillation
1908,31235068,complication
1909,31235068,complications
1910,31235068,heart failure
1911,31235068,hyperthyroidism
1912,31235068,hyperthyroïdie
1913,31235068,insuffisance cardiaque
1915,30637676,*goiter
1916,30637676,*hypothyroidism
1917,30637676,*iodine deficiency disorders
1919,31127592,goiter
1920,31127592,medical diagnosis
1921,31127592,painting
1922,31127592,saints
1924,31757411,*graves disease
1925,31757411,*hyperthyroidism
1926,31757411,*nodular goiter
1927,31757411,*thyroid cancer
1930,31721133,antithyroid drugs
1931,31721133,dietary supplements
1932,31721133,graves’ disease
1933,31721133,graves’ orbitopathy
1934,31721133,hyperthyroidism
1935,31721133,selenium cois assessment and supplementation.
1936,30835061,euthyroid
1937,30835061,medical diagnosis
1938,30835061,portrait
1940,28879586,amyloid
1941,28879586,amyloid goiter
1942,28879586,frozen section
1943,28879586,medullary thyroid carcinoma
1944,28879586,parathyroid cois interest to disclose. ethical approval: this article does not contain any studies with human participants or animals performed by any of the authors.
1946,29374396,adenolipoma
1947,29374396,thyroid
1948,29374396,ultrasound cois informed consent: written informed consent was obtained from the patient for the publication of this case report and accompanying images. ethical approval: all procedures performed in studies involving human participants were in accordance with the ethical standards of the institutional and/or national research committee and with the 1964 helsinki declaration and its later amendments or comparable ethical standards.
1950,30196262,emergency medicine
1951,30196262,haematology (incl blood transfusion)
1952,30196262,radiology (diagnostics)
1953,30196262,thyroid disease cois
1955,30989613,endocrinology
1956,30989613,frederic bazille
1957,30989613,painting cois conflict of interest.
1962,31651072,*graves' disease
1963,31651072,*hashimoto's thyroiditis
1964,31651072,*difficulty
1965,31651072,*outcomes
1966,31651072,*thyroidectomy
1968,31182347,hipocalcemia
1969,31182347,hipoparatiroidismo
1970,31182347,hormona paratiroidea
1971,31182347,hypocalcemia
1972,31182347,hypoparathyroidism
1973,31182347,parathyroid hormone
1974,31182347,thyroidectomy
1975,31182347,tiroidectomía
1976,29911397,hyperthyroidism
1977,29911397,thyroiditis
1978,29911397,thyrotoxicosis
1979,29911397,ultrasonography
1980,29911397,ultrasonography/adverse effects
1983,31007819,hyperthyroidism
1984,31007819,senegal
1985,31007819,jaundice cois
1987,28887209,*biomarkers
1988,28887209,*gas-phase fractionation (gpf)
1989,28887209,*proteomics
1990,28887209,*tandem mass tag™ (tmt)
1991,28887209,*tears
1992,28887209,*thyroid-associated orbitopathy
1993,29319139,99mtc-dtpa
1994,29319139,go
1995,29319139,hyperthyroidism
1996,31691668,balanced orbital decompression
1997,31691668,bony orbital decompression
1998,31691668,lateral orbital wall
1999,31691668,medial orbital wall
2000,31691668,optic neuropathy
2001,31691668,strabismus
2003,30918569,hyperthyroidism
2004,30918569,surgery
2005,30918569,thyroidectomy cois
2007,29395824,*airway obstruction
2008,29395824,*cardiopulmonary bypass
2009,29395824,*morbid
2010,29395824,*obese
2011,29395824,*retrosternal goiter
2012,29395824,*thyroid disease
2013,29395824,*tracheal compression
2014,30333321,*endocrinology
2015,30333321,*genetics
2016,30333321,*molecular genetics
2017,30333321,*monogenic diseases
2018,30333321,*thyroid disease cois exists
2019,30375286,* gene
2020,30375286,*congenital hypothyroidism
2021,30375286,*oligogenic mutations cois
2022,29461666,*ligament of berry
2023,29461666,*laryngeal
2024,29461666,*nerve
2025,29461666,*recurrent
2026,29461666,*thyroidectomy
2028,29729448,graves' disease
2029,29729448,graves' orbitopathy
2030,29729448,neuropsychiatric disorders
2031,29729448,quality of life
2037,31400860,ambulatoire
2038,31400860,chirurgie
2039,31400860,facteurs de risque
2040,31400860,outpatient
2041,31400860,risk factors
2042,31400860,surgery
2043,31400860,thyroid
2044,31400860,thyroïde
2045,30843109,*children
2046,30843109,*graves’ disease
2047,30843109,*proteinuria
2048,30213303,epigenetics
2049,30213303,genetics
2050,30213303,graves’disease
2051,30213303,génétique
2052,30213303,maladie de basedow
2053,30213303,prediction score
2054,30213303,score de prédiction
2055,30213303,épigénétique
2058,31562615,multinodular goiter
2059,31562615,nativity
2060,31562615,wooden little shepherds
2061,31143336,graves´ disease
2062,31143336,onycholysis
2063,31143336,hyperthyroidism
2064,31143336,hypothyroidism
2065,31143336,plummer´s nails
2066,31143336,thyroid disease cois
2068,29452583,drugs
2069,29452583,eye lids
2070,29452583,inflammation
2071,29452583,orbit
2072,29452583,vision cois publication: not applicable. competing interests: the authors state that there is no competing interests regarding the publication of this paper. publisher’s note: springer nature remains neutral with regard to jurisdictional claims in published maps and institutional affiliations.
2073,29325833,antithyroid drugs
2074,29325833,encuesta
2075,29325833,enfermedad de graves
2076,29325833,fármaco antitiroideo
2077,29325833,graves’ disease
2078,29325833,hipertiroidismo
2079,29325833,hyperthyroidism
2080,29325833,pediatric
2081,29325833,pediátrico
2082,29325833,survey
2089,29353393,autoimmunity
2090,29353393,graves’ disease
2091,29353393,hyperthyroidism
2092,29353393,iodine induced
2093,29353393,trab
2094,29353393,toxic goitre
2096,29909393,general practice / family medicine
2097,29909393,hyperthyroidism
2098,29909393,liver disease
2099,29909393,thyroid disease
2100,29909393,thyroiditis cois
2101,32461007,evaluation of results of therapeutic interventions
2102,32461007,myxedema
2103,32461007,steroids
2104,32461007,therapeutics
2105,29525760,malignant and benign haematology
2106,29525760,thyroid disease cois
2107,29721730,goitre
2108,29721730,medical diagnosis
2109,29721730,painting
2110,29721730,raphael
2112,28450378,*decompression
2113,28450378,*diplopia
2114,28450378,*graves ophthalmopathy
2115,28450378,*orbital fat
2116,28450378,*proptosis cois
2117,30949910,*biomarker
2118,30949910,*graves’ disease
2119,30949910,*microrna
2120,30949910,*plasma
2121,31424978,etiopathogenesis
2122,31424978,graves’ disease
2123,31424978,genetic factors
2124,31424978,thyroid-associated orbitopathy
2125,31424978,vitamin d receptor
2127,31132076,igf-1
2128,31132076,igf-1r
2129,31132076,thyroid cancer
2130,31637658,*differentiated thyroid carcinoma
2131,31637658,*graves’ disease
2132,31637658,*mortality
2133,31637658,*recurrence
2134,31268129,*goiter
2135,31268129,*iodine deficiency
2136,31268129,*iodine status
2137,31268129,*thyroid-stimulating hormone concentration
2138,31268129,*urinary iodine concentration
2139,30996065,respiratory medicine
2140,30996065,thyroid disease cois
2143,31292360,graves disease
2144,31292360,marine-lenhart syndrome
2145,31292360,plummer disease
2146,31144509,thyroid
2147,31144509,graves
2148,31144509,orbitopathy
2149,30504400,graves' disease
2150,30504400,ki-67
2151,30504400,metallothionein
2152,30504400,nodular goiter
2153,30504400,thyroid
2154,31496266,graves’ ophthalmopathy
2155,31496266,quantitative analysis
2156,31496266,radiation therapy
2157,31496266,thyroid eye disease
2158,31496266,volumetric analysis
2164,29027675,airway management
2165,29027675,anesthesia
2166,29027675,head and neck
2167,29027675,neck neoplasm
2168,29027675,tracheostomy
2169,29027675,ultrasound
2170,32180887,anicteric cholestasis
2171,32180887,graves’ disease
2172,32180887,hyperthyroidism cois
2173,29108474,*oncogene testing
2174,29108474,*pediatric thyroid cancer cois of the other authors have any conflicts of interest to declare.
2175,29728450,pre-tibial myxoedema
2176,29728450,thyroid acropachy
2177,29728450,thyroid associated ophthalmopathy
2178,29728450,vitiligo cois
2179,31713721,antithyroid drugs
2180,31713721,children
2181,31713721,graves’ disease
2182,31713721,hyperthyroidism
2183,31713721,“block-and-replace” method
2184,29962351,graves` associated ophthalmopathy
2185,29962351,il-6
2186,29962351,thyroid-associated ophthalmopathy
2187,29962351,extrathyroidal manifestation
2188,29962351,infiltrating cytokines
2189,29962351,tocilizumab.
2190,30935806,internal carotid artery thrombosis
2191,30935806,thromboembolic stroke
2192,30935806,thyroid goitre
2193,30257972,anaesthesia
2194,30257972,cardiovascular medicine
2195,30257972,"ear, nose and throat/otolaryngology"
2196,30257972,resuscitation
2197,30257972,thyroid disease cois
2198,32476968,graves’ disease
2199,32476968,eosinophil
2200,32476968,sarcoidosis
2201,30307028,graves’ disease
2202,30307028,depressive symptoms
2203,30307028,hyperthyroidism
2204,30307028,sexual functioning
2205,30307028,thyroid nodules
2206,29574428,emergency medicine
2207,29574428,endocrinology
2208,29574428,paediatrics
2209,29574428,thyroid disease cois
2210,29791909,fetal goiter
2211,29791909,fetal hypothyroidism
2212,29791909,intra-amniotic treatment
2213,29791909,iodine
2214,29791909,wolff-chaikoff effect
2216,30351170,fam167a-blk
2217,30351170,graves' disease (gd)
2218,30351170,hashimoto's thyroiditis (ht)
2219,30351170,autoimmune thyroid disease (aitd)
2220,30351170,polymorphism
2222,30311856,*pakistan
2223,30311856,*goiter prevalence
2224,30311856,*iodine deficiency disorder
2225,30311856,*iodized salt
2226,30311856,*pregnancy
2227,31383679,asthma
2228,31383679,"ear, nose and throat"
2229,31383679,pregnancy
2230,31383679,thyroid disease cois
2231,30509783,anestesia general
2232,30509783,general anaesthesia
2233,30509783,glucogenosis
2234,30509783,glycogenosis
2235,30509783,hipertermia maligna
2236,30509783,hipoglucemia
2237,30509783,hypoglycaemia
2238,30509783,malignant hyperthermia
2239,30509783,mcardle's syndrome
2240,30509783,mioglobinuria
2241,30509783,miopatía
2242,30509783,myoglobinuria
2243,30509783,myopathy
2244,30509783,síndrome de mcardle
2245,31450040,*graves' disease
2246,31450040,*hyperthyroidism
2247,31450040,*toxic multinodular goiter
2248,31450040,*toxic solitary nodule
2249,30455812,graves
2250,30455812,child
2251,30455812,treatment
2252,30541519,graves’ disease
2253,30541519,graves’ disease treatment.
2254,30541519,i131.
2255,30541519,radioiodine. cois metro south human research ethics committee (reference number: lnr/qms/43580). all necessary permissions to access medical records from the princess alexandra hospital were obtained. consent to participate was not a requirement. competing interests: the authors declare they have no competing interests. publisher’s note: springer nature remains neutral with regard to jurisdictional claims in published maps and institutional affiliations.
2256,30626069,*graves’ orbitopathy
2257,30626069,*corticosteroids
2258,30626069,*hyperthyroidism
2259,30626069,*ophthalmopathy
2260,30626069,*prednisone cois
2263,31869260,* tnfsf15
2264,31869260,*graves’ disease
2265,31869260,*graves’ ophthalmopathy
2266,31869260,*tl1a
2267,31869260,*single nucleotide polymorphism
2268,31827052,aequorin
2269,31827052,graves’ ophthalmopathy
2270,31827052,thyroid-stimulating antibody
2271,31827052,thyrotropin receptor antibody
2272,31408196,*dicer1 syndrome
2273,31408196,*childhood
2274,31408196,*genetic counselling
2275,31408196,*multinodular goitre
2276,31408196,*thyroid pathologies
2282,30537006,*graves' disease
2283,30537006,*rln injury
2284,30537006,*complications
2285,30537006,*hypoparathyroidism
2286,30537006,*thyroidectomy
2287,31155292,*crispr/cas9
2288,31155292,*hearing loss
2289,31155292,*mouse model
2290,31155292,*pendred syndrome
2291,31155292,*slc26a4
2292,31155292,*vestibular dysfunction
2295,31377715,"ear, nose and throat/otolaryngology"
2296,31377715,hyperthyroidism
2297,31377715,otolaryngology/ent
2298,31377715,thyroid disease
2299,31377715,thyrotoxicosis cois
2302,31252621,ebv
2303,31252621,graves’ disease
2304,31252621,autoimmune thyroid disease
2305,31252621,hyperthyroidism
2306,31252621,viruses cois as prejudicing the impartiality of the research.
2307,31762351,receptive language outcomes
2308,31762351,non-syndromic enlarged vestibular aqueduct
2309,31762351,peabody picture vocabulary test
2310,31762351,pediatric cohort
2311,31762351,pendred syndrome
2313,30654201,depression
2314,30654201,hyperthyroidism
2315,30654201,thyroid disease
2316,30654201,women’s health
2317,31633822,*dfnb4
2318,31633822,*eva
2319,31633822,*pendred syndrome
2320,31633822,*slc26a4
2321,31633822,*genotype vs. phenotype
2322,31633822,*inner ear morphology
2323,31633822,*nonsyndromic enlarged vestibular aqueduct
2327,31749116,*antithyroid drug
2328,31749116,*graves’ disease
2329,31749116,*lymphocyte
2330,31749116,*neutrophil
2331,31749116,*relapse
2333,30955175,*fine-needle aspiration
2334,30955175,*goiter
2335,30955175,*hyperthyroidism
2336,30955175,*hypothyroidism
2337,30955175,*thyroid cancer
2338,30955175,*thyroid nodule
2339,30955175,*thyroid ultrasound
2340,29053044,graves’ ophthalmopathy
2341,29053044,graves’ orbitopathy
2342,29053044,thyroid eye disease
2343,29053044,superior ophthalmic vein thrombosis
2345,31290382,fluorescence microscopy
2346,31290382,thyroid nodule
2347,31372509,*cell biology
2348,31372509,*endocrinology
2349,31372509,*genetics
2350,31372509,*pathogenesis cois
2353,31187663,*hearing loss
2354,31187663,*iran
2355,31187663,*missense variant
2356,31187663,*next-generation sequencing
2359,27773627,bocio multinodular
2360,27773627,horner
2361,27773627,multinodular goiter
2362,27773627,oculosympathetic pathway
2363,27773627,thyroid
2364,27773627,tiroides
2365,27773627,vía oculosimpática
2366,31407208,autoimmune poliglandular syndromes
2367,31407208,graves’ disease
2368,31407208,hyperthyroidism
2369,31407208,thyroid
2370,30513035,dyshormonogenesis
2371,30513035,graves disease
2372,30513035,trab
2373,30513035,fetal goiter
2374,30513035,hyperthyroidism
2375,30513035,hypothyroidism
2376,31222404,corvis st
2377,31222404,goldmann applanation tonometry
2378,31222404,intraocular pressure
2379,31222404,ora
2380,31222404,thyroid-associated orbitopathy
2381,31222404,icare
2382,30862149,*graves’ disease
2383,30862149,*hyperthyroidism
2384,30862149,*antithyroid drugs cois
2385,31217394,adenovirus
2386,31217394,graves disease
2387,31217394,model
2389,30688164,*graves' disease
2390,30688164,*graves' ophthalmopathy
2391,30688164,*graves' orbitopathy
2392,30688164,*patient knowledge
2393,30688164,*thyroid eye disease
2394,30173328,*cognitive function
2395,30173328,*graves’ disease
2396,30173328,*graves’ ophthalmopathy
2397,30173328,*hyperthyroidism
2398,30173328,*quality of life
2399,30924917,*cancer
2400,30924917,*inflammation
2401,30924917,*neutrophil to lymphocyte ratio
2402,30924917,*thyroid nodule
2403,30263008,*dgge
2404,30263008,*gd
2405,30263008,*gut microbiota
2406,30263008,*high-throughput sequencing
2407,30263008,*hyperthyroidism
2408,30263008,*ophthalmopathy cois
2409,29281760,*complications
2410,29281760,*epidemiology biochemistry
2411,29281760,*hypoparathyroidism
2412,29281760,*mortality
2413,30955162,*graves’ disease
2414,30955162,*hyperthyroidism
2415,30955162,*leg tremor
2416,30955162,*postural tremor
2417,29923059,cholesterol
2418,29923059,graves
2419,29923059,ophthalmopathy
2420,29923059,orbitopathy
2421,29923059,statins
2422,29043478,goiter
2423,29043478,growth
2424,29043478,mri
2425,29043478,observer agreement
2426,29043478,quality of life
2427,29043478,thyroid function
2428,29043478,thyroidectomy
2429,30057393,graves orbitopathy
2430,30057393,deppression
2431,30057393,quality of life
2433,31184263,*external branch of the superior laryngeal nerve
2434,31184263,*goiter
2435,31184263,*quality of life
2436,31184263,*recurrent laryngeal nerve
2437,31184263,*thyroidectomy
2438,31184263,*voice
2439,31849168,graves' disease
2440,31849168,antithyroid drug
2441,31849168,children
2442,31849168,remission
2443,31849168,thyroid-stimulating hormone receptor antibodies
2444,30390961,benign/goiter
2445,30390961,preoperative workup
2446,30390961,thyroid
2447,30390961,thyroid surgery
2448,30390961,ultrasound/imaging
2449,30409157,gitelman syndrome
2450,30409157,graves’ disease
2451,30409157,"hypokalemia cois ethics approval and consent to participate: this study was performed according to the helsinki declaration. written informed consent to participate in the study was obtained from the patient and his mother. the patient’s son was 17 years old, and written informed consent was obtained from him and his parents as legal guardians. consent for publication: written informed consent was obtained from the patient and his mother for publication of the details of the case report. the patient’s son was 17 years old, and written informed consent was obtained from him and his parents as legal guardians. publisher’s note: springer nature remains neutral with regard to jurisdictional claims in published maps and institutional affiliations."
2452,30457413,biotherapies
2453,30457413,eugogo
2454,30457413,graves’ ophthalmopathy
2455,30457413,proptosis
2456,30457413,tocilizumab
2457,30339291,*cornea
2458,30339291,*dysthyroid optic neuropathy
2459,30339291,*orbital decompression
2460,30339291,*sight-threatening graves’ orbitopathy
2462,30760283,*myotonic dystrophy
2463,30760283,*papillary thyroid carcinoma
2464,30760283,*thyroid goiter
2465,30760283,*thyroid nodule
2466,30760283,"*ultrasound scan cois person (cpp), iorg 0009553 – institutional review board for the university hospital of lille. ethical committee under number: hp 1821 (benhamou_ethics_ojrd.pdf). consent for publication: na competing interests: the authors declare that they have no competing interests. publisher’s note: springer nature remains neutral with regard to jurisdictional claims in published maps and institutional affiliations."
2467,31655515,*lymphocyte
2468,31655515,*monocyte
2469,31655515,*neutrophil
2470,31655515,*platelet
2471,31655515,*ratio
2472,31655515,*thyrotoxicosis cois
2473,31323889,goiter
2474,31323889,hypothyroidism
2475,31323889,iodine deficiency
2476,31323889,iodine deficiency disorders
2477,31323889,iodine prophylaxis
2478,31323889,pregnancy
2479,31323889,schoolchildren cois as prejudicing the impartiality of the research reported.
2481,30880636,*graves' disease
2482,30880636,*autoimmune disease
2483,30880636,*balance
2484,30880636,*muscle strength
2485,30880636,*thyroid
2486,31715677,clinical protocols
2487,31715677,glaucoma
2488,31715677,graves ophthalmopathy
2489,31715677,ocular hypertension
2490,29306930,adolescents
2491,29306930,antithyroid drugs
2492,29306930,children
2493,29306930,hyperthyroidism
2494,29306930,management
2495,29306930,radioiodine
2496,29306930,thyrotoxicosis
2499,28569050,graves’ disease
2500,28569050,mir-146a
2501,28569050,mir-155
2502,28569050,mir-210
2503,28569050,regulatory t cells
2505,30302663,nodular recurrence
2506,30302663,thyroid lobectomy
