,PMID,Other_term
3443,23572163,differentiated thyroid carcinoma---follow-up---neck ultrasound---radioiodine remnant ablation---recurrence---thyroglobulin
3472,24629859,fetal diseases---goiter---graves disease---humans---hyperthyroidism---hypothyroidism---maternal–fetal exchange---pregnancy---thyroid diseases: drug therapy---thyroxine: administration and dosage
3473,24029729,graves' disease---rhesus monkeys---thyrotropin receptor a-subunit
3538,25103076,graves disease---thyroidectomy---volume
3541,24239215,chirurgie oculo-motrice---chirurgie palpébrale---corticosteroids---corticothérapie---dysthyroid orbitopathy---décompression orbitaire---eyelid surgery---graves’ disease---graves’ orbitopathy---maladie de basedow---multidisciplinaire---multidisciplinary---oculomotor surgery---orbital decompression surgery---orbitopathie basedowienne---orbitopathie dysthyroïdienne---radiation therapy---radiothérapie
3542,23337610,graves’ disease---hyperthyroidism---suicide
3553,24335091,thyroid carcinoma---cancer---endocrine surgery---follicular carcinoma---neoplastic thrombus
3554,24629864,graves' disease---childhood---hyperthyroidism
3569,24411211,acute pericarditis---graves' disease---thyroid crisis
3570,24034725,adaptive thresholding---contrast enhancement---image segmentation---morphology---planar scintigraphy---radioiodine therapy---thyroid volume estimation---ultrasonography
3610,22511831,decompression---optic neuropathy---radiation---steroid---thyroid eye diseases cois
3623,24199816,basedow graves’ disease---cas---proptosis---thyroid
3627,24704350,graves ophthalmopathy---diplopia---exophthalmos---keratitis---natural orifice transluminal endoscopic surgery
3632,24291390,at---angiogenesis---anti-tpo---anti-tg---autoantibody---ci---edn1---ednra---endothelin 1---endothelin family---endothelin receptor type a---gd---graves' disease---hwe---hardy–weinberg equilibrium---icam1---intercellular adhesion molecule 1---mmi---or---odds ratio---ophthalmopathy---ptu---polymorphism---snps---tnfα---trab---tsh---tsh receptor antibody---tumor necrosis factor α---utr---untranslated region---vegf---anti-thyroglobulin---anti-thyroid---anti-thyroid peroxidase---confidence interval---methimazole---propylthiouracil---single nucleotide polymorphisms---thyroid-stimulating hormone---vascular endothelial growth factor
3637,23518423,brain infarction---encephaloduroarteriosynangiosis (edas)---graves’ disease---hyperthyroidism---moyamoya disease
3695,24311524,orbit
3698,22386642,ait---amiodarone---bmi---body mass index---chd---congenital heart defects---cyanosis---drug toxicity---hyperthyroidism---lvef---t3---t4---tsh---amiodarone-induced thyrotoxicosis---body mass index---congenital heart disease---left ventricular ejection fraction---thyroid stimulating hormone---thyroxine---triiodothyronine
3700,24154901,autoimmune thyroiditis---inferior thyroid artery---thyroid doppler sonography
3701,23329888,asian populations.---graves' disease---hla-b*46---meta-analysis cois
3716,23477757,embarazo---enfermedad de graves---gestational transient thyrotoxicosis---graves’ disease---hiperemesis gravídica---hipertiroidismo---hyperemesis gravidarum---hyperthyroidism---pregnancy---tirotoxicosis gestacional transitoria
3726,22952313,graves---graves disease---hyperthyroidism---myasthenia gravis---ophthalmoplegia---ptosis---thyroid
3764,23535627,asian continental ancestry group---graves ophthalmopathy---psychiatric status rating scales
3775,24273003,cd-44---hbme-1---fine needle aspiration cytology---galectin-3---papillary thyroid carcinoma
3780,23553532,thyroid disorders---epidemiology---otolaryngology---specialty---thyroid nodule---thyroidectomy
3782,23569858,granuloma---thyroid---tuberculosis cois
3787,23709442,graves’ orbitopathy---tsh-receptor autoantibody---disease activity---severity cois
3790,23835254,anestesia---anesthesia---cirugía de descompresión orbitaria---embarazo---graves-basedow---oftalmopatía---ophthalmopathy---orbital decompression surgery---orbitopathy---orbitopatía---pregnancy
3798,22416184,autoimmunity---cag-a---graves’ disease---hashimoto’s thyroiditis---helicobacter pylori---hyperthyroidism---hypothyroidism
3815,24119625,graves' disease---moyamoya syndrome---antithyroid therapy
3831,23796613,(131)i---children---edad pediátrica---enfermedad de graves---graves disease---i(131)---radioiodine therapy---radioyodo
3832,23538281,cáncer de tiroides---enfermedad de graves---graves’ disease---pequeñas-moléculas---receptor de la tsh---small molecules---tsh-receptor---thyroid---thyroid cancer---thyrotropin (tsh)---tiroides---tirotropina (tsh)
3841,24646903,enfermedad de la superficie ocular---graves’ ophthalmopathy---lentes de contacto mini esclerales---mini-scleral contact lenses---ocular surface disease---oftalmopatía de graves
3851,23962080,autoimmune thyroid disease---intractability---polymorphism---severity---thyrotropin receptor
3857,24484950,ectopic thyroid---laryngeal location---surgical treatment---leczenie chirurgiczne---lokalizacja krtaniowa---tarczyca ektopowa
3897,24231095,graves' ophthalmopathy---bulbar conjunctiva---dry eye---impression cytology---in vivo confocal microscopy
3898,24135759,adipogenesis---orbital fibroblasts---proliferation---thyroid eye disease
3900,22985335,graves’ disease---hypoparathyroidism---thyroid cancer---thyroidectomy---thyrotoxicosis
3906,23806737,ca-125---ct---hyperthyroidism---meigs syndrome---pleural effusion---tfts---tg-ab---tpo-ab---tsh---tsh receptor---tshr---tshr-ab---thyroid cancer---us---cancer antigen-125---computed tomography---thyroglobulin autoantibodies---thyroid function tests---thyroid peroxidase autoantibodies---thyrotropin---thyrotropin receptors---thyrotropin receptors autoantibodies---ultrasound
3934,23060717,acquired lower eyelid epiblepharon---graves ophthalmopathy---lower eyelid epiblepharon repair---lower eyelid retraction cois
3972,24307850,agranulocytosis---graves disease---guillain-barre syndrome cois
3987,23757290,disease intractability---disease severity---hashimoto’s disease---il-10---single nucleotide polymorphism
4014,24177168,autoimmune thyroid diseases---erythropoietin---intractability---severity---single nucleotide polymorphism
4015,23954851,antioxidants---biomarkers of oxidative stress---chondroitin sulfate---graves' disease
4042,23849367,asian patients---hypokalemia---paralysis---thyrotoxicosis---weakness
4056,24227294,gwas---causal variants---colocalisation---genetic association
4058,22907781,graves' disease---minimal-incision thyroidectomy---minimally invasive surgery---postoperative complications---thyroid
4086,24289805,gpr174---graves' disease---poland---x chromosome---association---autoimmune disease---rs3827440---single nucleotide polymorphism
4087,23756266,drug-induced cholestasis---plasmapheresis---thyrotoxicosis
4101,23954255,autoimmune thyroid disease---ci---caga---edta---ethylene diamine tetraacetic acid---ft3---ft4---gd---graves disease---h. pylori---hla---helicobacter pylori---human leukocyte antigen---igg---immunoglobulin g---or---pcr---spss---statistical product and service solutions---tpoab---trab---tsh---tgab---confidence intervals---cytotoxin-associated gene a---dntp---deoxy-ribonucleoside triphosphate---free thyroxine---free triiodothyronine---human leukocyte antigen---odds ratio---polymerase chain reaction---thyroglobulin antibody---thyroid peroxidase antibody---thyroid stimulating hormone---thyrotrophin receptor antibody
4114,23240978,cowden syndrome---pten---ganglioneuromas---hamartomatous polyps---mosaicism
4117,24124099,diplopia---endoscopic orbital floor decompression---inferomedial orbital strut---orbital decompression
4135,23839980,endoscopic orbital decompression---graves' orbitopathy---complications---exophthalmos---sinonasal
4143,22972028,*pingmu decoction---*apoptosis---*adipocytes---*graves' ophthalmophathy
4147,24292913,case-based learning---self-directed learning---soft skills
4153,23933148,congenital hypothyroidism---deletion---inversion---mutation---thyroglobulin gene
4164,24311923,epidemiology---graves ophthalmopathy---korea---prevalence---risk factors cois
4187,24629858,dehal1 gene---iyd---congenital hypothyroidism---iodide recycling---mass spectrometry---mental retardation---neonatal screening
4188,23693108,"carcinoma, papillary, follicular---thyroid neoplasms"
4194,23827012,anticorps anti-cytoplasme des polynucléaires neutrophiles---antineutrophil cytoplasmic antibodies---benzylthio-uracile---benzylthiouracil---graves’ disease---maladie de basedow---vascularite---vasculitis
4196,23667180,complex traits---endocrinology---genetics---genome-wide---thyroid disease
4202,25443353,hashimoto's thyroiditis---autoimmune thyroiditis---encephalopathy---hallucinations---steroids
4210,22787382,bullous systemic lupus erythematosus---drug-induced lupus erythematosus---graves disease---methimazole
4225,23881987,lymphoma---primary thyroid lymphoma---thyroid---thyroid malignancy---thyroid surgery cois article.
4236,23919315,graves' disease---cardiomegaly---forensic autopsy---forensic science---hyperthyroidism---sudden unexpected death
4242,23780707,clinicopathological characteristics---incidental---nonincidental---papillary thyroid microcarcinoma---surgical treatment
4252,24077472,case-control studies---congenital hypothyroidism---iran---logistic regression---propensity score
4271,22431287,cowden disease---cowden syndrome---pathology---surgical management---thyroid
4280,24067547,t3---amiodarone-induced thyrotoxicosis---heart---hyperthyroidism---hypothyroidism---thyroid hormone---thyrotoxicosis---triiodothyronine
4287,24011567,graves’ disease---incidental malignancy---surgical therapy
4327,23681867,endocrine diseases---pharmacotherapy
4333,23901889,b lymphocytes---graves' disease---t lymphocytes
4352,23973401,cryptococcal meningitis---lupus---opportunist infection
4353,23578170,anti-gal---increased immunogenicity---tumour vaccine---wound healing---α-gal epitopes
4359,24301304,circulating biomarkers---microrna---papillary thyroid cancer---recurrence---tissue biomarkers
4365,24095912,autoimmun thyreoiditis---autoimmune thyroiditis---diabetes mellitus---fertility---meddőség---selenium---szelén
4375,24334133,autoimmunity---autoimmunitás---infertility---meddőség---pajzsmirigy---post partum periódus---postpartum period---pregnancy---terhesség---thyroid
4385,23845451,(131)i-iodide---cáncer folicular de tiroides---enfermedad metastásica---follicular thyroid cancer---metastatic disease---radioiodine therapy---spect---terapia con yodo radioactivo---yodo radioactivo (131)i cois this work there are no financial or ethical conflicts of interest.
4388,23664858,cox---cox-2---il---il-1β---nf---nf-κb---pg---pge(2)---tao---cyclooxygenase---interleukin---nuclear factor---orbital fibroblast---pirfenidone---prostaglandin---thyroid-associated ophthalmopathy
4389,23958483,octreotide---somatostatin analogs---tsh-secreting pituitary tumor---thyrotropinoma
4393,23958398,antibodies---apoptosis---proliferation---ros-signaling---tsh receptor---thyrocyte
4395,29950539,american thyroid association (ata)---european thyroid association (eta)---grave's disease---japan thyroid association/ japan endocrine society---thyroid
4396,30911279,biomarker---diagnostics---genetic signature---molecular alteration---papillary thyroid cancer cois
4397,30224035,fetal ultrasound---graves’ disease---maladie de basedow---multidisciplinarity---multidisciplinarité---neonatal monitoring---surveillance néonatale---trab---teratogenicity---tératogénicité---échographie fœtale
4398,31427038,goitre multinodulaire---hyperthyroïdie infra-clinique---multinodular goiter---subclinical hyperthyroidism---tsh---thyroid---thyroïde
4399,30180972,adolescent---carbimazole---child---chirurgie---enfant---graves’ disease---hyperthyroidism---hyperthyroïdie---iode radioactif---long term---long terme---maladie de basedow---prognosis---pronostic---radioactive iodine treatment---surgery---thiamazole
4400,31542786,*nodular goiter---*thyroid cancer cois
4401,32041923,graves’ ophthalmopathy---diagnosis---management
4402,30342794,epidemiology---graves’ disease---pathophysiology
4403,31255196,autoimmune thyroiditis---graves’ disease---hashimoto's thyroiditis---surgical management
4405,30177259,chirurgie ophtalmologique---corticotherapy---corticothérapie---eugogo---graves’ orbitopathy---immunosuppression treatment---orbitopathie basedowienne---smoking---tabac---traitement immunosuppresseur
4410,31668873,*adipocyte complement factors---*adipokines---*brown fat commitment---*brown fat differentiation---*extracellular matrix proteins---*human batokines---*human brown adipocytes---*human brown fat---*mitochondria---*secretomics
4412,31583517,ectopic goiter---ectopic thyroid---intrapericardial goiter---intrathoracic goiter
4413,30583800,completion thyroidectomy---complications---hemithyroidectomy---hormone replacement---isthmolobectomie---supplémentation hormonale---thyroïdectomie totale---total thyroidectomy---totalisation
4419,30306416,advances---decade---thyroid cois
4420,30989520,*thyroid nodule---*benign adenoma---*multinodular goiter---*thyroid cancer
4422,31477522,*substernal goiter---*thyroid---*thyroidectomy cois disclose.
4423,30860079,*endoscopic thyroidectomy using vestibular approach---*scar.free thyroidectomy---*transoral endoscopic thyroidectomy cois
4424,31235068,acfa---atrial fibrillation---complication---complications---heart failure---hyperthyroidism---hyperthyroïdie---insuffisance cardiaque
4425,29548512,developed world---developing world---iodine deficiency---low-resource setting---thyroid cancer---thyroid disease---thyroid surgery
4428,28627279,graves’ disease---maternal autoantibodies---anti-ro and anti-la antibodies---athrogryposis multiplex congenital---autoimmune thrombocytopenia---fetal brain hemorrhage---fetal heart block---fetal thyroid goiter---myasthenia gravis
4430,31400860,ambulatoire---chirurgie---facteurs de risque---outpatient---risk factors---surgery---thyroid---thyroïde
4436,31691192,iodine---nodular goiter---selenium---thyroid gland---thyroid hormones
4439,30927996,history of thymectomy---myasthenia gravis---myasthenic---surgical management of myasthenia gravis---thymoma---thymus---transcervical
4441,29968224,*apheresis---*therapeutic plasma exchange---*thyroid hormones---*thyrotoxicosis
4442,31281088,*asymmetrical nodular goitre---*benign thyroid disease---*hemithyroidectomy---*thyroid surgery
4444,30506185,intrathoracic goitres---retrosternal goitres---substernal goitres---thyroidectomy
4445,31129908,*art---*history---*thyroid swelling
4448,30264384,choline---parathyroid adenoma---positron emission tomography computed tomography---primary hyperparathyroidism
4450,30788771,art---endemic goiter---history---thyroid swelling
4454,31703968,*contrast-enhanced ultrasonography---*papillary thyroid microcarcinoma---*tumor size stratification
4455,29030129,acoustic analysis---análise acústica---disfonia---dysphonia---hoarseness---laryngeal paralysis---paralisia laríngea---rouquidão---thyroidectomy---tireoidectomia
4456,30220410,diagnosis---diagnostic---graves’ disease---hyperthyroidism---hyperthyroïdie---maladie de basedow
4459,30456548,goiter---graves’ disease---iodine---thyroid function tests---thyroid gland
4460,31182347,hipocalcemia---hipoparatiroidismo---hormona paratiroidea---hypocalcemia---hypoparathyroidism---parathyroid hormone---thyroidectomy---tiroidectomía
4461,30105567,goiter---iodine deficiency---prevalence---school children---urinary iodine
4462,31464605,children---ethiopia---goiter---meta-analysis cois
4463,31250924,*endocrinology---*head and neck surgery---*thyroid diseases---*thyroid hormones
4464,31813786,*antigen-specific immunotherapy---*autoimmune thyroid disorders---*corticosteroids---*rituximab---*teprotumumab---*tocilizumab cois
4465,32476690,"cholesterol, hdl---igf1 protein, human---igf2 protein, human---insulin---insulin-like growth factor i---insulin-like growth factor ii---iodine---obesity, abdominal---thyroid nodule---case-control studies---insulin resistance---metabolic syndrome"
4467,31651072,*graves' disease---*hashimoto's thyroiditis---*difficulty---*outcomes---*thyroidectomy
4469,30044192,goitre---theodor kocher---thyroidectomy
4470,31169822,arteriovenous fistula---false aneurysm---goiter---thyroidectomy
4471,30634005,fetal therapy---fetal thyroid---thyroid disorders
4472,30017236,computed tomography---retrosternal goiter---sternotomy---thyroidectomy
4474,31387688,hipocalcemia---hipoparatiroidismo---hormona paratiroidea---hypocalcemia---hypoparathyroidism---parathyroid hormone---thyroidectomy---tiroidectomía
4477,30513035,dyshormonogenesis---graves disease---trab---fetal goiter---hyperthyroidism---hypothyroidism
4478,30701789,graves’ disease---hyperthyroidism---thyroid---thyrotoxicosis---toxic multinodular goiter
4479,31757411,*graves disease---*hyperthyroidism---*nodular goiter---*thyroid cancer
4480,31533103,acne---minocycline---tetracycline---thyroiditis
4482,29739340,"*brazil---*hereditary deafness---*pendrin gene---*slc26a4 cois written informed consent was obtained from all individuals or their legal guardians (if patients were under 18). the project was approved by the ethics committee, instituto de biociências, universidade de são paulo (protocol n(o) 109/2010). consent for publication: all subjects have approved the submission of the manuscript by written informed consent. competing interests: the authors declare that they have no competing interests. publisher’s note: springer nature remains neutral with regard to jurisdictional claims in published maps and institutional affiliations."
4483,31530446,*dunhill procedure---*graves' disease---*graves' ophthalmopathy---*bilateral subtotal thyroidectomy---*subtotal thyroidectomy---*total thyroidectomy
4487,30955175,*fine-needle aspiration---*goiter---*hyperthyroidism---*hypothyroidism---*thyroid cancer---*thyroid nodule---*thyroid ultrasound
4489,31376092,genetic interaction analysis---goiter---hif-1α---multifactor dimensionality reduction methodology---polymorphisms---vegf---vegfr-2
4490,31468286,anaplastic thyroid carcinoma---ham-1---in situ hybridization---long non-coding rna---pca3---pcr array---papillary thyroid carcinoma---rt-pcr---thyroid carcinoma
4495,32233333,nodules---thyroid
4499,31512191,graves’ disease---graves’s orbithopathy---lenin---theodor kocher
4501,30835061,euthyroid---medical diagnosis---portrait
4506,30504400,graves' disease---ki-67---metallothionein---nodular goiter---thyroid
4507,30918569,hyperthyroidism---surgery---thyroidectomy cois
4508,30949714,autonomous thyroid function---hyperthyroidism---hypothyroidism---iodine exposure---nodular goiter
4513,30084100,*euthyroid nodular goiter---*insulin resistance---*pulse wave velocity---*strain index
4515,31562615,multinodular goiter---nativity---wooden little shepherds
4517,30937820,hypoparathyroidism---recurrent nerve injury---reoperative thyroid surgery---total thyroidectomy
4518,30443770,foxp3---garp---papillary thyroid carcinoma---thyroid cancer
4520,31127592,goiter---medical diagnosis---painting---saints
4522,31268129,*goiter---*iodine deficiency---*iodine status---*thyroid-stimulating hormone concentration---*urinary iodine concentration
4524,28602544,*sternotomy---*substernal goiter---*thyroidectomy
4525,30918165,antithyroid drug---graves’ disease---hyperthyroidism---tsh receptor antibody---thyroid
4527,32372175,c cell---cancer---diagnosis---foxa1---thyroid
4528,29452573,metformin---diffuse/nodular goiter---insulin resistance---obesity---thyroid
4529,30654201,depression---hyperthyroidism---thyroid disease---women’s health
4531,30302663,nodular recurrence---thyroid lobectomy---thyroid nodules
4532,29798143,collagen triple helix repeat containing 1---epithelial-mesenchymal transition---immunohistochemistry---thyroid neoplasms cois relevant financial relationships with commercial interests to disclose.
4533,31074402,cervico-mediastinal goiter---sternotomy---thyroidectomy---thyroiditis cois
4534,29096966,*calcificaciones---*calcifications---*carcinoma tiroideo---*doppler---*ecografía---*elastografía---*elastography---*malignancy---*malignidad---*nódulo tiroideo---*thyroid carcinoma---*thyroid nodule---*ultrasound
4535,31007819,hyperthyroidism---senegal---jaundice cois
4536,29374396,adenolipoma---thyroid---ultrasound cois informed consent: written informed consent was obtained from the patient for the publication of this case report and accompanying images. ethical approval: all procedures performed in studies involving human participants were in accordance with the ethical standards of the institutional and/or national research committee and with the 1964 helsinki declaration and its later amendments or comparable ethical standards.
4538,29911397,hyperthyroidism---thyroiditis---thyrotoxicosis---ultrasonography---ultrasonography/adverse effects
4539,29897006,*copy-number variation---*genome-wide linkage analysis---*multinodular goiter---*next-generation sequencing
4540,30637676,*goiter---*hypothyroidism---*iodine deficiency disorders
4544,30307028,graves’ disease---depressive symptoms---hyperthyroidism---sexual functioning---thyroid nodules
4546,30599051,*benign thyroid disease---*radioiodine therapy---*radioiodine uptake test---*thyroid---*thyroid stunning
4549,31340806,bleeding---hematoma---risk factor---thyroid surgery---thyroidectomy cois
4550,30924917,*cancer---*inflammation---*neutrophil to lymphocyte ratio---*thyroid nodule
4551,31408196,*dicer1 syndrome---*childhood---*genetic counselling---*multinodular goitre---*thyroid pathologies
4552,30158361,bone mineral density---multinodular goiter---thyroxine
4553,31740871,thyroid papillary cancer haemogram
4556,31292360,graves disease---marine-lenhart syndrome---plummer disease
4557,30196262,emergency medicine---haematology (incl blood transfusion)---radiology (diagnostics)---thyroid disease cois
4559,28887209,*biomarkers---*gas-phase fractionation (gpf)---*proteomics---*tandem mass tag™ (tmt)---*tears---*thyroid-associated orbitopathy
4561,31674156,cytology---fine-needle aspiration biopsy---histopathology---hyperthyroidism---radioactive iodine
4563,30390961,benign/goiter---preoperative workup---thyroid---thyroid surgery---ultrasound/imaging
4565,29310665,"*graves’ disease---*hyperthyroidism---*methimazole---*thyroid receptor antibodies cois analysis of de-identified data collected for another purpose. all data are retrospective and presented in an aggregated fashion. so, no irb approval was required. patient numbers used in the model validation section of the article are spreadsheet numbers from data, which can not be used to identify the patients name, family name or other specific details. consent for publication: not applicable. competing interests: the authors declare that they have no competing interests. publisher’s note: springer nature remains neutral with regard to jurisdictional claims in published maps and institutional affiliations."
4567,30989613,endocrinology---frederic bazille---painting cois conflict of interest.
4568,30039748,*graves' disease---*hashimoto's thyroiditis---*quality of life---*sexual dysfunction---*thyroid autoimmunity
4569,31430255,tpo gene---congenital goiter---congenital hypothyroidism---thyroid carcinoma---thyroid dyshormonogenesis
4571,31132076,igf-1---igf-1r---thyroid cancer
4573,30509783,anestesia general---general anaesthesia---glucogenosis---glycogenosis---hipertermia maligna---hipoglucemia---hypoglycaemia---malignant hyperthermia---mcardle's syndrome---mioglobinuria---miopatía---myoglobinuria---myopathy---síndrome de mcardle
4574,30182360,incidence---recurrence---risk factors---thyroid lobectomy---thyroid nodules
4579,31450040,*graves' disease---*hyperthyroidism---*toxic multinodular goiter---*toxic solitary nodule
4580,29043478,goiter---growth---mri---observer agreement---quality of life---thyroid function---thyroidectomy
4582,29319139,99mtc-dtpa---go---hyperthyroidism
4584,29353393,autoimmunity---graves’ disease---hyperthyroidism---iodine induced---trab---toxic goitre
4585,31721133,antithyroid drugs---dietary supplements---graves’ disease---graves’ orbitopathy---hyperthyroidism---selenium cois assessment and supplementation.
4588,30996065,respiratory medicine---thyroid disease cois
4589,29310524,*art---*goiter---*sculptures
4590,30900322,microwave---substernal goiter---thermal ablation---thyroid---ultrasound
4592,29695560,*bad---*bax---*bcl-2---*benign thyroid nodules---*apoptosis---*gene expression
4594,32180887,anicteric cholestasis---graves’ disease---hyperthyroidism cois
4595,30055961,neck approach---sternotomy---substernal goiter---tertiary center---thyroidectomy
4596,31614658,goiter---iodine deficiency---iodine prophylaxis---urinary iodine concentration cois
4601,31633822,*dfnb4---*eva---*pendred syndrome---*slc26a4---*genotype vs. phenotype---*inner ear morphology---*nonsyndromic enlarged vestibular aqueduct
4602,29027675,airway management---anesthesia---head and neck---neck neoplasm---tracheostomy---ultrasound
4603,30333321,*endocrinology---*genetics---*molecular genetics---*monogenic diseases---*thyroid disease cois exists
4604,29325833,antithyroid drugs---encuesta---enfermedad de graves---fármaco antitiroideo---graves’ disease---hipertiroidismo---hyperthyroidism---pediatric---pediátrico---survey
4605,30257972,"anaesthesia---cardiovascular medicine---ear, nose and throat/otolaryngology---resuscitation---thyroid disease cois"
4606,30375286,* gene---*congenital hypothyroidism---*oligogenic mutations cois
4607,29215302,traditional chinese medicine---goiter---herbal regimen
4609,29164514,iodine---microcarcinoma---papillary thyroid cancer---risk factors---thyroid thyroglobulin antibody---thyroid-stimulating hormone
4610,30778906,fine arts---goiter---history---moretto da brescia---renaissance
4611,29729448,graves' disease---graves' orbitopathy---neuropsychiatric disorders---quality of life
4613,29273943,children---pten hamartoma tumor syndrome (phts)---screening---thyroid cancer---thyroid disease
4616,31762351,receptive language outcomes---non-syndromic enlarged vestibular aqueduct---peabody picture vocabulary test---pediatric cohort---pendred syndrome
4618,31297898,*bipolar disorders---*lithium---*thyroid hormones---*thyroid structure
4619,31155292,*crispr/cas9---*hearing loss---*mouse model---*pendred syndrome---*slc26a4---*vestibular dysfunction
