id,nct_id,status,name,city,state,zip,country
34160011,NCT02383927,,University Medical Center,Groningen,,,Netherlands
34160012,NCT02383927,,Hospital Vall d' Hebron,Barcelona,,08035,Spain
34160013,NCT02383927,,Hospital Clinic de Barcelona,Barcelona,,,Spain
34159990,NCT02383927,,"University of California, Los Angeles",Los Angeles,California,90404,United States
34160014,NCT02383927,,Hospital del Mar,Barcelona,,,Spain
34159991,NCT02383927,,Wihship Cancer Institute of Emory University,Atlanta,Georgia,30322,United States
34160015,NCT02383927,,Hospital Universitario Doce de Octubre,Madrid,,,Spain
34159992,NCT02383927,,Dana-Farber Cancer Institute,Boston,Massachusetts,02215,United States
34160016,NCT02383927,,Hospital Universitario La Paz,Madrid,,,Spain
34159993,NCT02383927,,University of Michigan Comprehensive Cancer Center,Ann Arbor,Michigan,48109,United States
34160017,NCT02383927,,MD Anderson Cancer Center Madrid,Madrid,,,Spain
34159994,NCT02383927,,Mayo Clinic,Rochester,Minnesota,55902,United States
34160018,NCT02383927,,"START, Centro Integral Oncologico Clara Campal",Madrid,,,Spain
34159995,NCT02383927,,Memorial Sloan-Kettering Cancer Center,New York,New York,10065,United States
34160019,NCT02383927,,Hospital Universitario Virgen de la Victoria,Málaga,,,Spain
34160020,NCT02383927,,Complejo Hospitalario de Navarro,Navarro,,,Spain
34160021,NCT02383927,,Hospital Universitario Virgen de la Rocio,Sevilla,,,Spain
34159996,NCT02383927,,Oklahoma University Health Sciences Center,Oklahoma City,Oklahoma,73104,United States
34160022,NCT02383927,,Hospital Universitario y Politécnico La Fe,Valencia,,,Spain
34160023,NCT02383927,,Royal Marsden,London,England,,United Kingdom
34160024,NCT02383927,,University College Hospital,London,England,,United Kingdom
34189168,NCT05103774,,Hospital of Sohag University,Sohag,,82524,Egypt
34159997,NCT02383927,,Fox Chase Cancer Center,Philadelphia,Pennsylvania,19111-2497,United States
34159998,NCT02383927,,The University of Texas MD Anderson Cancer Center,Houston,Texas,77030,United States
34159999,NCT02383927,,University Hospital Antwerp,Antwerp,,,Belgium
34160000,NCT02383927,,Cliniques universitaires Saint-Luc,Brussels,,,Belgium
34160001,NCT02383927,,CHU,Yvoir,,,Belgium
34160002,NCT02383927,,Insitut Bergonie,Bordeaux,,,France
34160003,NCT02383927,,Centre Léon Bérard,Lyon,,,France
34160505,NCT02381457,,"University of California, San Francisco",San Francisco,California,94158,United States
34160506,NCT02381457,,Cooper University Hospital,Camden,New Jersey,08103,United States
34160507,NCT02381457,,Virtua,Mount Laurel,New Jersey,08054,United States
34160508,NCT02381457,,St. Peter's University,New Brunswick,New Jersey,08901,United States
34160509,NCT02381457,,Complete Women's Healthcare,Garden City,New York,11530,United States
34160510,NCT02381457,,North Shore University Hospital,Manhasset,New York,11030,United States
34160511,NCT02381457,,Madonna Perinatal,Mineola,New York,11501,United States
34160512,NCT02381457,,Long Island Jewish Medical Center,New Hyde Park,New York,11040,United States
34160513,NCT02381457,,New York University,New York,New York,10016,United States
34160514,NCT02381457,,Icahn School of Medicine Mt Sinai,New York,New York,10029,United States
34160515,NCT02381457,,Columbia University,New York,New York,10032,United States
34160516,NCT02381457,,Montefiore Medical Center,New York,New York,10461,United States
34160517,NCT02381457,,Suffolk OB,Port Jefferson,New York,11777,United States
34160518,NCT02381457,,North Austin Maternal Fetal Medicine,Austin,Texas,78758,United States
34160519,NCT02381457,,Zeid Women's Health Center,Longview,Texas,75601,United States
34160520,NCT02381457,,University of Utah,Salt Lake City,Utah,84132,United States
34160521,NCT02381457,,Royal Prince Alfred,Camperdown,New South Wales,2050,Australia
34160522,NCT02381457,,Royal College Surgeons in Ireland,Dublin,,1,Ireland
34160523,NCT02381457,,Dexeus,Barcelona,,08028,Spain
34160524,NCT02381457,,Sahlgrenska University Hospital,Gothenburg,,SE-416 85,Sweden
34160525,NCT02381457,,St. George University Hospital,London,,SW17 0QT,United Kingdom
34161794,NCT02375451,,Boston Children's Hospital,Boston,Massachusetts,02115,United States
34161354,NCT02378298,,"Center for Endocrinology and Metabolism, Sahlgrenska University Hospital",Gothenburg,,,Sweden
34161355,NCT02378298,,"MedTech West, Institute of Neuro Science and Physiology, Department for Clinical Neuro Science and Rehabilitation, Sahlgrenska Academy, University of Gothenburg",Gothenburg,,,Sweden
34161356,NCT02378298,,"Department of Ophthalmology, Sahlgrenska University Hospital/Mölndal",Mölndal,,,Sweden
34161357,NCT02378298,,"Department of Rheumatology, Sahlgrenska University Hospital/Mölndal",Mölndal,,,Sweden
34161358,NCT02378298,,"Department of Radiology, Karolinska University Hospital",Stockholm,,,Sweden
35759312,NCT04064827,Recruiting,Arkansas Children's Hospital /ID# 225417,Little Rock,Arkansas,72202,United States
35759313,NCT04064827,Not yet recruiting,"University of California, Los Angeles /ID# 140668",Los Angeles,California,90095,United States
35759314,NCT04064827,Recruiting,Children's National Medical Center /ID# 225991,Washington,District of Columbia,20010-2916,United States
35759315,NCT04064827,Recruiting,"Holtz Childrens Hospital, University of Miami /ID# 225636",Miami,Florida,33136-1005,United States
35759316,NCT04064827,Recruiting,Nicklaus Children's Hospital /ID# 210517,Miami,Florida,33155-3009,United States
35759317,NCT04064827,Recruiting,Emory Midtown Infectious Disease Clinic /ID# 140665,Atlanta,Georgia,30322,United States
35759318,NCT04064827,Recruiting,Boston Children's Hospital /ID# 162863,Boston,Massachusetts,02115,United States
35759319,NCT04064827,Recruiting,Levine Children's Specialty Center- Charlotte /ID# 216057,Charlotte,North Carolina,28203-5866,United States
35759320,NCT04064827,Not yet recruiting,Children's Hospital of Philadelphia - Main /ID# 213802,Philadelphia,Pennsylvania,19104-4319,United States
35759321,NCT04064827,Recruiting,University of Texas Southwestern Medical Center /ID# 210495,Dallas,Texas,75390-7208,United States
35759322,NCT04064827,Recruiting,University of Utah /ID# 140669,Salt Lake City,Utah,84112-5500,United States
35759323,NCT04064827,Recruiting,Seattle Children's Hospital /ID# 162861,Seattle,Washington,98105,United States
35759324,NCT04064827,Recruiting,School of Medicine University of Puerto Rico-Medical Science Campus /ID# 140663,San Juan,,00935,Puerto Rico
34161954,NCT02373995,,Fondazione Ca' Granda Ospedale Maggiore Policlinico,Milan,,20122,Italy
36838287,NCT04281875,Recruiting,Vanderbilt University Medical Center,Nashville,Tennessee,37212,United States
35231038,NCT02657369,,,Scottsdale,Arizona,85259,United States
35231039,NCT02657369,,,Duarte,California,91010,United States
35231040,NCT02657369,,,Washington,District of Columbia,20007,United States
35231041,NCT02657369,,,Washington,District of Columbia,20010,United States
35231042,NCT02657369,,,Jacksonville,Florida,32224,United States
35231043,NCT02657369,,,Miami,Florida,33136,United States
35231044,NCT02657369,,,Boston,Massachusetts,02114,United States
35231045,NCT02657369,,,Boston,Massachusetts,02215,United States
35231046,NCT02657369,,,Rochester,Minnesota,55905,United States
35231047,NCT02657369,,,New York,New York,10065-6007,United States
35231048,NCT02657369,,,Durham,North Carolina,27710,United States
35231049,NCT02657369,,,Portland,Oregon,97239,United States
35231050,NCT02657369,,,Philadelphia,Pennsylvania,19104,United States
35231051,NCT02657369,,,Houston,Texas,77030,United States
35231052,NCT02657369,,,Camperdown,New South Wales,2050,Australia
35231053,NCT02657369,,,St Leonards,New South Wales,,Australia
35231054,NCT02657369,,,Caen cedex 05,Calvados,14076,France
35231055,NCT02657369,,,Bordeaux,Gironde,33076,France
35231056,NCT02657369,,,Angers Cedex 9,Maine Et Loire,49933,France
35231057,NCT02657369,,,Lyon Cedex 08,Rhone,69373,France
35231058,NCT02657369,,,Lyon,Rhone,69008,France
35231059,NCT02657369,,,Villejuif cedex,Val De Marne,94805,France
35231060,NCT02657369,,,Milano,,20133,Italy
35231061,NCT02657369,,,Milano,,20162,Italy
35231062,NCT02657369,,,Pisa,,56124,Italy
35231063,NCT02657369,,,Roma,,00161,Italy
35231064,NCT02657369,,,Siena,,53100,Italy
35231065,NCT02657369,,,Cardiff,South Glamorgan,CF14 2TL,United Kingdom
35231066,NCT02657369,,,Glasgow,Strathclyde,G12 OYN,United Kingdom
35231067,NCT02657369,,,Sutton,Surrey,SM2 5PT,United Kingdom
35238270,NCT02709889,,Banner MD Anderson Cancer Ctr /ID# 155424,Gilbert,Arizona,85234,United States
36838264,NCT04299425,Recruiting,Vanderbilt University Medical Center,Nashville,Tennessee,37212,United States
35236696,NCT02702388,,Facility #3,Moscow,,115478,Russian Federation
35236697,NCT02702388,,Facility #4,Moscow,,117036,Russian Federation
35236698,NCT02702388,,Facility #1,Moscow,,,Russian Federation
35236699,NCT02702388,,Facility #2,Moscow,,,Russian Federation
35236700,NCT02702388,,Facility #1,Obninsk,,249036,Russian Federation
35236701,NCT02702388,,Facility #3,Saint Petersburg,,197758,Russian Federation
35236702,NCT02702388,,Facility #1,Saint Petersburg,,,Russian Federation
35236703,NCT02702388,,Facility #2,Saint Petersburg,,,Russian Federation
35236704,NCT02702388,,Facility #1,Barcelona,Cataluna,,Spain
35236705,NCT02702388,,Facility #2,Madrid,"Madrid, Communidad Delaware",,Spain
35236706,NCT02702388,,Facility #1,Badalona,,8035,Spain
35236707,NCT02702388,,Facility #2,Barcelona,,8036,Spain
35236708,NCT02702388,,Facility #1,Madrid,,28034,Spain
35236709,NCT02702388,,Facility #2,Madrid,,,Spain
35236710,NCT02702388,,Facility #3,Madrid,,,Spain
35236711,NCT02702388,,Facility #1,Malaga,,29010,Spain
35236712,NCT02702388,,Facility #1,Goteborg,,SE-41345,Sweden
35236713,NCT02702388,,Facility #1,Lund,,SE-22185,Sweden
35236714,NCT02702388,,Facility #1,London,City Of London,,United Kingdom
35236715,NCT02702388,,Facility #1,Glasgow,Glasgow City,,United Kingdom
35236615,NCT02702388,,Facility#1,La Jolla,California,92093,United States
35236616,NCT02702388,,Facility #1,San Diego,California,92307,United States
35236617,NCT02702388,,Facility #1,Torrance,California,90502,United States
35236618,NCT02702388,,Facility #1,Washington,District of Columbia,20010,United States
35236619,NCT02702388,,Facility #1,Boston,Massachusetts,02114,United States
35236620,NCT02702388,,Facility #2,Boston,Massachusetts,02115,United States
35236621,NCT02702388,,Facility #1,Ann Arbor,Michigan,48109,United States
35236622,NCT02702388,,Facility #1,Detroit,Michigan,48201,United States
35236623,NCT02702388,,Facility#2,Morristown,New Jersey,07962,United States
35236624,NCT02702388,,Facility#1,Summit,New Jersey,07902,United States
35236625,NCT02702388,,Facility #1,Bronx,New York,10461,United States
35236626,NCT02702388,,Facility #1,Columbus,Ohio,43210,United States
35236627,NCT02702388,,Facility #1,Portland,Oregon,97239,United States
35236628,NCT02702388,,Facility #2,Philadelphia,Pennsylvania,19104,United States
35236629,NCT02702388,,Facility #1,Philadelphia,Pennsylvania,19111,United States
35236630,NCT02702388,,Facility #1,Seattle,Washington,98109,United States
35236631,NCT02702388,,Facility #1,Darlinghurst,New South Wales,,Australia
35236632,NCT02702388,,Facility #1,Saint Leonards,New South Wales,,Australia
35236633,NCT02702388,,Royal Brisbane and Women's Hospital,Brisbane,Queensland,4006,Australia
35236634,NCT02702388,,Facility#2,Chermside,Queensland,,Australia
35236635,NCT02702388,,Facility #1,Herston,Queensland,,Australia
35236636,NCT02702388,,Facility #1,Melbourne,Victoria,,Australia
35236637,NCT02702388,,Facility #1,Nedlands,Western Australia,,Australia
35236638,NCT02702388,,Facility #1,Melbourne,,,Australia
35236639,NCT02702388,,Facility #1,Saint Leonards,,,Australia
35236640,NCT02702388,,Facility #1,Edegem,Antwerpen,2650,Belgium
35236641,NCT02702388,,Facility #1,Bruxelles,Brussels,1200,Belgium
35236642,NCT02702388,,Facility #2,Namur,,5000,Belgium
35236643,NCT02702388,,Facility #1,Namur,,,Belgium
35236644,NCT02702388,,Facility #1,Calgary,Alberta,,Canada
35236645,NCT02702388,,Facility #1,Toronto,Ontario,,Canada
35236646,NCT02702388,,Facility #1,Quebec,,,Canada
35236647,NCT02702388,,Facility #1,Odense,Syddanmark,DK-5000,Denmark
35236648,NCT02702388,,Facility #1,Strasbourg,Bas-Rhin,,France
35236649,NCT02702388,,Facility #1,Caen,Calvados,14076,France
35236650,NCT02702388,,Facility #1,Dijon,Cote-d'Or,21079,France
35236651,NCT02702388,,Facility #1,Bordeaux,Gironde,,France
35236652,NCT02702388,,Facility #1,Angers,Maine-et-Loire,,France
35236653,NCT02702388,,Facility #2,Villejuif,Val-de-Marne,94805,France
35236654,NCT02702388,,Facility #1,Villejuif,Val-de-Marne,,France
35236655,NCT02702388,,Facility #2,Angers,,49933,France
35236656,NCT02702388,,Facility #1,Bordeaux,,33076,France
35236657,NCT02702388,,Facility #1,Caen,,,France
35236658,NCT02702388,,Facility #1,Dijon,,21079,France
35236659,NCT02702388,,Facility #2,Lyon,,69373,France
35236660,NCT02702388,,Facility #1,Paris,,75013,France
35236661,NCT02702388,,Facility #1,Tubingen,Baden-Wurttemberg,72076,Germany
35236662,NCT02702388,,Facility #1,Wurzburg,Bayern,97080,Germany
35236663,NCT02702388,,Facility #1,Hannover,Niedersachsen,30625,Germany
35236664,NCT02702388,,Facility #1,Essen,Nordrhein-Westfalen,,Germany
35236665,NCT02702388,,Facility #2,Essen,Nordrhein-Westfalen,,Germany
35236666,NCT02702388,,Facility #1,Essen,,45147,Germany
35236667,NCT02702388,,Facility #1,Leipzig,,,Germany
35236668,NCT02702388,,Facility #1,Petach Tikva,,,Israel
35236669,NCT02702388,,Facility #6,Roma,Lazio,144,Italy
35236670,NCT02702388,,Facility #1,Roma,Lazio,,Italy
35236671,NCT02702388,,Facility #2,Roma,Lazio,,Italy
35236672,NCT02702388,,Facility #3,Roma,Lazio,,Italy
35236673,NCT02702388,,Facility #2,Milano,Lombardia,,Italy
35236674,NCT02702388,,Facility #3,Milano,Lombardia,,Italy
35236675,NCT02702388,,Facility #4,Milano,Lombardia,,Italy
35236676,NCT02702388,,Facility #5,Milano,Lombardia,,Italy
35236677,NCT02702388,,Facility #1,Livorno,Toscana,57100,Italy
35236678,NCT02702388,,Facility #1,Pisa,Toscana,,Italy
35236679,NCT02702388,,Facility #6,Milano,,20122,Italy
35236680,NCT02702388,,Facility #7,Milano,,20149,Italy
35236681,NCT02702388,,Facility #2,Pisa,,56124,Italy
35236682,NCT02702388,,Facility #4,Roma,,,Italy
35236683,NCT02702388,,Facility #2,Rozzano,,,Italy
35236684,NCT02702388,,Facility #1,Torino,,,Italy
35236685,NCT02702388,,Facility #1,Viagrande,,,Italy
35236686,NCT02702388,,Facility#1,Busan,,49241,"Korea, Republic of"
35236687,NCT02702388,,Facility #1,Goyang-si,,,"Korea, Republic of"
35236688,NCT02702388,,Facility #3,Seoul,,135-710,"Korea, Republic of"
35236689,NCT02702388,,Facility #4,Seoul,,137-701,"Korea, Republic of"
35236690,NCT02702388,,Facility #1,Seoul,,,"Korea, Republic of"
35236691,NCT02702388,,Facility #2,Seoul,,,"Korea, Republic of"
35236692,NCT02702388,,Facility #2,Kielce,,,Poland
35236693,NCT02702388,,Facility #1,Cluj-Napoca,Cluj,400058,Romania
35236694,NCT02702388,,Facility #1,Bucharest,,11863,Romania
35236695,NCT02702388,,Facility #4,Saint Petersburg,Leningradskaya O,197758,Russian Federation
35238271,NCT02709889,,Mayo Clinic - Scottsdale /ID# 155419,Scottsdale,Arizona,85259,United States
35238272,NCT02709889,,"University of California, Los Angeles /ID# 155429",Los Angeles,California,90095,United States
35238273,NCT02709889,,"Univ California, San Francisco /ID# 155409",San Francisco,California,94143-2204,United States
35238274,NCT02709889,,Cedars-Sinai Medical Center - West Hollywood /ID# 155428,West Hollywood,California,90048,United States
35238275,NCT02709889,,Univ of Colorado Cancer Center /ID# 155415,Aurora,Colorado,80045,United States
35238276,NCT02709889,,Sarah Cannon Research Institute at HealthONE - Denver /ID# 155420,Denver,Colorado,80218,United States
35238277,NCT02709889,,University of Florida - Archer /ID# 155414,Gainesville,Florida,32610,United States
35238278,NCT02709889,,Moffitt Cancer Center /ID# 170220,Tampa,Florida,33612-9416,United States
35238297,NCT02709889,,University of Utah /ID# 155426,Salt Lake City,Utah,84112-5500,United States
35238279,NCT02709889,,Emory University Hospital /ID# 155417,Atlanta,Georgia,30322,United States
35238298,NCT02709889,,Virginia Cancer Specialists /ID# 162006,Fairfax,Virginia,22031,United States
35238280,NCT02709889,,University of Kentucky Chandler Medical Center /ID# 155423,Lexington,Kentucky,40536,United States
35238299,NCT02709889,,"Northwest Cancer Specialists, P.C. /ID# 155431",Vancouver,Washington,98684,United States
35238281,NCT02709889,,Johns Hopkins University /ID# 155412,Baltimore,Maryland,21287,United States
35238282,NCT02709889,,Massachusetts General Hospital /ID# 155411,Boston,Massachusetts,02114,United States
35238283,NCT02709889,,Dana-Farber Cancer Institute /ID# 171044,Boston,Massachusetts,02215,United States
35238284,NCT02709889,,Mayo Clinic - Rochester /ID# 155416,Rochester,Minnesota,55905-0001,United States
35238285,NCT02709889,,Washington University-School of Medicine /ID# 155425,Saint Louis,Missouri,63110,United States
35238286,NCT02709889,,Rutgers Cancer Institute of NJ /ID# 162010,New Brunswick,New Jersey,08903,United States
35238287,NCT02709889,,University of New Mexico /ID# 205054,Albuquerque,New Mexico,87102,United States
35238288,NCT02709889,,Roswell Park Comprehensive Cancer Center /ID# 162015,Buffalo,New York,14263,United States
35238289,NCT02709889,,Weill Cornell Medical College /ID# 155418,New York,New York,10021,United States
35238290,NCT02709889,,Duke University Medical Center /ID# 155421,Durham,North Carolina,27710-3000,United States
35238291,NCT02709889,,Univ Hosp Cleveland /ID# 155410,Cleveland,Ohio,44106,United States
35238292,NCT02709889,,Oregon Health and Science University /ID# 162011,Portland,Oregon,97239,United States
35238293,NCT02709889,,Greenville Hospital System /ID# 155427,Greenville,South Carolina,29605,United States
35238294,NCT02709889,,Mary Crowley Cancer Research /ID# 162014,Dallas,Texas,75230,United States
35238295,NCT02709889,,Texas Oncology - Forth Worth /ID# 162045,Fort Worth,Texas,76104-2150,United States
35238296,NCT02709889,,University of Texas MD Anderson Cancer Center /ID# 155413,Houston,Texas,77030,United States
35328550,NCT03106337,,Massachusetts General Hospital,Boston,Massachusetts,02114,United States
35238694,NCT02713256,,Novartis Investigative Site,Honolulu,Hawaii,96814,United States
35238695,NCT02713256,,Novartis Investigative Site,Rochester,Minnesota,55905,United States
35238696,NCT02713256,,Novartis Investigative Site,Mainz,,55131,Germany
34163377,NCT02364102,,"University Hospital Basel, Department of Endocrinology",Basel,BS,4031,Switzerland
36306049,NCT03573960,,All India Institute of Medical Sciences,New Delhi,Delhi,110029,India
34163526,NCT02363647,,Icahn School of Medicine at Mount Sinai,New York,New York,10029,United States
36346816,NCT04424485,Recruiting,"Umraniye Education and Research Hospital, Department of General Surgery",Istanbul,,34760,Turkey
36305481,NCT00001277,,"National Institutes of Health Clinical Center, 9000 Rockville Pike",Bethesda,Maryland,20892,United States
36306050,NCT03573960,,Indraprastha Apollo Hospital,New Delhi,Delhi,110076,India
36306051,NCT03573960,,Shetty's Hospital,Bangalore,Karnataka,560068,India
36306052,NCT03573960,,Deenanath Mangeshkar Hospital,Pune,Maharashtra,411004,India
36306053,NCT03573960,,All India Institute of Medical Sciences,Bhubaneshwar,Odisa,751019,India
35246984,NCT02768753,,"Department of thyroid and breast surgery, General Hospital of Jinan Military Area",Jinan,Shandong,250000,China
36306056,NCT03573960,,"BL Kapoor Hospital, New Delhi",New Delhi,,110005,India
36306057,NCT03573960,,"Indrayani Hospital, Alandi",Pune,,412105,India
36306058,NCT03573960,,City Cancer Centre,Vijayawada,,520002,India
35246619,NCT02766283,,,Multiple Locations,,,Israel
36306054,NCT03573960,,S. P. Medical College & A. G. Hospitals,Bīkaner,Rajasthan,334003,India
