nct_id,downcase_mesh_term,official_title,brief_title,all_conditions,study_first_submitted_date,primary_completion_date,completion_date,study_type,overall_status,study_phases,funded_bys,sponsors_name,investigators,intervention_types,location,minimum_age_num,maximum_age_num,category_age,category,sub_category,URL
NCT00004660,hyperthyroidism,Phase II Randomized Controlled Study of Sequential Orbital Radiotherapy for Graves' Ophthalmopathy,Randomized Study of Sequential Orbital Radiotherapy for Graves' Ophthalmopathy,Graves' Disease,2000-02-24,1998-01-31,1998-01-31,Interventional,Completed,Not Applicable,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),Mayo Clinic|National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),Mayo Clinic,Radiation|Radiation,United States,30.0,120.0,[18-65]|[65 and more],Hyperthyroidism,Hyperthyroidism,https://clinicaltrials.gov/ct2/show/NCT00004660
NCT00004660,graves ophthalmopathy,Phase II Randomized Controlled Study of Sequential Orbital Radiotherapy for Graves' Ophthalmopathy,Randomized Study of Sequential Orbital Radiotherapy for Graves' Ophthalmopathy,Graves' Disease,2000-02-24,1998-01-31,1998-01-31,Interventional,Completed,Not Applicable,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),Mayo Clinic|National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),Mayo Clinic,Radiation|Radiation,United States,30.0,120.0,[18-65]|[65 and more],Hyperthyroidism,Orbitopathy,https://clinicaltrials.gov/ct2/show/NCT00004660
NCT00004660,graves disease,Phase II Randomized Controlled Study of Sequential Orbital Radiotherapy for Graves' Ophthalmopathy,Randomized Study of Sequential Orbital Radiotherapy for Graves' Ophthalmopathy,Graves' Disease,2000-02-24,1998-01-31,1998-01-31,Interventional,Completed,Not Applicable,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),Mayo Clinic|National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),Mayo Clinic,Radiation|Radiation,United States,30.0,120.0,[18-65]|[65 and more],Hyperthyroidism,Graves' disease,https://clinicaltrials.gov/ct2/show/NCT00004660
NCT00004660,goiter,Phase II Randomized Controlled Study of Sequential Orbital Radiotherapy for Graves' Ophthalmopathy,Randomized Study of Sequential Orbital Radiotherapy for Graves' Ophthalmopathy,Graves' Disease,2000-02-24,1998-01-31,1998-01-31,Interventional,Completed,Not Applicable,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),Mayo Clinic|National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),Mayo Clinic,Radiation|Radiation,United States,30.0,120.0,[18-65]|[65 and more],Goiter,Goiter,https://clinicaltrials.gov/ct2/show/NCT00004660
NCT00005102,hypoparathyroidism,Immunologic Evaluation in Patients With DiGeorge Syndrome or Velocardiofacial Syndrome,Immunologic Evaluation in Patients With DiGeorge Syndrome or Velocardiofacial Syndrome,"Abnormalities, Multiple|Chromosome Abnormalities|Conotruncal Cardiac Defects|DiGeorge Syndrome|Shprintzen Syndrome",2000-04-06,,,Observational,Unknown status,,National Center for Research Resources (NCRR),Children's Hospital of Philadelphia|National Center for Research Resources (NCRR),Children's Hospital of Philadelphia,,United States,0.0,120.0,[0-17]|[18-65]|[65 and more],Parathyroid diseases,Hypoparathyroidism,https://clinicaltrials.gov/ct2/show/NCT00005102
NCT00037193,hyperparathyroidism,Acute Regulation of Parathyroid Hormone by Dietary Phosphate,Acute Regulation of Parathyroid Hormone by Dietary Phosphate,Secondary Hyperparathyroidism,2002-05-16,,,Observational,Completed,,National Center for Research Resources (NCRR),National Center for Research Resources (NCRR),Washington University Medical School,,United States,21.0,120.0,[18-65]|[65 and more],Parathyroid diseases,Hyperparathyroidism,https://clinicaltrials.gov/ct2/show/NCT00037193
NCT00037635,hyperparathyroidism,A Phase 3 Study to Assess the Efficacy and Safety of an Oral Calcimimetic Agent (AMG 073) in Secondary Hyperparathyroidism of End Stage Renal Disease Treated With Hemodialysis,A Study of an Investigational Medication for the Treatment of Secondary Hyperparathyroidism in Dialysis Patients,End Stage Renal Disease|Secondary Hyperparathyroidism,2002-05-17,2003-03-31,2003-03-31,Interventional,Completed,Phase 3,Amgen,Amgen,,Drug|Drug,,18.0,120.0,[18-65]|[65 and more],Parathyroid diseases,Hyperparathyroidism,https://clinicaltrials.gov/ct2/show/NCT00037635
NCT00042432,hyperparathyroidism,A Study of an Investigational Medication for Secondary Hyperparathyroidism in Chronic Renal Insufficiency Patients,Study for Secondary Hyperparathyroidism in Chronic Renal Insufficiency Patients,Chronic Renal Insufficiency|Secondary Hyperparathyroidism,2002-07-29,2003-03-31,2003-08-31,Interventional,Completed,Phase 2,Amgen,Amgen,,Drug,,18.0,120.0,[18-65]|[65 and more],Parathyroid diseases,Hyperparathyroidism,https://clinicaltrials.gov/ct2/show/NCT00042432
NCT00042653,hyperparathyroidism,"A Placebo-controlled, Double-blind, Multicenter Study to Assess the Efficacy and Safety of an Oral Calcimimetic Agent (AMG 073) in Secondary Hyperparathyroidism of Chronic Kidney Disease (Hemodialysis and Peritoneal Dialysis)",A Study of an Investigational Medication for the Treatment of Secondary Hyperparathyroidism in Patients on Dialysis,End Stage Renal Disease|Secondary Hyperparathyroidism,2002-08-02,2003-07-31,2003-07-31,Interventional,Completed,Phase 3,Amgen,Amgen,,Drug|Drug,,18.0,120.0,[18-65]|[65 and more],Parathyroid diseases,Hyperparathyroidism,https://clinicaltrials.gov/ct2/show/NCT00042653
NCT00053547,hyperparathyroidism,Safety and Effectiveness of Zemplar Injection in Decreasing iPTH Levels in Pediatric ESRD Subjects on Hemodialysis,Safety and Effectiveness of Zemplar Injection in Decreasing iPTH Levels in Pediatric ESRD Subjects on Hemodialysis,End Stage Renal Disease|Secondary Hyperparathyroidism,2003-01-30,,,Interventional,Completed,Phase 4,Abbott,Abbott,Stanford University Medical Center|Miami Children's Hospital|The Children's Hospital of Buffalo|Texas Children's Hospital|University of Texas at Houston|Medical College of Wisconsin,Drug,United States,2.0,20.0,[0-17]|[18-65],Parathyroid diseases,Hyperparathyroidism,https://clinicaltrials.gov/ct2/show/NCT00053547
NCT00060242,"thyroid carcinoma, anaplastic",Phase II Trial Of Combretastatin A-4 Phosphate (CA4P) In Advanced Anaplastic Carcinoma Of The Thyroid,Combretastatin A4 Phosphate in Treating Patients With Advanced Anaplastic Thyroid Cancer,Head and Neck Cancer,2003-05-06,2007-02-28,2008-01-31,Interventional,Completed,Phase 2,Case Comprehensive Cancer Center,Case Comprehensive Cancer Center|National Cancer Institute (NCI),"Josephine Ford Cancer Center at Henry Ford Hospital|Ireland Cancer Center at University Hosptials Case Medical Center, Case Comprehensive Cancer Center|Hillman Cancer Center at University of Pittsburgh Cancer Institute",Drug,United States,18.0,120.0,[18-65]|[65 and more],Thyroid neoplasms,"Thyroid cancer, anaplastic",https://clinicaltrials.gov/ct2/show/NCT00060242
NCT00061906,thyroid neoplasms,Phase II Study Of Celecoxib In Metastatic Differentiated Thyroid Carcinoma,Celecoxib in Treating Patients With Progressive Metastatic Differentiated Thyroid Cancer,Head and Neck Cancer,2003-06-05,2006-06-30,2006-06-30,Interventional,Completed,Phase 2,Ohio State University Comprehensive Cancer Center,Ohio State University Comprehensive Cancer Center,Ohio State University Comrehensive Cancer Center|University of Texas - MD Anderson Cancer Center,Drug,United States,18.0,120.0,[18-65]|[65 and more],Thyroid neoplasms,Thyroid cancer,https://clinicaltrials.gov/ct2/show/NCT00061906
