nct_id,downcase_mesh_term,official_title,all_conditions,study_first_submitted_date,primary_completion_date,completion_date,study_type,overall_status,study_phases,funded_bys,sponsors_name,investigators,intervention_types,location,minimum_age_num,maximum_age_num,category_age,category,sub_category,URL
NCT01109420,"thyroid cancer, papillary",Clinical and Genetic Studies in Familial Non-Medullary Thyroid Cancer,Non-Medullary Thyroid Cancer,2010-04-22,,,Observational,Recruiting,,National Institutes of Health Clinical Center (CC),National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),"National Institutes of Health Clinical Center, 9000 Rockville Pike",,United States,7.0,120.0,[0-17]|[18-65]|[65 and more],Thyroid neoplasms,"Thyroid cancer, papillary",https://clinicaltrials.gov/ct2/show/NCT01109420
NCT01539486,parathyroid diseases,Relationship of Preoperative PTH and Ex-Vivo Gamma Counts in Minimally Invasive Parathyroidectomy,Parathyroid Disease,2012-02-21,2023-12-31,2023-12-31,Observational,"Active, not recruiting",,University of Arkansas,University of Arkansas,University of Arkansas for Medical Sciences,,United States,18.0,90.0,[18-65]|[65 and more],Parathyroid diseases,Parathyroid diseases,https://clinicaltrials.gov/ct2/show/NCT01539486
NCT01611896,hyperthyroidism,"GRAves Selenium Supplementation Trial (GRASS) - an Investigator-initiated Randomised, Blinded, Multicentre Clinical Trial of Selenium Supplementation Versus Placebo in Patients With Graves' Hyperthyroidism",Graves' Hyperthyroidism,2012-05-29,2021-08-31,2021-08-31,Interventional,"Active, not recruiting",Not Applicable,"Rigshospitalet, Denmark","Bispebjerg Hospital|Copenhagen Trial Unit, Center for Clinical Intervention Research|Danish Council for Independent Research|Herlev Hospital|Hillerod Hospital, Denmark|Hospital of South West Denmark|Hvidovre University Hospital|Odense University Hospital|Rigshospitalet, Denmark|The Danish Council for Strategic Research","Department of Endocrinology and Gastroenterology, Bispebjerg Hospital|Department of Medical Endocrinology, Rigshospitalet|Department of Endocrinology, Hospital of Southwest Denmark|Department of Medicine, Gentofte Hospital|Department of Internal Medicine O 106, Endocrine Unit, Herlev Hospital|Department of Cardiology and Endocrinology, Endocrine Unit, Hillerød Hospital|Department of Endocrinology, Section 541, Hvidovre Hospital|Department of Endocrinology and Metabolism, Odense University Hospital",Dietary Supplement|Other,Denmark,18.0,120.0,[18-65]|[65 and more],Hyperthyroidism,Hyperthyroidism,https://clinicaltrials.gov/ct2/show/NCT01611896
NCT01638533,thyroid neoplasms,"A Phase 1 and Pharmacokinetic Single Agent Study of Romidepsin in Patients With, Lymphomas, Chronic Lymphocytic Leukemia, and Select Solid Tumors and Varying Degrees of Liver Dysfunction",Glioma|Hematopoietic and Lymphoid Cell Neoplasm|Lymphoma|Metastatic Malignant Solid Neoplasm|Neuroendocrine Neoplasm|Recurrent Adult Soft Tissue Sarcoma|Recurrent Bladder Carcinoma|Recurrent Breast Carcinoma|Recurrent Chronic Lymphocytic Leukemia|Recurrent Colorectal Carcinoma|Recurrent Head and Neck Carcinoma|Recurrent Lung Carcinoma|Recurrent Malignant Solid Neoplasm|Recurrent Melanoma|Recurrent Pancreatic Carcinoma|Recurrent Primary Cutaneous T-Cell Non-Hodgkin Lymphoma|Recurrent Prostate Carcinoma|Recurrent Renal Cell Carcinoma|Recurrent Thyroid Gland Carcinoma|Refractory Chronic Lymphocytic Leukemia|Refractory Mature T-Cell and NK-Cell Non-Hodgkin Lymphoma|Refractory Primary Cutaneous T-Cell Non-Hodgkin Lymphoma|Stage IIIA Breast Cancer AJCC v7|Stage IIIA Colorectal Cancer AJCC v7|Stage IIIA Cutaneous Melanoma AJCC v7|Stage IIIB Breast Cancer AJCC v7|Stage IIIB Colorectal Cancer AJCC v7|Stage IIIB Cutaneous Melanoma AJCC v7|Stage III Breast Cancer AJCC v7|Stage IIIC Breast Cancer AJCC v7|Stage IIIC Colorectal Cancer AJCC v7|Stage IIIC Cutaneous Melanoma AJCC v7|Stage III Colorectal Cancer AJCC v7|Stage III Cutaneous Melanoma AJCC v7|Stage III Lung Cancer AJCC v7|Stage III Pancreatic Cancer AJCC v6 and v7|Stage III Prostate Cancer AJCC v7|Stage III Renal Cell Cancer AJCC v7|Stage III Soft Tissue Sarcoma AJCC v7|Stage IVA Colorectal Cancer AJCC v7|Stage IVB Colorectal Cancer AJCC v7|Stage IV Breast Cancer AJCC v6 and v7|Stage IV Colorectal Cancer AJCC v7|Stage IV Cutaneous Melanoma AJCC v6 and v7|Stage IV Lung Cancer AJCC v7|Stage IV Pancreatic Cancer AJCC v6 and v7|Stage IV Prostate Cancer AJCC v7|Stage IV Renal Cell Cancer AJCC v7|Stage IV Soft Tissue Sarcoma AJCC v7|Unresectable Solid Neoplasm,2012-07-09,2018-11-29,,Interventional,"Active, not recruiting",Phase 1,National Cancer Institute (NCI),Celgene Corporation|National Cancer Institute (NCI),City of Hope Comprehensive Cancer Center|University of California Davis Comprehensive Cancer Center|Emory University Hospital/Winship Cancer Institute|University of Chicago Comprehensive Cancer Center|Johns Hopkins University/Sidney Kimmel Cancer Center|National Cancer Institute Developmental Therapeutics Clinic|Wayne State University/Karmanos Cancer Institute|Mayo Clinic in Rochester|Case Western Reserve University|Penn State Milton S Hershey Medical Center|Thomas Jefferson University Hospital|University Health Network-Princess Margaret Hospital,Other|Drug,Canada|United States,18.0,120.0,[18-65]|[65 and more],Thyroid neoplasms,Thyroid cancer,https://clinicaltrials.gov/ct2/show/NCT01638533
NCT01704586,thyroid neoplasms,Clinical Evaluation of a I-124 PET/CT Based Remnant Radioiodine Ablation Decision Concept in Differentiated Thyroid Cancer Using PROBE Design,Differentiated Thyroid Carcinoma,2012-10-04,2021-05-31,2025-11-30,Interventional,Recruiting,Not Applicable,University of Wuerzburg,"Deutsche Krebshilfe e.V., Bonn (Germany)|University of Wuerzburg","Clinic of Nuclear Medicine, University Clinic Essen|University Clinic Würzburg",Radiation|Radiation,Germany,18.0,80.0,[18-65]|[65 and more],Thyroid neoplasms,Thyroid cancer,https://clinicaltrials.gov/ct2/show/NCT01704586
NCT01821781,parathyroid diseases,A Study of Hematopoietic Stem Cell Transplantation (HSCT) in Immune Function Disorders Using a Reduced Intensity Preparatory Regime,Autoimmune Lymphoproliferative Syndrome|Chediak-Higashi Syndrome|Chronic Granulomatous Disease|Common Variable Immune Deficiency|DiGeorge Syndrome|Hemophagocytic Lymphohistiocytosis|Hyper-IgM|Immune Deficiency Disorders|Immune Dysregulatory Disorders|IPEX|Severe Combined Immunodeficiency|Wiskott-Aldrich Syndrome|X-linked Agammaglobulinemia|X-linked Lymphoproliferative Syndrome,2013-03-19,2022-03-31,2024-03-31,Interventional,Recruiting,Phase 2,Washington University School of Medicine,Washington University School of Medicine,Washington University|Methodist Heathcare,Drug,United States,0.0,21.0,[0-17]|[18-65],Parathyroid diseases,Parathyroid diseases,https://clinicaltrials.gov/ct2/show/NCT01821781
NCT01837745,thyroid neoplasms,Differentiated Thyroid Cancer: is There a Need for Radioiodine Ablation in Low Risk Patients?,Low Risk Differentiated Thyroid Cancer,2013-04-16,2020-03-31,2022-05-12,Interventional,"Active, not recruiting",Phase 3,"Gustave Roussy, Cancer Campus, Grand Paris","Gustave Roussy, Cancer Campus, Grand Paris",Institut Gustave Roussy,Drug|Drug|Other,France,18.0,120.0,[18-65]|[65 and more],Thyroid neoplasms,Thyroid cancer,https://clinicaltrials.gov/ct2/show/NCT01837745
NCT02041260,thyroid neoplasms,A Phase II Trial of Cabozantinib for the Treatment of Radioiodine (RAI)-Refractory Differentiated Thyroid Carcinoma (DTC) in the First-line Setting,Differentiated Thyroid Cancer (DTC)|Poorly Differentiated Thyroid Cancer,2014-01-17,2022-05-31,2022-05-31,Interventional,"Active, not recruiting",Phase 2,Thomas Jefferson University,Thomas Jefferson University,Abramson Cancer Center of the University of Pennsylvania,Drug,United States,18.0,120.0,[18-65]|[65 and more],Thyroid neoplasms,Thyroid cancer,https://clinicaltrials.gov/ct2/show/NCT02041260
NCT02061111,hypothyroidism,NeoThyr - the Role of Mitochondria-dysfunction in Newborns of Mothers With Autoimmune Thyroid Disease,Alteration of Mitochondrial Membrane|Autoimmune Thyroid Disease|Subclinical Hypothyroidism,2014-01-22,2017-12-31,2022-11-30,Observational,"Active, not recruiting",,Naestved Hospital,Naestved Hospital|Region Zealand|University of Southern Denmark,Gynaecologic-Obstetrics Department Naestved Hospital,,Denmark,18.0,50.0,[18-65],Hypothyroidism,Hypothyroidism,https://clinicaltrials.gov/ct2/show/NCT02061111
NCT02143726,thyroid neoplasms,Randomized Phase II Study of Sorafenib With or Without Everolimus in Patients With Radioactive Iodine Refractory Hurthle Cell Thyroid Cancer,Refractory Hurthle Cell Thyroid Cancer,2014-05-19,2021-01-28,2024-08-06,Interventional,"Active, not recruiting",Phase 2,Alliance for Clinical Trials in Oncology,Alliance for Clinical Trials in Oncology|National Cancer Institute (NCI)|Novartis,Mayo Clinic in Florida|Northwestern University|Siouxland Regional Cancer Center|University of Michigan Comprehensive Cancer Center|Mayo Clinic|Nebraska Methodist Hospital|Memorial Sloan Kettering Basking Ridge|Memorial Sloan Kettering Monmouth|Memorial Sloan Kettering Bergen|Memorial Sloan Kettering Commack|Memorial Sloan Kettering Westchester|Memorial Sloan Kettering Cancer Center|Memorial Sloan Kettering Sleepy Hollow|Memorial Sloan Kettering Nassau|Southeastern Medical Oncology Center-Clinton|Southeastern Medical Oncology Center-Goldsboro|Wayne Memorial Hospital|Southeastern Medical Oncology Center-Jacksonville|Ohio State University Comprehensive Cancer Center|Fox Chase Cancer Center|Mercy Health System,Drug|Drug,United States,18.0,120.0,[18-65]|[65 and more],Thyroid neoplasms,Thyroid cancer,https://clinicaltrials.gov/ct2/show/NCT02143726
NCT02147782,parathyroid diseases,Continuous Clinical Observation on Bone Metabolism Induced by Chronic Renal Insufficiency in Different Stages,Chronic Renal Insufficiency|Renal Osteodystrophy,2014-05-13,2022-12-31,2022-12-31,Observational [Patient Registry],Recruiting,,Shanghai University of Traditional Chinese Medicine,Anhui Provincial Hospital|Huadong Hospital|Longhua Hospital|Shanghai University of Traditional Chinese Medicine,Anhui Province Hospital of TCM|Jiangsu Province Hospital of TCM|Longhua hospital affiliated to Shanghai University of TCM|Huadong Hospital Affiliated to Fudan University,,China,20.0,50.0,[18-65],Parathyroid diseases,Parathyroid diseases,https://clinicaltrials.gov/ct2/show/NCT02147782
NCT02152995,"thyroid cancer, papillary","A Phase 2 Study of Trametinib in Combination With Radioiodine (RAI) for RAS Mutant or RAS/RAF Wild-Type, RAI-Refractory Recurrent and/or Metastatic Thyroid Cancers",Metastatic Thyroid Gland Carcinoma|Poorly Differentiated Thyroid Gland Carcinoma|Recurrent Thyroid Gland Carcinoma|Refractory Thyroid Gland Carcinoma|Stage IVA Thyroid Gland Follicular Carcinoma AJCC v7|Stage IVA Thyroid Gland Papillary Carcinoma AJCC v7|Stage IVB Thyroid Gland Follicular Carcinoma AJCC v7|Stage IVB Thyroid Gland Papillary Carcinoma AJCC v7|Stage IVC Thyroid Gland Follicular Carcinoma AJCC v7|Stage IVC Thyroid Gland Papillary Carcinoma AJCC v7|Stage IV Thyroid Gland Follicular Carcinoma AJCC v7|Stage IV Thyroid Gland Papillary Carcinoma AJCC v7,2014-05-29,2021-08-25,2023-01-12,Interventional,"Active, not recruiting",Phase 2,National Cancer Institute (NCI),National Cancer Institute (NCI),Memorial Sloan Kettering Cancer Center,Procedure|Other|Radiation|Other|Other|Procedure|Drug,United States,18.0,120.0,[18-65]|[65 and more],Thyroid neoplasms,"Thyroid cancer, papillary",https://clinicaltrials.gov/ct2/show/NCT02152995
NCT02152995,"adenocarcinoma, follicular","A Phase 2 Study of Trametinib in Combination With Radioiodine (RAI) for RAS Mutant or RAS/RAF Wild-Type, RAI-Refractory Recurrent and/or Metastatic Thyroid Cancers",Metastatic Thyroid Gland Carcinoma|Poorly Differentiated Thyroid Gland Carcinoma|Recurrent Thyroid Gland Carcinoma|Refractory Thyroid Gland Carcinoma|Stage IVA Thyroid Gland Follicular Carcinoma AJCC v7|Stage IVA Thyroid Gland Papillary Carcinoma AJCC v7|Stage IVB Thyroid Gland Follicular Carcinoma AJCC v7|Stage IVB Thyroid Gland Papillary Carcinoma AJCC v7|Stage IVC Thyroid Gland Follicular Carcinoma AJCC v7|Stage IVC Thyroid Gland Papillary Carcinoma AJCC v7|Stage IV Thyroid Gland Follicular Carcinoma AJCC v7|Stage IV Thyroid Gland Papillary Carcinoma AJCC v7,2014-05-29,2021-08-25,2023-01-12,Interventional,"Active, not recruiting",Phase 2,National Cancer Institute (NCI),National Cancer Institute (NCI),Memorial Sloan Kettering Cancer Center,Procedure|Other|Radiation|Other|Other|Procedure|Drug,United States,18.0,120.0,[18-65]|[65 and more],Thyroid neoplasms,"Thyroid cancer, follicular",https://clinicaltrials.gov/ct2/show/NCT02152995
NCT02203682,goiter,The Effect of Subantimicrobial Dose Doxycycline in Mild Thyroid-Associated Ophthalmopathy,"Autoimmune Diseases|Endocrine System Diseases|Eye Diseases, Hereditary|Graves Disease|Graves Ophthalmopathy|Hyperthyroidism|Immune System Diseases|Thyroid-associated Ophthalmopathy|Thyroid Diseases",2014-07-28,2022-07-31,2022-07-31,Interventional,Recruiting,Phase 2,Sun Yat-sen University,Sun Yat-sen University,Zhongshan Ophthalmic Center,Drug|Drug,China,18.0,70.0,[18-65]|[65 and more],Goiter,Goiter,https://clinicaltrials.gov/ct2/show/NCT02203682
NCT02210741,goiter,Next-generation Sequencing (NGS) of Peripheral Blood Immune Repertoire in Graves' Disease,Graves Disease,2014-08-04,2024-02-29,2024-02-29,Observational,Not yet recruiting,,National Taiwan University Hospital,National Taiwan University Hospital,National Taiwan University Hospital,,Taiwan,20.0,120.0,[18-65]|[65 and more],Goiter,Goiter,https://clinicaltrials.gov/ct2/show/NCT02210741
NCT02210741,hyperthyroidism,Next-generation Sequencing (NGS) of Peripheral Blood Immune Repertoire in Graves' Disease,Graves Disease,2014-08-04,2024-02-29,2024-02-29,Observational,Not yet recruiting,,National Taiwan University Hospital,National Taiwan University Hospital,National Taiwan University Hospital,,Taiwan,20.0,120.0,[18-65]|[65 and more],Hyperthyroidism,Hyperthyroidism,https://clinicaltrials.gov/ct2/show/NCT02210741
NCT02378298,graves ophthalmopathy,Rituximab (RTX) Therapy in Steroid Resistant Patients or Patients Relapsing After Intravenous Steroids With Active TAO,"Ophthalmopathy, Thyroid-Associated",2015-01-20,2020-02-01,2022-03-31,Interventional,"Active, not recruiting",Phase 4,Göteborg University,"Göteborg University|Sahlgrenska University Hospital, Sweden","Center for Endocrinology and Metabolism, Sahlgrenska University Hospital|MedTech West, Institute of Neuro Science and Physiology, Department for Clinical Neuro Science and Rehabilitation, Sahlgrenska Academy, University of Gothenburg|Department of Ophthalmology, Sahlgrenska University Hospital/Mölndal|Department of Rheumatology, Sahlgrenska University Hospital/Mölndal|Department of Radiology, Karolinska University Hospital",Drug|Drug|Drug,Sweden,18.0,70.0,[18-65]|[65 and more],Hyperthyroidism,Orbitopathy,https://clinicaltrials.gov/ct2/show/NCT02378298
NCT02378298,graves disease,Rituximab (RTX) Therapy in Steroid Resistant Patients or Patients Relapsing After Intravenous Steroids With Active TAO,"Ophthalmopathy, Thyroid-Associated",2015-01-20,2020-02-01,2022-03-31,Interventional,"Active, not recruiting",Phase 4,Göteborg University,"Göteborg University|Sahlgrenska University Hospital, Sweden","Center for Endocrinology and Metabolism, Sahlgrenska University Hospital|MedTech West, Institute of Neuro Science and Physiology, Department for Clinical Neuro Science and Rehabilitation, Sahlgrenska Academy, University of Gothenburg|Department of Ophthalmology, Sahlgrenska University Hospital/Mölndal|Department of Rheumatology, Sahlgrenska University Hospital/Mölndal|Department of Radiology, Karolinska University Hospital",Drug|Drug|Drug,Sweden,18.0,70.0,[18-65]|[65 and more],Hyperthyroidism,Graves' disease,https://clinicaltrials.gov/ct2/show/NCT02378298
NCT02378298,goiter,Rituximab (RTX) Therapy in Steroid Resistant Patients or Patients Relapsing After Intravenous Steroids With Active TAO,"Ophthalmopathy, Thyroid-Associated",2015-01-20,2020-02-01,2022-03-31,Interventional,"Active, not recruiting",Phase 4,Göteborg University,"Göteborg University|Sahlgrenska University Hospital, Sweden","Center for Endocrinology and Metabolism, Sahlgrenska University Hospital|MedTech West, Institute of Neuro Science and Physiology, Department for Clinical Neuro Science and Rehabilitation, Sahlgrenska Academy, University of Gothenburg|Department of Ophthalmology, Sahlgrenska University Hospital/Mölndal|Department of Rheumatology, Sahlgrenska University Hospital/Mölndal|Department of Radiology, Karolinska University Hospital",Drug|Drug|Drug,Sweden,18.0,70.0,[18-65]|[65 and more],Goiter,Goiter,https://clinicaltrials.gov/ct2/show/NCT02378298
NCT02378298,hyperthyroidism,Rituximab (RTX) Therapy in Steroid Resistant Patients or Patients Relapsing After Intravenous Steroids With Active TAO,"Ophthalmopathy, Thyroid-Associated",2015-01-20,2020-02-01,2022-03-31,Interventional,"Active, not recruiting",Phase 4,Göteborg University,"Göteborg University|Sahlgrenska University Hospital, Sweden","Center for Endocrinology and Metabolism, Sahlgrenska University Hospital|MedTech West, Institute of Neuro Science and Physiology, Department for Clinical Neuro Science and Rehabilitation, Sahlgrenska Academy, University of Gothenburg|Department of Ophthalmology, Sahlgrenska University Hospital/Mölndal|Department of Rheumatology, Sahlgrenska University Hospital/Mölndal|Department of Radiology, Karolinska University Hospital",Drug|Drug|Drug,Sweden,18.0,70.0,[18-65]|[65 and more],Hyperthyroidism,Hyperthyroidism,https://clinicaltrials.gov/ct2/show/NCT02378298
